Nome: RANCHARIA
Codigo Estacao: A718
Latitude: -22.372832
Longitude: -50.97471
Altitude: 398.75
Situacao: Operante
Data Inicial: 2018-09-01
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-09-01;0;35.7;23.2375;12.5;61.25;20;11.1;2.0125;
2018-09-02;0;27.5;21.025;18;79.5;56;12.4;2.270833;
2018-09-03;0;19.5;14.679167;11.8;79.708333;56;9;2.3875;
2018-09-04;0;24.6;16.2375;11.2;70.583333;33;7.7;1.8125;
2018-09-05;0;25.3;14.145833;3.6;66.291667;25;9.7;1.8;
2018-09-06;0;28.6;17.683333;7.3;59.083333;21;11;2.208333;
2018-09-07;0;32.3;18.3375;6.2;63.125;17;7;1.0875;
2018-09-08;0;34.5;18.925;5.4;61.541667;16;6;1.125;
2018-09-09;0;34.7;20.295833;7.4;59.541667;15;8.3;.895833;
2018-09-10;0;31.2;21;12.1;62.916667;28;9.4;1.9375;
2018-09-11;0;31.7;20.7625;10.1;64.958333;28;7.7;2.066667;
2018-09-12;0;31;21.866667;14.4;58.083333;31;12.7;3.466667;
2018-09-13;0;32.8;22.591304;13.8;61.869565;28;9.9;2.713043;
2018-09-14;6.6;24.4;19.313043;17.2;84.608696;57;10.6;2.065217;
2018-09-15;2.6;26.4;18.456522;13.4;83.956522;50;5.2;.530435;
2018-09-16;0;27.2;18.941667;11.8;81.75;53;14.2;1.658333;
2018-09-17;35.6;23.6;null;15.9;88;73;10.4;2.373684;
2018-09-18;null;27.4;22.104167;19.8;84.375;61;6.4;1.454167;
2018-09-19;2;33;22.945833;15.1;77.875;41;12.6;1.1875;
2018-09-20;83.6;23.5;18.0875;16.9;89.708333;68;18.7;3.529167;
2018-09-21;20.4;30.5;19.8625;12.4;79.75;42;5;.579167;
2018-09-22;.2;33.6;22.954167;13.6;71.791667;31;5.8;.691667;
2018-09-23;0;35.1;23.625;13.2;67.083333;23;6.5;.879167;
2018-09-24;0;36.8;23.458333;12;65.625;16;4.7;.529167;
2018-09-25;null;33;null;16;61.555556;33;7.8;1.444444;
2018-09-26;null;33.1;23.570833;16.9;75.125;41;5.7;1.191667;
2018-09-27;19;26.3;21.366667;18.2;83.833333;55;13.9;1.858333;
2018-09-28;1.6;31;null;17.6;76.666667;45;5.9;1.152381;
2018-09-29;0;32.3;25.045833;18.9;69.625;40;9.1;1.845833;
2018-09-30;.2;25.8;21.904167;21.2;91.083333;75;4.7;.745833;
2018-10-01;10.6;31.6;23.970833;17.3;78.875;45;6.7;.975;
2018-10-02;0;32.6;25.295833;19.6;75.958333;46;7.9;1.333333;
2018-10-03;0;34.9;26.091667;18.6;73.5;37;12.5;1.354167;
2018-10-04;.8;34;25.070833;18.4;74.916667;36;10.2;1.270833;
2018-10-05;0;28.4;23.0125;18;72.25;51;10.1;2.9375;
2018-10-06;0;27.2;21.229167;15.5;67.208333;50;10;3.579167;
2018-10-07;0;30.9;22.9125;16.7;70.375;48;10.1;2.5375;
2018-10-08;23.2;26.4;22.858333;20.8;87.666667;71;24;2.370833;
2018-10-09;77;30.8;23.579167;17;83.125;59;7.2;1.466667;
2018-10-10;null;26.5;null;20;83.95;69;8.7;1.76;
2018-10-11;1;27.1;23.120833;20.7;76.75;59;11.7;3.1125;
2018-10-12;0;33.3;23.6125;17;71.708333;43;10.4;2.104167;
2018-10-13;0;33;25.841667;21.5;78;45;14.3;1.420833;
2018-10-14;9.2;32.2;25.1875;20.7;81.041667;51;4.3;.679167;
2018-10-15;2.4;31.6;null;19.8;77.285714;49;9;1.366667;
2018-10-16;null;32.5;null;24.6;null;49;9.3;null;
2018-10-17;null;34;null;25.4;null;46;10.7;null;
2018-10-18;.4;34.2;24.575;19.6;78.125;44;18.6;2.583333;
2018-10-19;9.2;30.3;22.758333;17;78.625;49;11;1.670833;
2018-10-20;.2;27.9;21.641667;15.7;63.916667;38;14.2;3.55;
2018-10-21;0;30.2;21.529167;14;59.75;31;10.7;2.704167;
2018-10-22;0;32.7;22.904167;14.7;65.375;30;10.6;2.091667;
2018-10-23;0;34.4;24.970833;17.1;72.458333;35;7.6;1.291667;
2018-10-24;18.8;24.3;21.683333;19;90;77;8.2;2.170833;
2018-10-25;36.4;24.8;21.054167;18.7;92.708333;79;6;1.420833;
2018-10-26;9.8;26.8;22.586364;19.7;90.772727;66;4.9;.559091;
2018-10-27;8.8;28.9;24.091667;22.1;78.541667;50;10.3;2.570833;
2018-10-28;.2;29.6;22.016667;14;70.375;34;8.4;1.35;
2018-10-29;0;30.2;22.095833;16.2;63.291667;34;8.7;1.9125;
2018-10-30;0;33.6;24.425;17;63.708333;34;5.8;1.079167;
2018-10-31;0;34.5;24.004348;17;72.086957;40;19.1;2.304348;
2018-11-01;1.8;26.2;20.904167;16.7;83.5;60;11.6;1.95;
2018-11-02;.4;33.3;23.733333;16;73.833333;36;5.7;.908333;
2018-11-03;0;34.8;25.804167;17.5;71.208333;39;9.8;1.2625;
