Nome: TAUBATE
Codigo Estacao: A728
Latitude: -23.04166666
Longitude: -45.52083332
Altitude: 582.26
Situacao: Pane
Data Inicial: 2018-09-01
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-09-01;0;32.6;21.7125;12.3;56.5;18;6.9;1.2875;
2018-09-02;0;33.2;22.2875;12.4;56.25;21;7.7;1.354167;
2018-09-03;0;31.5;21.845833;16.5;69.083333;31;11.8;2.191667;
2018-09-04;10;20.8;16.008333;11.8;68.166667;45;12.1;4.116667;
2018-09-05;6;21.3;14.75;10.2;75.958333;45;8.3;1.979167;
2018-09-06;0;24.8;16.541667;11;68.041667;34;11;2.716667;
2018-09-07;0;28.1;17.629167;10.3;67.791667;27;9.2;1.795833;
2018-09-08;0;28.9;17.720833;10;71.416667;26;8.4;1.641667;
2018-09-09;0;27.6;17.5625;10.4;72.916667;35;9.3;1.9125;
2018-09-10;0;26.7;18.504167;12.3;68.958333;36;9.5;2.166667;
2018-09-11;0;26.6;19.395833;16;66;39;11.6;2.866667;
2018-09-12;0;25;18.908333;14.2;68.625;47;9.1;3.575;
2018-09-13;0;26.4;20.2875;16.7;67.708333;47;9.3;4.3375;
2018-09-14;0;20.4;16.95;13.9;88.875;68;12.3;1.583333;
2018-09-15;11.8;26.5;19.995833;15.7;78.375;46;9.3;2.204167;
2018-09-16;.2;25.4;19;15.9;71.833333;45;7.8;2.270833;
2018-09-17;0;17.5;15.316667;12.1;88.666667;76;8.2;1.229167;
2018-09-18;3.4;26.9;20.254167;15.2;79.25;50;8.4;1.395833;
2018-09-19;0;30.9;22.429167;14.5;70.791667;35;7.4;1.291667;
2018-09-20;0;24.2;20.195833;18;83.416667;66;9;1.370833;
2018-09-21;12.6;28.9;21.3625;16.6;76.666667;41;11;2.583333;
2018-09-22;0;31.3;21.233333;13.8;70.416667;29;8.4;1.908333;
2018-09-23;0;32.9;23.4875;16.1;63.291667;27;9;2.366667;
2018-09-24;0;34.4;23.670833;15;63.333333;17;9.6;1.958333;
2018-09-25;0;31.4;22.0625;16.4;73.25;39;8.7;2.545833;
2018-09-26;0;34;23.6875;17.9;69.291667;29;16.1;2.445833;
2018-09-27;2.6;33.2;22.929167;18.6;75.791667;32;10.2;2.120833;
2018-09-28;13.6;23.3;20.795833;18.6;86.083333;75;7.2;1.3875;
2018-09-29;.4;28.7;22.695833;19.4;75.541667;53;7.8;2.579167;
2018-09-30;0;29.6;22.291667;19.1;81.791667;53;8.9;2.345833;
2018-10-01;4;26.7;21.325;19.5;85.916667;58;13.2;1.6875;
2018-10-02;7.2;33;23.25;15.1;69.75;27;8.2;1.495833;
2018-10-03;0;33.7;23.329167;17.6;72.333333;32;13.6;1.766667;
2018-10-04;54.6;26;21.766667;18.4;81.833333;63;7.6;2.2875;
2018-10-05;0;22;19.35;18.7;77.625;65;9.6;3.0875;
2018-10-06;.4;19.2;16.704167;15.1;83.125;67;7.7;1.7875;
2018-10-07;8;22.8;18.5625;14.4;84.416667;70;6.5;1.691667;
2018-10-08;.4;22.4;20.175;18.6;89.416667;81;5.4;1.825;
2018-10-09;22.8;28.5;22.7125;19.2;81.25;52;13.5;2.433333;
2018-10-10;.4;30.1;23.791667;19.2;73.166667;46;9.7;1.9375;
2018-10-11;0;24.2;22.070833;20.9;80.708333;69;9.7;1.779167;
2018-10-12;.4;29;23.204167;19.2;77.291667;56;8.5;2.629167;
2018-10-13;0;34.1;23.791667;18.1;77.791667;39;13.9;1.954167;
2018-10-14;23.8;21.9;20.6875;19.6;87.666667;76;6.8;1.7375;
2018-10-15;6.8;25.8;20.3375;18;82.916667;66;8.3;2.016667;
2018-10-16;.4;25.4;21.541667;18.6;79.541667;66;6.5;2.095833;
2018-10-17;0;28;23.470833;20.5;78.75;59;7.9;2.429167;
2018-10-18;5.6;30.7;24.629167;20.7;75.958333;44;10.1;2.029167;
2018-10-19;3.8;24;21.933333;20.5;79.375;67;8;2.641667;
2018-10-20;.2;24;18.8125;14.9;67.75;40;12.2;3.070833;
2018-10-21;0;25.9;18.6;14.5;63.291667;37;11.4;2.9375;
2018-10-22;0;29.3;20.5625;15.1;67.791667;40;11.4;2.729167;
2018-10-23;0;32;22.5375;14.4;68.791667;34;7.6;1.6625;
2018-10-24;2.6;23.2;20.033333;19.5;87.166667;72;11;2.120833;
2018-10-25;34.6;22.2;19.616667;17.9;89.916667;77;7.1;1.5625;
2018-10-26;4.6;26.1;21.4375;18.9;83.833333;61;4.9;1.479167;
2018-10-27;4;29.4;23.829167;19.8;76.291667;48;12.2;2.675;
2018-10-28;2.2;24;19.9125;17.7;71.375;51;9.2;2.8125;
2018-10-29;0;22.8;18.354167;16.1;73.833333;59;8.2;2.120833;
2018-10-30;0;28.1;20.241667;16.1;75.5;50;13.5;2.283333;
2018-10-31;0;33;23.641667;17.7;71.041667;37;15.9;2.870833;
2018-11-01;22.2;30.4;22.7375;17.9;75.666667;43;9.6;1.904167;
2018-11-02;3;26.6;22.0125;18.9;74.916667;61;7.2;1.8875;
2018-11-03;0;32.6;24.791667;19.1;67.291667;38;12;2.8125;
2018-11-04;29.8;24.7;20.683333;17.5;82.458333;65;13.8;2.433333;
2018-11-05;0;21.1;18.920833;17.9;81.708333;74;6.6;2.15;
2018-11-06;6;24.3;19.583333;16.6;81.083333;65;7.6;2.975;
2018-11-07;.2;24.2;20.779167;18.3;82.75;69;7.3;2.0875;
2018-11-08;11.8;20.2;18.745833;18.1;91.125;86;8.4;2.383333;
2018-11-09;8.4;26.4;19.7;15.4;79.541667;55;9.8;3.316667;
2018-11-10;0;28.6;21.766667;17.8;76.541667;47;8.1;2.6;
2018-11-11;22.2;29.2;22.866667;19.6;78.833333;49;7.7;1.65;
2018-11-12;.2;32.2;24.420833;20.1;71.708333;38;11.3;2.429167;
2018-11-13;0;32.1;25.308333;20.1;68.416667;42;7.2;2.129167;
2018-11-14;0;34.5;26.791667;20;63;26;7.4;2.116667;
2018-11-15;0;32.5;24.233333;19.9;75.125;42;11.7;1.9375;
2018-11-16;6.6;27.8;22.679167;21.1;78;62;14.7;3.016667;
2018-11-17;0;28.4;22.5125;16.9;67.083333;50;8.3;3.025;
2018-11-18;0;31.4;24.604167;18.4;69.041667;40;7.8;2.654167;
2018-11-19;20.6;24;19.616667;18.8;87.208333;72;8.4;2.466667;
2018-11-20;3.4;21.6;18.104167;16.2;81;66;8.1;1.783333;
2018-11-21;.4;21.9;18.5125;16.1;83.458333;73;6.9;2.6375;
2018-11-22;.2;30.1;22.954167;16.2;70.75;41;7.8;2.208333;
2018-11-23;0;31.3;23.7;17.9;68.291667;39;9.9;2.395833;
2018-11-24;12.4;27.3;22.3875;19.8;80.083333;54;9.8;2.758333;
2018-11-25;13.6;29.9;22.7125;18.2;76.333333;45;13.5;2.5;
2018-11-26;13.4;23.1;20.416667;19.3;80.125;66;10.1;2.508333;
2018-11-27;0;28.4;20.991667;15.1;70.208333;44;9.2;2.333333;
2018-11-28;0;29.8;22.508333;16.9;71.041667;46;9.3;2.6125;
2018-11-29;0;31.7;23.233333;18.2;71.958333;36;14.3;2.25;
2018-11-30;.2;30.6;23.095833;19.3;75.375;43;8.3;1.616667;
2018-12-01;45;27.5;21.795833;19.3;85.875;60;11.2;2.133333;
2018-12-02;8.2;28.5;23.133333;19.9;76.041667;46;10.1;1.979167;
2018-12-03;0;27.3;21.658333;18.9;71.25;51;8.8;2.8875;
2018-12-04;0;31.8;23.741667;17.9;67.583333;30;7.6;2.441667;
2018-12-05;.2;31.8;23.495833;18.2;76.041667;41;12.6;1.645833;
2018-12-06;2;30.3;22.308333;17.1;75.291667;48;11.3;2.279167;
2018-12-07;.4;22.5;20.0375;18.1;81.166667;72;7.2;2.0875;
2018-12-08;1.2;22;18.479167;16.3;72.083333;53;10.5;3.5;
2018-12-09;0;27.8;19.391667;12.6;66.875;36;9.1;2.8625;
2018-12-10;0;30.9;22.6625;14.6;60;27;7.2;2.091667;
2018-12-11;0;33.5;24.154167;15.6;58.083333;24;6.6;1.645833;
2018-12-12;0;34.5;25.320833;16.8;58.291667;25;9.2;1.454167;
2018-12-13;0;35;25.5125;17.5;59.083333;20;10.8;1.8375;
2018-12-14;0;35.1;25.329167;16.3;60.458333;19;11.6;1.6375;
2018-12-15;0;35.1;25.85;19.3;65.916667;25;9.7;1.704167;
2018-12-16;0;34.8;26.075;22.4;66.875;37;10.1;1.920833;
2018-12-17;0;35.4;26.420833;20.5;69.125;29;18.7;2.2125;
2018-12-18;29.8;35;27.308333;21.3;66.25;31;10.4;2.458333;
2018-12-19;0;34.3;25.35;22;71.791667;35;11.3;2.166667;
2018-12-20;.8;34.7;26.154167;19.6;69.166667;30;7;1.5375;
2018-12-21;1.8;31.8;25.7875;20.8;73.083333;50;9.5;1.391667;
2018-12-22;11.6;33.9;24.233333;20.1;76.083333;38;21.4;2.175;
2018-12-23;1;31.5;24.1;19.9;76.875;45;7.5;1.404167;
2018-12-24;1.8;28.7;22.9;21.7;82.625;58;8.7;1.791667;
2018-12-25;5.6;26.9;21.683333;18.9;79.75;51;8.5;1.545833;
2018-12-26;1.8;22.5;20.591667;20;86.666667;77;5.5;1.583333;
2018-12-27;10.4;29.1;22.0875;19.5;82;53;10.2;1.529167;
2018-12-28;20.6;31.2;22.416667;19.3;79.375;35;9.9;1.629167;
2018-12-29;3.4;31.8;22.804167;16.7;74.041667;37;11.4;1.654167;
2018-12-30;0;33.4;24.991667;19.1;70.166667;32;10.2;2.054167;
2018-12-31;0;33.2;25.15;19;68.416667;27;10.2;2.366667;
2019-01-01;0;32;24.525;19.5;74.5;43;10.4;2.2625;
2019-01-02;.4;32.2;25.445833;21.4;74.166667;47;10.7;1.5625;
2019-01-03;0;33.8;25.716667;20.9;73.708333;38;15.9;1.954167;
2019-01-04;2.6;32.5;23.983333;21.3;82;49;13;2.004167;
2019-01-05;47.8;25.4;22.6625;20.4;86.208333;70;9.2;1.666667;
2019-01-06;.8;33.3;25.541667;19.6;72.666667;33;7.7;1.929167;
2019-01-07;0;35.5;26.808333;19.9;66.625;30;12.1;2.120833;
2019-01-08;.2;35;25.583333;19.6;69.791667;30;10.1;1.5625;
2019-01-09;17.2;33.7;25.6375;19.6;71.083333;32;7.7;1.7125;
2019-01-10;0;33.8;26.283333;20.7;66.416667;34;7.9;1.795833;
2019-01-11;0;34;25.875;20.4;69.375;33;9;1.95;
2019-01-12;.6;33.5;24.858333;18.7;70.291667;25;9.1;1.916667;
2019-01-13;0;32.9;24.233333;19.8;75.291667;42;20.8;1.841667;
2019-01-14;8;33.2;24.670833;19;73.916667;42;24.4;1.516667;
2019-01-15;33;33.8;24.729167;19.5;75.5;40;9.1;1.479167;
2019-01-16;13.2;33.9;25.5125;19.9;72.333333;38;13.3;1.870833;
2019-01-17;15;33.8;25.2625;19.9;70.333333;33;9.6;1.7125;
2019-01-18;0;34.1;25.558333;20.9;73.458333;38;18.4;1.9;
2019-01-19;34.8;32.7;24.35;20.1;76.625;47;9.2;1.441667;
2019-01-20;15.8;32.8;24.7875;21.6;77.75;45;10.6;1.616667;
2019-01-21;1.4;33.7;25.25;21.5;76.708333;42;9.4;1.6625;
2019-01-22;0;33.6;24.591667;21.1;79;43;8.9;1.741667;
2019-01-23;17;33.2;25.279167;19.8;74.541667;38;9;1.833333;
2019-01-24;.2;32.7;24.358333;20.9;77;47;12.8;1.5875;
2019-01-25;5;25.1;20.479167;18.8;88.791667;73;15.1;1.625;
2019-01-26;18.4;27.8;21.054167;17;79.833333;48;9.9;2.095833;
2019-01-27;.2;32;24.304167;17.7;72;43;8.6;2.091667;
2019-01-28;0;34;26.108333;18.9;67.583333;29;6.3;1.7375;
2019-01-29;0;35.6;27.191667;21;63.958333;26;10.8;1.179167;
2019-01-30;0;36;26.970833;18.7;60.333333;24;7.1;1.483333;
2019-01-31;0;35.3;26.675;18.8;59.375;23;7.1;1.633333;
2019-02-01;0;35.6;26.195833;17;55.166667;17;8.2;1.9;
2019-02-02;0;36.2;27.804167;19.9;60.458333;30;8.6;1.629167;
2019-02-03;0;33.9;26.933333;22.5;67.291667;27;9;2.233333;
2019-02-04;17.4;25.3;21.408333;19;85.958333;72;9.8;2.175;
2019-02-05;26.8;26.8;20.958333;17.8;80.416667;61;9.2;2.683333;
2019-02-06;2.8;23.9;19.754167;18.2;86.958333;70;12.8;2.408333;
2019-02-07;28;28.2;21.645833;17.8;78.75;50;8.7;1.891667;
2019-02-08;0;31.2;23.204167;17.5;73.041667;37;9.4;1.945833;
2019-02-09;0;32.7;24.166667;18.4;66.25;24;7.3;1.966667;
2019-02-10;0;33.3;24.608333;17.8;69.125;38;9.4;2.033333;
2019-02-11;23;33.2;25.3875;19.9;73.375;40;10.4;1.508333;
2019-02-12;0;32.3;25.195833;21.4;77.875;47;9.3;1.583333;
2019-02-13;3.2;24.9;22.125;20.8;81.541667;67;7.2;2.283333;
2019-02-14;.2;26.1;21.216667;18.4;77.125;56;7.4;1.941667;
2019-02-15;0;26.1;21.5;17.1;80.375;66;5.7;1.683333;
2019-02-16;14.2;26.7;22.9625;20.7;84.958333;63;6.4;1.254167;
2019-02-17;.2;28.4;22.916667;20.1;84.416667;56;9.4;1.679167;
2019-02-18;9;29.2;23.279167;20.7;84.833333;52;6.6;1.2125;
2019-02-19;6;32.1;24.8375;20.5;74.291667;40;13.8;2.008333;
2019-02-20;1.2;30.5;22.675;19.6;82.666667;51;7.6;1.208333;
2019-02-21;2.4;29;23.2875;20.4;81.5;56;6.7;1.641667;
2019-02-22;.4;32.8;23.720833;20.4;82.291667;41;13.6;1.8;
2019-02-23;42.2;33.6;24.133333;18.8;79.458333;39;9.9;1.420833;
2019-02-24;2.6;34.5;26.4625;19.9;71.916667;32;8;1.191667;
2019-02-25;0;33;24.675;22.1;80.166667;46;16.3;1.691667;
2019-02-26;19.2;28.4;22.4375;20.4;83.958333;60;10.8;1.8625;
2019-02-27;9.2;29.9;22.529167;19.6;84.208333;48;13.9;1.254167;
2019-02-28;27.4;28.2;22.9875;21.1;85.666667;56;8.6;1.5;
2019-03-01;5.4;26.3;22.05;20.9;89.541667;68;12.3;1.191667;
2019-03-02;21.8;27.7;23.120833;20.1;82.958333;59;5.3;1.55;
2019-03-03;5.6;28.8;23.05;21.3;84.208333;55;6.8;1.208333;
2019-03-04;6.6;26.6;22.008333;19.4;82.708333;62;11.6;2.116667;
2019-03-05;.2;30;23.416667;19.9;79.083333;49;10.2;1.679167;
2019-03-06;4.8;31.5;24.0125;19;75.041667;42;13.9;1.341667;
2019-03-07;.2;32.7;24.041667;20.3;79.875;42;11.4;1.695833;
