Nome: VALPARAISO
Codigo Estacao: A734
Latitude: -21.31916666
Longitude: -50.93027777
Altitude: 381.9
Situacao: Operante
Data Inicial: 2018-09-01
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-09-01;0;37.4;27.954167;18.4;36.875;15;12.1;2.158333;
2018-09-02;0;30.7;22.679167;20.2;68.375;41;11.6;2.708333;
2018-09-03;.2;21.7;15.433333;12.2;74.916667;45;10.2;2.9625;
2018-09-04;.2;25;16.741667;10.3;66.5;30;7.8;2.25;
2018-09-05;0;26.9;17.920833;8.1;53.958333;22;11.7;3.075;
2018-09-06;0;30.5;19.720833;10.3;47.833333;15;9.9;3.154167;
2018-09-07;0;35.5;22.658333;12.4;41.333333;10;8;2.004167;
2018-09-08;0;36.6;24.208333;10.5;34.916667;10;7.4;1.2625;
2018-09-09;0;36;26.0625;15.8;31.083333;12;8.1;2.366667;
2018-09-10;0;36.5;25.9125;16.6;35.708333;12;10;2.670833;
2018-09-11;0;35.2;25.3;16.7;42.708333;15;7.3;2.4125;
2018-09-12;0;34.7;24.641667;14.4;46.416667;18;11.3;3.5125;
2018-09-13;0;36.5;25.4875;16.1;47.75;17;9;3.104167;
2018-09-14;0;28.6;20.895833;19;75.958333;30;10.9;2.879167;
2018-09-15;4.2;26.7;20.633333;17.1;81.5;50;4.1;.620833;
2018-09-16;0;28.6;21.933333;16.5;73.125;45;16.2;2.029167;
2018-09-17;30.8;25.2;20.666667;17.8;86.333333;66;10.5;3.108333;
2018-09-18;.2;29;22.329167;18.3;83.625;56;9.4;2.095833;
2018-09-19;.8;33.9;25.104167;18.2;67.875;35;7.4;1.454167;
2018-09-20;4.2;29.2;20.529167;18.1;80.916667;49;15.4;4.925;
2018-09-21;8.2;31.8;22.25;15;73.041667;32;6.8;1.6125;
2018-09-22;0;36.1;26.516667;17.9;57.458333;26;6.6;1.7375;
2018-09-23;0;37.4;27.575;18.6;45.041667;16;8.3;1.916667;
2018-09-24;0;39.1;27.216667;15.5;46.208333;14;8.5;1.520833;
2018-09-25;0;36.8;26.7;19;49.291667;24;10.4;2.308333;
2018-09-26;0;35.7;26.879167;19.3;57.333333;28;7.2;1.770833;
2018-09-27;.8;30.6;24.529167;22.3;72.25;41;13.6;2.691667;
2018-09-28;2.6;35.1;25.825;19.3;62.708333;28;7.9;1.6875;
2018-09-29;0;33.7;26.895833;21.1;57.083333;33;11.9;2.945833;
2018-09-30;0;27.6;22.691667;22.6;84;56;13.1;1.275;
2018-10-01;68;33.3;25.191667;19.5;73.833333;37;7.2;1.804167;
2018-10-02;0;32.8;26.729167;21.5;66.958333;41;7.1;1.729167;
2018-10-03;0;37;27.758333;20.8;66;28;7.7;1.058333;
2018-10-04;0;35.5;27.258333;21;63.208333;31;9.3;1.291667;
2018-10-05;0;30.9;25.533333;20.6;63.458333;41;9;3.0125;
2018-10-06;0;32.3;23.966667;16.9;61.208333;37;10.1;3.525;
2018-10-07;0;32.7;23.629167;18.9;71.291667;47;17.3;3.6875;
2018-10-08;63.8;28.4;23.595833;21.4;87.458333;69;8.6;2.675;
2018-10-09;28;33.5;25.5125;20.4;76.875;43;11.9;2.375;
2018-10-10;4;27.6;23.445833;20.4;83.541667;69;10.4;2.441667;
2018-10-11;.4;31.2;25.395833;21.9;75.833333;49;10;3.041667;
2018-10-12;0;34.4;26.125;18.8;65.041667;37;10;2.875;
2018-10-13;.6;33;26.995833;23.6;70.041667;42;10;.741667;
2018-10-14;3.4;34.3;26.595833;22;74.541667;39;8.4;.7;
2018-10-15;0;34.1;27.370833;22.2;69.083333;39;8.5;1.4125;
2018-10-16;.8;34.8;27.154167;23.2;69.25;41;12;1.475;
2018-10-17;.4;35.2;28.370833;23;64.166667;33;12;2.029167;
2018-10-18;0;35.8;27.670833;22.8;64.958333;35;18;2.7375;
2018-10-19;3.2;31.6;24.404167;18.8;75.458333;46;11.6;1.8875;
2018-10-20;0;30.3;23.825;17.6;57.708333;35;14.5;4.791667;
2018-10-21;0;31.4;22.916667;14.6;56;34;11.5;3.3125;
2018-10-22;0;34;25.120833;16.8;57.875;33;11.2;2.654167;
2018-10-23;0;35.3;27.541667;20.7;61.416667;31;7.5;1.7375;
2018-10-24;18.6;27.7;22.970833;20.4;89.041667;59;8.3;1.9875;
2018-10-25;43.6;29;23.933333;21.9;88.333333;62;8;1.35;
2018-10-26;7.4;29.5;24.154167;22;86.666667;59;8;.9125;
2018-10-27;18;30.1;23.875;21.4;83.083333;53;8.7;1.995833;
2018-10-28;1;31.1;23.516667;16.2;68.666667;29;5.1;.675;
2018-10-29;0;30;23.2875;17.2;60.958333;36;8.7;2.3;
2018-10-30;0;34.4;25.9875;19.7;56.875;33;7;1.908333;
2018-10-31;0;36.6;27.908333;21.8;58.5;31;20.1;2.1625;
2018-11-01;1;32.8;24.5375;19.7;68.333333;45;20.1;2.704167;
2018-11-02;0;33.9;25.554167;19.1;66.791667;34;7.2;1.008333;
2018-11-03;0;35.6;28.05;21.8;63.416667;35;8.4;1.433333;
2018-11-04;51.6;29.1;24.2;20.4;79.291667;56;12.5;2.220833;
2018-11-05;.2;31;24.508333;18.6;67.708333;46;10.4;3.191667;
2018-11-06;0;32;25.175;17.7;65.708333;44;9.2;3.295833;
2018-11-07;13.2;27.1;23.108333;21;85;62;12.5;4.6625;
2018-11-08;10;23;21.066667;19.4;79.625;67;14.3;5.216667;
2018-11-09;14.2;25.4;21.2125;18.5;80.75;63;13.6;4.808333;
2018-11-10;4;31.1;23.508333;19.7;81.333333;51;8;2.7625;
2018-11-11;0;34.9;26.708333;20.6;67.375;28;5.8;1.708333;
2018-11-12;0;35.6;27.366667;20.4;61.083333;29;6.7;1.383333;
2018-11-13;0;35.7;28.833333;22.3;57.833333;34;10.4;2.579167;
2018-11-14;0;34.8;26.5875;23.5;73.708333;44;9.9;2.070833;
2018-11-15;6.2;34.9;26.6625;21.2;74.083333;38;7.3;.795833;
2018-11-16;0;35.5;28.258333;22.9;67.208333;39;8.3;2.15;
2018-11-17;9.4;30.9;24.3;21;81.25;57;14.3;2.6375;
2018-11-18;2;29.2;24.979167;22.6;82.541667;64;12.5;3.254167;
2018-11-19;49.6;29.9;23.841667;21.3;85.75;59;10.7;2.2625;
2018-11-20;7.2;27.4;22.558333;18.2;73;59;10.7;2.779167;
2018-11-21;0;31;24.045833;17.1;68.791667;46;9.2;2.741667;
2018-11-22;0;33.7;26.283333;20.4;69.083333;42;10.1;2.983333;
2018-11-23;1.6;27.1;22.733333;21.7;89.083333;70;11.9;2.95;
2018-11-24;48.8;30.1;24.420833;19.9;83.708333;59;8.7;2.633333;
2018-11-25;4.4;31.9;25.383333;20.7;76.458333;46;9.3;1.3875;
2018-11-26;0;31.3;25.725;21.7;71.75;43;9.6;3.408333;
2018-11-27;0;32.3;25.554167;18.8;58.875;35;9.6;3.020833;
2018-11-28;0;33.3;26.683333;20.6;59.666667;32;10.9;3.3;
2018-11-29;0;34.1;27.175;20.2;58.5;35;8.9;1.695833;
2018-11-30;0;33.9;26.0875;22.4;73.208333;39;12.3;1.545833;
2018-12-01;13.2;30.6;24.279167;21.9;85.791667;59;9.9;1.166667;
2018-12-02;0;33.7;26.0875;22.2;74.041667;35;7.4;1.029167;
2018-12-03;0;32.2;25.483333;19.9;66.666667;37;9;2.429167;
2018-12-04;0;34.3;26.733333;19.5;62.541667;32;6.2;1.208333;
2018-12-05;0;35.5;27.5875;20.5;59.208333;28;7.3;1.033333;
2018-12-06;0;36.1;27.208333;19;56.666667;26;6.5;1.1125;
2018-12-07;0;35;26.6125;18.8;56.916667;21;11.1;1.520833;
2018-12-08;0;31;24.425;18.3;55.625;28;9.8;2.9375;
2018-12-09;0;32.9;23.983333;15.1;56.625;27;10.6;2.908333;
2018-12-10;0;34;26.4125;20.2;58.25;32;11.8;2.0125;
2018-12-11;0;35.3;27.183333;20.5;56.375;28;10.8;2.741667;
2018-12-12;0;36.2;28.35;19.8;53.333333;25;10.4;1.4;
2018-12-13;0;36.6;27.854167;21.2;59.375;26;9.8;1.845833;
2018-12-14;0;36.4;27.391667;21.2;60.708333;28;11.1;1.958333;
2018-12-15;0;36.4;28.254167;23.6;60.25;30;7.3;1.541667;
2018-12-16;0;37.7;28.966667;21.6;55.583333;22;10.8;1.766667;
2018-12-17;2;38;27.754167;22.4;64.541667;27;19.3;2.104167;
2018-12-18;36.4;37.9;28.591667;22;65.25;27;7.4;1.445833;
2018-12-19;.2;34.2;26.708333;22.5;71.083333;36;11.3;1.929167;
2018-12-20;0;37.1;28.5875;21;61.583333;25;7.8;1.104167;
2018-12-21;0;39.3;28.779167;21.8;58.625;23;14;1.325;
2018-12-22;0;35.7;26.383333;22.1;69.333333;33;12.3;1.445833;
2018-12-23;2.2;32.1;24.25;21.9;84.166667;51;10;1.545833;
2018-12-24;2.6;33.3;25;22.1;81.666667;40;9.1;.975;
2018-12-25;35.4;29.5;23.470833;21.9;89;59;6.2;.866667;
2018-12-26;26.4;30.9;24.604167;21.1;83.916667;57;10.8;.991667;
2018-12-27;.8;32.4;24.7;20;81;47;14.9;.908333;
2018-12-28;33.2;31.6;25.733333;20.9;81.375;55;8.4;.875;
2018-12-29;6.8;32.9;27.070833;22.5;74.5;46;7.3;1.483333;
2018-12-30;.2;30.5;25.7375;22.4;82.583333;60;8.8;.883333;
2018-12-31;7.4;34.2;26.420833;22.2;79.291667;44;10.5;.5125;
2019-01-01;1.2;33.8;27.266667;23.3;76.208333;44;7.6;1.433333;
2019-01-02;0;34.6;28.654167;23.8;67.416667;40;8.4;1.558333;
2019-01-03;0;36;28.941667;23.5;65.958333;36;7.7;1.070833;
2019-01-04;0;33.2;26.483333;23.4;77.125;54;11.2;2.066667;
2019-01-05;24.6;30.9;25.158333;21.7;84.166667;52;6.9;1.316667;
2019-01-06;3.4;31;25.141667;21.3;79.75;55;8.5;2.054167;
2019-01-07;0;34.4;28.033333;23.4;65.125;38;11.3;2.908333;
2019-01-08;0;34.8;27.854167;21.8;69.708333;39;4.5;.525;
2019-01-09;0;35.6;27.816667;23.1;70.583333;38;10.9;1.5375;
2019-01-10;7.4;33.6;26.85;22.2;67.958333;29;7.9;1.129167;
2019-01-11;0;35.2;26.2375;21.3;69.041667;34;16;1.970833;
2019-01-12;1.6;33.5;27.2125;22.3;67.333333;39;6.1;1.041667;
2019-01-13;0;34.7;27.525;22;62.625;36;8.6;1.966667;
2019-01-14;0;36;27.55;21.6;65.458333;32;9.3;1.558333;
2019-01-15;0;36.2;28.391667;23.3;63.125;30;9.7;1.920833;
2019-01-16;0;37.5;28.658333;22.2;63.291667;23;8.9;1.041667;
2019-01-17;0;37.4;27.166667;22.1;68.666667;30;11.9;2.0375;
2019-01-18;2.2;34.9;27.1;22.3;69.291667;34;9.3;1.679167;
2019-01-19;0;34.4;26.433333;21.9;73.791667;38;8.6;1.070833;
2019-01-20;0;34.5;27.020833;21;69.75;37;7.3;1.05;
2019-01-21;0;37.4;28.704167;21.5;61.541667;30;6.4;.804167;
2019-01-22;0;38.8;29.991667;22.2;57.333333;25;9.3;.758333;
2019-01-23;0;37.3;29.0125;23.8;62.375;33;11.8;1.2;
2019-01-24;0;36.2;26.583333;21.4;73.708333;37;24.1;1.033333;
2019-01-25;36.2;35.6;26.620833;20.7;73.625;34;10.6;.883333;
2019-01-26;.2;32.9;26.304167;21.1;69.125;45;12.7;2.895833;
2019-01-27;7.2;30.3;23.745833;20.7;81.125;46;14.5;2.516667;
2019-01-28;5.6;34.8;26.7125;20;66.416667;31;9.6;2.229167;
2019-01-29;0;36.8;28.304167;20;62.416667;27;8.1;1.233333;
2019-01-30;0;38.1;28.25;21.7;61.166667;24;9.3;1.2125;
2019-01-31;0;38.3;28.008333;21.1;61.583333;26;11.7;1.225;
2019-02-01;.4;38.8;27.575;22.3;63.208333;26;8;1.041667;
2019-02-02;1;37.8;28.566667;21.5;63.708333;33;7.7;.858333;
2019-02-03;0;39;28.666667;21.7;62.375;26;14.3;1.616667;
2019-02-04;8.2;35;27.045833;21;65.833333;33;8.7;1.566667;
2019-02-05;.8;30.9;25.058333;21.3;65.291667;44;9;2.625;
2019-02-06;0;32.4;25.570833;21.3;67.708333;41;8.9;1.529167;
2019-02-07;0;35.6;26.379167;18.4;62.416667;31;10.5;1.791667;
