Nome: ARIRANHA
Codigo Estacao: A736
Latitude: -21.13305554
Longitude: -48.84055555
Altitude: 525.44
Situacao: Operante
Data Inicial: 2018-09-01
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-09-01;null;34.7;23.2;13.5;51;19;9.5;1.379167;
2018-09-02;null;35.2;23.725;13.8;53.333333;19;14.4;3.1625;
2018-09-03;null;23.1;17.241667;14.4;81.375;62;12.4;2.654167;
2018-09-04;null;23.8;14.395833;6.4;73.75;35;7.1;1.479167;
2018-09-05;null;25.8;17.4875;9.6;57.083333;23;11.8;2.670833;
2018-09-06;null;30.6;19.866667;10.4;48.625;14;9.3;2.270833;
2018-09-07;null;34.2;22.441667;9.9;41.458333;13;7.3;1.7375;
2018-09-08;null;34.5;23.9;11.8;39.791667;14;6.6;1.379167;
2018-09-09;null;34.1;23.766667;11.2;39;14;5.9;1.591667;
2018-09-10;null;34.8;23.945833;12.3;39.125;13;7.6;1.466667;
2018-09-11;null;33.8;23.2375;14.1;48.833333;18;6;1.791667;
2018-09-12;null;34.6;24.55;16.2;47.375;18;8.1;2.675;
2018-09-13;null;35.5;24.8375;15.6;50.416667;18;16.1;2.558333;
2018-09-14;null;26.4;20.629167;19;74.375;45;9.3;2.729167;
2018-09-15;null;25.8;20.8375;18.2;82.416667;57;5.8;1.625;
2018-09-16;null;29.1;21.913043;16.1;75.130435;47;5.1;1.004348;
2018-09-17;null;23.3;19.308333;17.6;88.5;70;12;1.970833;
2018-09-18;null;25.8;21.304167;17.7;84.291667;63;6.7;1.491667;
2018-09-19;null;32.3;23.775;16.4;73.333333;39;6.8;.908333;
2018-09-20;null;25.6;21.145833;17.4;82.541667;60;12.9;2.6875;
2018-09-21;null;30.4;22.3625;17.6;75.458333;37;6.7;1.3375;
2018-09-22;null;33.3;24.333333;15.8;64.583333;26;5.5;1.0625;
2018-09-23;null;35.2;24.891667;14.2;54.375;19;6.4;1.104167;
2018-09-24;null;37.6;27.45;16.8;45.5;15;10.6;1.7375;
2018-09-25;null;36.4;27.5625;18.7;43.625;20;11.8;2.466667;
2018-09-26;null;35.1;26.304167;20.2;57.166667;25;10.6;2.245833;
2018-09-27;null;31.4;25.408333;21.7;68.625;37;10.1;2.4125;
2018-09-28;null;32.2;24.8375;20.7;71.708333;34;5.2;1.541667;
2018-09-29;null;34.1;25.925;19.9;62.583333;28;6.4;1.729167;
2018-09-30;null;27.2;21.841667;20;82.416667;52;10.4;1.375;
2018-10-01;null;31.1;23.979167;19.6;73.375;38;7.7;1.733333;
2018-10-02;0;33.9;25.616667;18.1;63.458333;29;8.7;1.116667;
2018-10-03;0;35.9;27.15;18.5;59.041667;26;8.4;1.133333;
2018-10-04;.8;33;25.791667;19.6;66.708333;36;8.8;1.579167;
2018-10-05;0;33.2;25.729167;19;62.958333;37;7.7;2.5875;
2018-10-06;0;32.7;23.783333;16.7;65.291667;41;10.9;2.820833;
