Nome: IBITINGA
Codigo Estacao: A737
Latitude: -21.85555555
Longitude: -48.79972221
Altitude: 496.75
Situacao: Operante
Data Inicial: 2018-09-01
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-09-01;0;34.5;25.233333;16.4;41.125;17;8.6;1.041667;
2018-09-02;0;35.8;25.241667;17;51.458333;18;10.8;2.441667;
2018-09-03;3;22.8;16.625;14.7;84.944444;70;9.5;2.029167;
2018-09-04;.4;22.7;15.9375;10.9;69.083333;37;9.4;2.083333;
2018-09-05;0;24.2;15.729167;8.6;67.583333;28;9.3;2.670833;
2018-09-06;0;29.7;18.258333;8.4;58.434783;17;8.3;3.025;
2018-09-07;0;32.2;20.945833;10.7;52.909091;15;8.4;2.2875;
2018-09-08;0;33.2;22.683333;13.3;48.083333;12;5.7;1.745833;
2018-09-09;0;32.9;22.366667;12.8;51.833333;15;6;1.875;
2018-09-10;0;32.5;21.254167;11.8;59;19;6.9;2.516667;
2018-09-11;0;31.9;21.858333;14;59.541667;24;7.8;3.354167;
2018-09-12;0;31.9;21.879167;13.1;58.416667;27;9.9;3.9125;
2018-09-13;0;34.4;22.979167;13.8;60.458333;21;9.5;2.733333;
2018-09-14;4.8;26.4;18.816667;15.9;88.809524;47;9.4;2.375;
2018-09-15;10.8;25.8;20.425;17.2;79.266667;56;5.4;.804167;
2018-09-16;.2;28.3;20.916667;15.3;64.625;41;6.7;2.170833;
2018-09-17;11.2;22.4;18.433333;15.6;90.833333;62;11.5;2.058333;
2018-09-18;1.6;26.7;21.316667;15.7;84.263158;60;9.1;.941667;
2018-09-19;.2;31.8;24.216667;17.2;65.555556;39;7.2;1.008333;
2018-09-20;5.8;26.8;19.825;16.7;85.294118;57;14;3.658333;
2018-09-21;6.8;28.9;21.116667;15.4;63.333333;41;6.7;.679167;
2018-09-22;0;32;23.829167;16.7;58.105263;25;6;1.333333;
2018-09-23;0;33.9;24.6125;15.7;53.583333;21;6.5;1.241667;
2018-09-24;0;36.3;26.058333;16.3;51.333333;18;7;1.279167;
2018-09-25;0;36.2;25.820833;16.4;56.041667;22;9;2.554167;
2018-09-26;.4;34.8;26.075;19.3;64.5;27;12;2.408333;
2018-09-27;1.8;27.5;23.320833;20.8;84.833333;65;11.5;1.820833;
2018-09-28;0;29.2;22.820833;19.7;77.5;48;6.5;1.8625;
