Nome: SAO LUIS DO PARAITINGA
Codigo Estacao: A740
Latitude: -23.22833332
Longitude: -45.41694443
Altitude: 862.3
Situacao: Operante
Data Inicial: 2018-09-01
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-09-01;0;30.5;20.7125;11.9;54.416667;25;7.2;1.825;
2018-09-02;0;30.4;21.391667;12.1;51.5;27;8.6;1.579167;
2018-09-03;0;29.2;19.920833;15.3;75.041667;38;14.5;1.8125;
2018-09-04;5.8;18.2;13.420833;10.7;78.166667;63;13.2;3.108333;
2018-09-05;3;19.6;12.329167;8.7;85.333333;51;8.4;1.316667;
2018-09-06;0;22.9;13.033333;6.9;81.375;33;7.4;1.795833;
2018-09-07;.6;27;15.454167;8.1;78.25;20;6;1.4625;
2018-09-08;.2;27.2;15.675;8.3;80.25;29;5.9;1.125;
2018-09-09;.2;25;15.154167;9.2;84.333333;44;6.8;1.520833;
2018-09-10;.4;25.1;16.083333;11.2;78.041667;39;6.7;1.470833;
2018-09-11;0;23.9;16.375;12.4;79.875;52;8.4;1.95;
2018-09-12;0;23.1;15.933333;11;80.125;51;10.6;3.404167;
2018-09-13;0;26.9;17.508333;12.6;80.208333;47;8.8;1.9125;
2018-09-14;0;17.2;15.320833;13.1;96.416667;89;13.4;1.6875;
2018-09-15;37.6;23.5;17.804167;14.3;86.333333;59;7.9;1.6875;
2018-09-16;0;23.4;16.683333;13.4;80.333333;49;7.3;1.429167;
2018-09-17;0;16.7;13.691667;10.7;96;89;5.8;.9125;
2018-09-18;4.2;24.6;18.870833;13.2;83.666667;59;9.4;1.595833;
2018-09-19;1;28.8;20.958333;14.3;76.166667;42;9;1.625;
2018-09-20;0;22.4;18.641667;17;86.958333;69;14.5;1.904167;
2018-09-21;14.8;26.4;19.229167;15.6;83.291667;50;10.3;1.833333;
2018-09-22;.2;28.3;18.625;12.4;80.291667;41;7.7;1.35;
2018-09-23;.2;30.7;20.395833;12.9;74.416667;28;9.7;1.820833;
2018-09-24;0;32.2;21.404167;13.9;70.166667;24;8.3;1.5375;
2018-09-25;.2;28.2;19.266667;14.1;85.5;50;7.7;2.016667;
2018-09-26;0;32.1;21.391667;16.5;78.541667;32;16;1.791667;
2018-09-27;8.2;30;20.529167;16.6;84;43;9.5;1.741667;
2018-09-28;16.6;21.4;18.479167;16.8;94.5;82;5.8;.908333;
2018-09-29;.8;26.8;20.054167;17.1;86.333333;59;6.5;1.229167;
2018-09-30;.4;29.4;20.291667;16.1;87.833333;57;10.1;1.391667;
2018-10-01;6.2;24.2;20.25;18.1;87.041667;66;7.5;1.279167;
2018-10-02;1.4;30.5;21.691667;15.6;78.083333;41;7;1.425;
2018-10-03;0;31.8;21.925;16.3;77.25;41;18.2;2.0625;
2018-10-04;23;23.5;19.5125;16.4;89.625;74;7.7;1.6375;
2018-10-05;0;18.9;16.566667;16.5;88.166667;76;9.9;2.508333;
2018-10-06;0;18.2;14.8375;13.5;84.708333;70;8.8;1.008333;
2018-10-07;9;20.9;16.3625;13.1;91.5;77;5.2;1.15;
2018-10-08;.4;21.2;18.370833;16;95.166667;87;5.9;.675;
2018-10-09;24.2;26.1;20.95;18.1;86.041667;64;11.2;1.770833;
2018-10-10;0;27.6;21.683333;16.7;79.791667;52;11.1;1.245833;
2018-10-11;.2;21.3;19.420833;18.7;91.583333;82;5.6;1.091667;
2018-10-12;.4;28;21.15;17.5;83.416667;57;6.8;1.4375;
2018-10-13;0;31.3;22.175;17.7;83.666667;48;13.1;1.870833;
2018-10-14;39.6;20.5;18.608333;18.3;92.416667;82;6.6;1.616667;
2018-10-15;23.2;23.4;17.8125;15.7;93.083333;77;6.4;1.3375;
2018-10-16;1.6;24;19.016667;16.5;89.708333;73;5.4;1.058333;
2018-10-17;0;26.1;21.229167;17.9;87.666667;68;7.3;1.041667;
2018-10-18;3.2;28.7;22.925;19.2;80.458333;52;8.8;1.425;
2018-10-19;0;23.7;19.745833;18.6;87.125;70;6.6;1.6625;
2018-10-20;4.6;20.7;15.4;13;82.333333;52;8.5;2.358333;
2018-10-21;0;22.7;14.866667;9.2;78.75;50;11.7;2.316667;
2018-10-22;0;27.6;17.445833;11.7;81.916667;48;7.3;1.616667;
2018-10-23;.2;30;20.429167;13.7;78.583333;38;7.7;1.720833;
2018-10-24;2.2;20.9;18.041667;17.1;93.291667;81;8.1;2.291667;
2018-10-25;19;21.1;18.05;16.3;94.875;81;5.8;.916667;
2018-10-26;7;24.8;19.895833;17.4;89.958333;71;4.7;.820833;
2018-10-27;3;27.5;21.554167;18.6;83.916667;60;15.4;2.645833;
2018-10-28;1;21.8;16.675;14.3;83.791667;60;8.6;1.770833;
2018-10-29;0;21.9;15.825;13.3;84.833333;62;6.5;1.725;
2018-10-30;.4;26.1;17.395833;12.6;87.125;59;6.7;1.220833;
2018-10-31;.2;30.3;20.320833;12.5;81.625;49;12.9;1.85;
2018-11-01;4.8;28.6;20.704167;16.7;81.375;51;8.4;1.729167;
2018-11-02;0;26.7;19.629167;16.2;83.583333;60;7.5;1.579167;
2018-11-03;0;30.2;21.954167;16.2;78.416667;46;13.8;2.5875;
2018-11-04;55;23.4;18.883333;16.6;88.5;67;14.4;2.045833;
2018-11-05;0;20;16.854167;15.2;86.166667;75;8.6;2.9625;
2018-11-06;0;23.9;17.841667;14.2;86.291667;61;6.2;1.5875;
2018-11-07;1.2;21.1;18.004167;16.6;95.125;84;5.6;.966667;
2018-11-08;38.6;18.5;17.058333;16.5;94.5;90;9.5;2.3625;
2018-11-09;17.6;24.5;17.5625;13.8;87.666667;58;10.4;2.679167;
2018-11-10;1.6;27.9;19.429167;15.5;86.041667;50;8.2;1.5125;
2018-11-11;20.4;28.9;21.116667;17;82.625;49;8.8;1.4375;
2018-11-12;.4;29.9;21.004167;15.9;83;45;10.3;1.654167;
2018-11-13;0;30.9;22.829167;16.1;76.541667;44;8.4;1.5625;
2018-11-14;0;31.7;24.508333;18.5;70.833333;36;8.4;1.941667;
2018-11-15;0;30.1;22.116667;19.1;84.333333;51;10.1;1.804167;
2018-11-16;70.4;23.5;19.654167;18.9;88.375;73;11.3;2.304167;
2018-11-17;0;28.1;19.670833;13;78.375;55;7;1.433333;
2018-11-18;.2;29.1;21.879167;15.9;77.75;50;11.9;2.583333;
2018-11-19;52.8;23.6;17.820833;17.6;94.5;75;10.5;2.091667;
2018-11-20;10;19.9;15.920833;13.2;87.416667;71;8;2.804167;
2018-11-21;0;21.4;16.829167;13.7;90.083333;73;6.8;1.345833;
2018-11-22;.6;28.1;20.8375;16;79.125;50;8.5;1.4375;
2018-11-23;0;28.3;21.270833;17.9;78.458333;50;14.2;2.266667;
2018-11-24;7.4;25.9;20.679167;17.9;82.25;57;14.4;3.258333;
2018-11-25;19.8;27.2;20.3;16.4;83.833333;55;15.1;2.133333;
2018-11-26;39.4;21;17.795833;16.7;88.291667;74;10.6;2.7875;
2018-11-27;0;24.8;17.833333;11.6;79.833333;52;8.4;1.879167;
2018-11-28;0;27.7;19.316667;13.8;83.291667;47;8;1.9;
2018-11-29;.2;29.9;19.7875;15.3;84.541667;41;9.1;1.691667;
2018-11-30;10;28.6;20.741667;16.5;83.458333;51;13.8;1.995833;
2018-12-01;67.8;25.7;19.958333;16.8;90.916667;66;10.1;1.445833;
2018-12-02;39.8;26.4;20.733333;18.4;84.75;56;9.3;1.5375;
2018-12-03;1.6;23.5;18.641667;16.3;86.458333;66;8.8;2.141667;
2018-12-04;0;28.5;20.779167;15.3;77.333333;46;9.6;1.845833;
2018-12-05;.2;29.4;21.4875;16.4;75.875;47;9.4;1.433333;
2018-12-06;1.6;28.5;19.6375;14;80.541667;47;8.9;1.679167;
2018-12-07;0;20.2;17.4;16.2;91.541667;81;6.9;1.4;
2018-12-08;0;19;15.520833;13;84.166667;66;9.6;2.870833;
2018-12-09;0;24.9;16;7.6;78.583333;44;8.6;1.745833;
2018-12-10;0;28.5;19.875;12.8;69.791667;33;8;1.954167;
2018-12-11;0;30;21.633333;13.7;63.625;31;6.9;1.333333;
2018-12-12;0;32;23.366667;16;64.166667;32;6.6;1.55;
2018-12-13;0;32.3;24.154167;16.7;60.625;27;8.6;1.595833;
2018-12-14;0;32.5;23.1125;14.3;63.25;23;8.2;1.55;
2018-12-15;0;33.5;23.533333;17.1;72.833333;29;16.6;1.25;
2018-12-16;11.4;31.1;22.875;19.1;82.375;47;8.7;1.4;
2018-12-17;1;32.1;24.458333;18;74.875;39;8.4;1.35;
2018-12-18;.4;32.4;25.145833;19.5;70.083333;37;8.1;2.358333;
2018-12-19;0;32.3;22.625;19.3;83.208333;45;12.4;1.816667;
2018-12-20;.6;31.4;23.766667;17.4;78.333333;45;7.3;1.466667;
2018-12-21;2.8;29.8;23.558333;18.6;79.166667;57;10.3;1.633333;
2018-12-22;.4;32;22.658333;18.5;80.791667;40;15.5;1.883333;
2018-12-23;21;29.2;21.958333;17.7;85;51;7.3;1.1;
2018-12-24;8.2;25.5;20.6375;19.9;92;70;7.8;1.579167;
2018-12-25;27.2;25;19.158333;16.5;91.333333;68;6;1.329167;
2018-12-26;22.8;24.1;19.283333;17;89.041667;64;5.4;1.266667;
2018-12-27;.2;26.9;19.720833;15.2;86.416667;62;9.2;1.566667;
2018-12-28;.2;29.1;19.704167;16.5;86.625;46;13.6;1.5875;
2018-12-29;6.2;28.7;19.9375;14.1;84.833333;49;9;1.175;
2018-12-30;0;30.2;21.783333;15.7;81.666667;43;9.1;1.7625;
2018-12-31;.2;29.7;21.904167;15.8;80.208333;43;10.6;1.854167;
2019-01-01;0;28.3;21.925;17.7;86.291667;59;9;1.675;
2019-01-02;14.2;29.1;23.091667;19.3;83.208333;57;7.3;1.666667;
2019-01-03;0;31.1;23.625;19.2;80.666667;49;15;1.970833;
2019-01-04;22.8;29.1;21.975;19.5;88.833333;61;15.7;1.929167;
2019-01-05;77.2;23.9;20.741667;18.4;91.666667;81;8.6;1.991667;
2019-01-06;4.8;30.2;23.166667;18.2;80.666667;44;10.5;1.633333;
2019-01-07;.2;31.9;24.404167;18.5;75.333333;40;16.6;2.154167;
2019-01-08;10.8;33.2;24.320833;18.2;74.125;32;9.6;.904167;
2019-01-09;.2;32.1;23.670833;17.8;79.5;35;7.1;1.3625;
2019-01-10;.2;31.3;24;18.7;76.625;39;6.7;1.3625;
2019-01-11;0;31.4;24.020833;18.6;76.791667;43;8;1.366667;
2019-01-12;0;31.1;22.808333;17.7;79.583333;41;9.2;1.520833;
2019-01-13;0;31.1;22.254167;17.2;81.208333;47;11.2;1.329167;
2019-01-14;4.8;32.3;22.616667;17.3;81.333333;44;23.4;1.591667;
2019-01-15;31;32;22.3375;17.2;81.708333;48;19.9;1.958333;
2019-01-16;25.4;31.7;23.608333;17;78.208333;43;8.9;1.983333;
2019-01-17;22;31.7;22.908333;18.3;79.75;41;16.4;1.916667;
2019-01-18;2.6;33.2;23.558333;18.5;80.416667;42;10.7;1.558333;
2019-01-19;6.6;31.9;22.3625;18.7;83.833333;53;19.4;1.429167;
2019-01-20;22.4;32.2;23.5375;19.3;84.25;46;7.5;1.691667;
2019-01-21;2.2;32.5;23.766667;19.4;81.041667;45;12.6;1.825;
2019-01-22;0;31.5;23.35;19.8;83.791667;57;9.8;1.458333;
2019-01-23;0;31.4;23.079167;18.1;83.25;48;9;1.520833;
2019-01-24;0;31.3;22.3375;18.6;83.208333;51;12.6;1.183333;
2019-01-25;9.8;23.2;18.516667;17;95.458333;83;14.3;1.475;
2019-01-26;62.6;26.9;19.529167;14.5;82.583333;52;16.1;1.958333;
2019-01-27;0;30.1;22.858333;16.7;76.333333;46;9;1.791667;
2019-01-28;.2;33;24.245833;17.2;73.916667;33;7.6;1.445833;
2019-01-29;0;33.6;25.029167;18.8;70.791667;36;10.9;1.225;
2019-01-30;.6;33.7;24.275;16.4;68.75;30;7.8;1.195833;
2019-01-31;0;33.1;24.1125;16.2;67.708333;29;7.4;1.116667;
2019-02-01;0;33.8;23.829167;14.8;60.458333;27;8.3;1.433333;
2019-02-02;0;34.6;25.195833;17.8;70.375;33;8;1.379167;
2019-02-03;0;31.5;24.25;20;78;32;8;1.65;
2019-02-04;13.4;22.4;19.508333;18.9;92.708333;86;7.6;1.241667;
2019-02-05;13.4;24;18.816667;17;89.833333;72;9.4;1.970833;
2019-02-06;2.6;20.9;17.55;16.4;93.458333;83;11.4;1.658333;
2019-02-07;28.8;26.3;19.445833;16.5;87.416667;55;6.9;1.495833;
2019-02-08;0;29.6;20.816667;15.7;82.083333;40;7.9;1.770833;
2019-02-09;.4;31;20.641667;13.5;78.875;35;7;1.1875;
2019-02-10;0;31.9;22.254167;14.4;77.458333;40;8.2;1.483333;
2019-02-11;34.6;31.3;23.895833;19.1;78.833333;46;9.5;2.254167;
2019-02-12;0;30.4;23.8375;19.8;81.583333;55;9.4;1.625;
2019-02-13;7.8;22.7;19.458333;18.7;91.75;80;8.5;2.2;
2019-02-14;1.8;24.1;18.7375;15.5;84.375;65;6.8;1.666667;
2019-02-15;0;24.3;19.883333;14.9;86.583333;67;5;.8;
2019-02-16;40.8;24.5;20.716667;19;94.291667;76;5.7;1.191667;
2019-02-17;2.8;27.9;20.6375;18.7;93.5;60;9.1;1.1375;
2019-02-18;28.2;28.5;22.095833;19;89.166667;59;9.7;1.358333;
