Nome: BARRA BONITA
Codigo Estacao: A741
Latitude: -22.4711111
Longitude: -48.5575
Altitude: 533.68
Situacao: Operante
Data Inicial: 2018-09-01
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-09-01;null;34.3;null;20;null;19;0;null;
2018-09-02;null;34.2;null;23.7;null;21;0;null;
2018-09-03;null;18;null;24.7;null;77;0;null;
2018-09-04;null;23.2;null;13.7;null;40;0;null;
2018-09-05;null;21.6;null;13.1;54.357143;36;0;null;
2018-09-06;0;26.3;17.295833;10.3;62.875;28;0;0;
2018-09-07;0;31.4;19.5625;11.8;59.458333;15;0;0;
2018-09-08;0;31.6;21.804167;15.2;53.625;19;0;0;
2018-09-09;0;30.2;20.966667;14.2;60.708333;22;0;0;
2018-09-10;0;28.4;20.129167;14;60.708333;27;0;0;
2018-09-11;0;28.1;20.2125;14.4;63.75;32;0;0;
2018-09-12;0;28.2;20.1875;14.1;62.458333;36;0;0;
2018-09-13;0;30;21.175;15.1;65.125;37;0;0;
2018-09-14;5;24;18.090909;16.5;86.090909;57;0;0;
2018-09-15;null;29;null;16.9;null;35;3.9;null;
2018-09-16;.8;26.6;20.2375;16.7;70.416667;44;10.6;3.75;
2018-09-17;16.6;21.9;18.154167;14.2;83.166667;65;11.3;3.095833;
2018-09-18;.6;25.7;21.341667;14.4;80.166667;64;7.7;2.2875;
2018-09-19;0;31.6;24.179167;17.4;67.541667;35;7.7;.925;
2018-09-20;14;26.8;19.508333;16.8;80.916667;54;13.5;2.8;
2018-09-21;9.4;30.6;22.120833;15.7;73.333333;36;9.1;1.245833;
2018-09-22;.2;31.4;23.783333;18.3;62.833333;21;7.9;2.2625;
2018-09-23;0;34.8;25.058333;18.9;53.75;18;7.7;2.133333;
2018-09-24;0;36.6;26.458333;19.5;47.625;20;8.4;2.670833;
2018-09-25;0;33.5;24.125;16.3;61.333333;32;11.9;4.304167;
2018-09-26;1.6;33.9;24.616667;18.9;66.958333;30;11.4;2.841667;
2018-09-27;.4;27.2;23.033333;20.7;76.666667;59;10;1.966667;
2018-09-28;0;27.4;22.441667;19.4;77.333333;56;9.4;3.275;
2018-09-29;0;31.3;24.245833;19.3;66.666667;40;11.4;3.683333;
