Nome: BARRETOS
Codigo Estacao: A748
Latitude: -20.55916666
Longitude: -48.54499999
Altitude: 534.36
Situacao: Operante
Data Inicial: 2018-09-01
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-09-01;null;null;null;null;null;null;null;null;
2018-09-02;null;null;null;null;null;null;null;null;
2018-09-03;null;null;null;null;null;null;null;null;
2018-09-04;null;null;null;null;null;null;null;null;
2018-09-05;null;null;null;null;null;null;null;null;
2018-09-06;null;null;null;null;null;null;null;null;
2018-09-07;null;null;null;null;null;null;null;null;
2018-09-08;null;null;null;null;null;null;null;null;
2018-09-09;null;null;null;null;null;null;null;null;
2018-09-10;null;null;null;null;null;null;null;null;
2018-09-11;null;35.3;null;null;null;12;6.6;null;
2018-09-12;null;35.9;24.754167;15.1;42.083333;13;7.8;1.429167;
2018-09-13;0;37;25.720833;15.9;43.5;14;8.8;1.7375;
2018-09-14;0;32.7;21.9625;18.5;66.208333;28;13.5;1.8875;
2018-09-15;11;27.1;20.9625;18;72.071429;52;5.1;.983333;
2018-09-16;0;31.5;23.420833;18.3;69.708333;38;6.3;1.016667;
2018-09-17;6.2;23.8;19.7125;18.5;null;64;8;.904167;
2018-09-18;12.6;25.7;20.9125;17.8;78.916667;61;4.9;.9125;
2018-09-19;1.6;33.2;23.7125;16.3;54.071429;31;5.1;.883333;
2018-09-20;0;29.8;22.783333;18.6;68.227273;43;11.8;1.575;
2018-09-21;18.2;32.5;23.266667;17.2;49.769231;30;9;.995833;
2018-09-22;0;35.8;25.508333;16.6;54.086957;21;5.8;1.104167;
2018-09-23;0;37.1;26.270833;15.8;42.875;16;5.7;1.1625;
2018-09-24;0;39.5;28.3125;18.6;38.791667;10;8.5;1.320833;
2018-09-25;0;38.7;28.720833;19.3;37.958333;16;9.4;1.854167;
2018-09-26;0;38;28.2375;21.6;45.083333;17;14.7;1.383333;
2018-09-27;0;32.7;26.566667;21;53.208333;27;7.8;1.320833;
2018-09-28;0;32.9;25.420833;21;63.375;32;6.8;1.429167;
2018-09-29;0;35.9;26.516667;19;57.708333;24;6.4;1.325;
2018-09-30;1;30.2;23.108333;20.2;74.416667;47;9.8;1.245833;
2018-10-01;.4;34.3;24.7875;19.3;68.130435;30;6.1;1.083333;
2018-10-02;0;36.8;26.108333;17.4;58.75;24;8.3;1.208333;
