Nome: BEBEDOURO
Codigo Estacao: A764
Latitude: -20.94916666
Longitude: -48.48999999
Altitude: 790
Situacao: Pane
Data Inicial: 2018-09-01
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-09-01;0;34.4;26.483333;18.9;36;20;9.3;1.704167;
2018-09-02;0;35;26.879167;20.5;38.833333;22;11.8;2.65;
2018-09-03;0;24.4;18.25;16.8;80.25;58;13.6;2.108333;
2018-09-04;0;22.6;14.929167;9.5;74.291667;43;7.1;1.458333;
2018-09-05;0;25.2;17.608333;11.4;57.791667;26;10.7;3.145833;
2018-09-06;0;31.1;20.358333;12.2;47.916667;14;7.6;2.375;
2018-09-07;0;34.4;24.1125;16;36.208333;13;7.3;1.925;
2018-09-08;0;33.8;25.658333;18.3;34.458333;16;6;1.783333;
2018-09-09;0;33.9;25.445833;18.2;34.434783;16;6;1.825;
2018-09-10;0;34.1;25.7;17.2;31.083333;16;7.5;1.9875;
2018-09-11;0;33.6;24.7625;16.9;39.5;19;7.1;2.070833;
2018-09-12;0;34.8;25.0875;17;46.125;18;9.8;2.783333;
2018-09-13;0;35.5;26.029167;18.8;47.166667;20;11.1;3.025;
2018-09-14;0;30;21.4625;19.1;69.666667;37;17.5;3.133333;
2018-09-15;19.6;26.1;21.016667;17.8;82.166667;56;5.8;1.391667;
2018-09-16;0;28.2;22.9;18.6;71.5;50;5.5;1.645833;
2018-09-17;7;24.6;19.425;17.5;89.958333;63;12;2.216667;
2018-09-18;10;25;20.929167;17.6;88.083333;65;7.3;1.9;
2018-09-19;2.8;31.9;24.475;18.2;70.666667;41;6.4;1.5625;
2018-09-20;1.6;26.7;21.983333;17.5;77.916667;57;15;2.841667;
2018-09-21;10.4;31;22.55;17.4;79.318182;39;10.3;1.716667;
2018-09-22;.2;33;25.5125;19.3;57.521739;27;7.4;1.729167;
2018-09-23;0;35.5;27.075;19.5;41.666667;22;6;1.675;
2018-09-24;0;38.1;28.591667;21.5;40.666667;17;7.7;2.208333;
2018-09-25;0;37.4;29.016667;22.3;40.541667;22;10.9;2.8125;
2018-09-26;5.6;35.2;27.275;20.4;55.333333;27;9.4;2.066667;
2018-09-27;0;31.2;26.275;22;60.5;32;10.6;2.520833;
2018-09-28;.2;29.9;24.754167;20.7;70.833333;46;6.7;1.945833;
2018-09-29;0;35;26.104167;20.1;61.791667;31;8;2.520833;
2018-09-30;0;26.1;23.395833;22.4;74.041667;60;11.9;2.379167;
2018-10-01;.6;32.3;24.75;20.2;70.5;38;7.6;2.029167;
2018-10-02;0;35.9;27.408333;19.7;55.541667;29;7.7;1.783333;
2018-10-03;0;37.1;28.3625;22.4;51.166667;26;10.5;2.075;
2018-10-04;5.4;32.8;26.091667;20.8;66.5;38;14.7;2.395833;
2018-10-05;.2;34;26.275;19.3;62.041667;37;9.2;2.8875;
2018-10-06;0;33.9;24.4125;18;67.458333;39;11;3.029167;
2018-10-07;4;27.1;21.683333;19;88.5;59;9.2;2.2375;
2018-10-08;13.6;28.5;23.441667;20.2;83.583333;62;9.9;1.779167;
2018-10-09;11;32.8;24.9625;20.3;77.916667;46;7.7;2.083333;
2018-10-10;41.8;32;23.858333;18.6;82.333333;45;13.6;2.3375;
2018-10-11;1.8;30.1;24.279167;20.9;79.791667;55;8.5;2.591667;
2018-10-12;.2;34.9;26.491667;20;64.916667;33;8.4;2.470833;
2018-10-13;0;35.1;27.120833;22.4;64.583333;36;15.6;2.125;
2018-10-14;3.6;32.3;26.504167;21.8;74.095238;51;6.8;1.541667;
2018-10-15;0;31.8;26.654167;22.1;70.833333;49;9.6;2.204167;
2018-10-16;0;34.4;27.6125;22.5;64.083333;36;7.4;1.533333;
2018-10-17;10.8;29.5;25.816667;22.4;75.772727;53;7.3;1.970833;
2018-10-18;0;35;26.941667;21.6;68.833333;40;10.7;2.545833;
2018-10-19;26.2;30.1;24.070833;20.2;78.458333;51;11.3;2.283333;
2018-10-20;.2;29.5;23.429167;18.7;61.791667;42;11.6;4.133333;
2018-10-21;0;31.2;22.7;15.4;56.25;31;9.6;2.691667;
2018-10-22;0;33.1;25.108333;17.9;56.333333;32;8.6;2.533333;
2018-10-23;0;33.7;27.479167;21.2;55.875;33;10.1;2.295833;
2018-10-24;3.4;29.9;23.645833;21.1;80.666667;45;10;1.85;
2018-10-25;5.2;25.5;22.429167;20.6;90.541667;76;9.6;1.725;
2018-10-26;15;29.8;23.808333;20.9;86.041667;54;5.8;1.25;
2018-10-27;14.6;27;23.266667;21.4;89.25;68;9.1;1.808333;
2018-10-28;.4;30.5;23.775;18.6;73.166667;41;6.8;1.725;
2018-10-29;0;31.4;23.108333;15.8;59.375;33;8.1;2.6125;
2018-10-30;0;34.3;26.458333;20.3;56.916667;36;6.7;2.241667;
