Nome: SAO CARLOS
Codigo Estacao: A711
Latitude: -21.980353
Longitude: -47.883927
Altitude: 859.29
Situacao: Operante
Data Inicial: 2018-09-01
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-09-01;null;31.6;null;18.5;null;21;8.8;null;
2018-09-02;null;32.3;null;21.3;null;22;9;null;
2018-09-03;null;15.8;null;24.9;null;85;8.9;null;
2018-09-04;null;18.5;null;15;null;57;6.1;null;
2018-09-05;null;20.8;null;10.5;null;36;9.6;null;
2018-09-06;null;26.1;null;11.3;null;22;9.7;null;
2018-09-07;null;30.9;null;17.6;null;18;7.4;null;
2018-09-08;null;30.6;null;16.7;null;20;8.3;null;
2018-09-09;null;30;null;16.3;null;21;7.8;null;
2018-09-10;null;30.3;null;23.4;null;19;6.9;null;
2018-09-11;1;28;21.016667;14;55.166667;28;9;2.225;
2018-09-12;0;29;20.65;14;58.291667;30;9.9;2.766667;
2018-09-13;0;30.6;22.183333;16.3;57.458333;27;12.8;3.208333;
2018-09-14;.6;24.5;17.958333;17.5;80.375;50;9.6;2.641667;
2018-09-15;16.2;22.5;18.2125;16.5;87.791667;67;6;1.041667;
2018-09-16;.2;26.5;19.420833;14.6;74.458333;46;6.3;1.520833;
2018-09-17;11.6;20.9;16.75;14;88.125;60;8.7;2.158333;
2018-09-18;4.2;21.9;18.85;14.5;89.541667;74;7.1;1.875;
2018-09-19;1.8;29.5;22.141667;16.2;73.458333;39;6.2;1.166667;
2018-09-20;6;22.9;18.841667;15.9;83.083333;66;9.8;2.141667;
2018-09-21;11;27.6;20.770833;15.7;76.625;41;7.1;1.516667;
2018-09-22;0;30.1;22.870833;17.1;56.208333;24;6;1.604167;
2018-09-23;0;32.6;24.520833;17.7;45.75;22;6.4;1.658333;
