Nome: GUARANTA DO NORTE
Codigo Estacao: A906
Latitude: -9.9525
Longitude: -54.89777777
Altitude: 283.58
Situacao: Pane
Data Inicial: 2018-09-01
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-09-01;0;37.6;27.425;18;52.666667;18;10;.8;
2018-09-02;0;37.4;27.408333;17.9;50.5;21;7.9;.8375;
2018-09-03;0;34;25.958333;18.6;57.916667;31;8;.9875;
2018-09-04;0;33;24.75;17.1;54.791667;27;7.3;.854167;
2018-09-05;0;35.2;24.995833;16.3;56.958333;24;6.4;.695833;
2018-09-06;0;35.5;26.604167;19.2;55.125;27;5.3;.558333;
2018-09-07;0;37.6;27.65;18.8;57.291667;25;7.4;.641667;
2018-09-08;0;36;27.495833;22.2;64.625;40;9.9;.85;
2018-09-09;1.8;37.3;28.241667;20.9;65.666667;26;7.2;.895833;
2018-09-10;0;35.6;28.220833;21.6;64.291667;30;6.6;.875;
2018-09-11;0;37.8;28.870833;21.5;56.333333;21;7.2;.629167;
2018-09-12;0;37.3;28.4125;22.8;62.125;30;6.7;.725;
2018-09-13;0;37;28.916667;22.4;60.458333;31;10.1;1.766667;
2018-09-14;0;35.3;26.5375;22.6;73.458333;40;8.4;.766667;
2018-09-15;19;36.1;27.425;21.8;73.041667;32;6.8;.566667;
2018-09-16;5;33.7;25.7125;22.1;80.666667;50;7.7;.8375;
2018-09-17;2.4;35;26.045833;21;78.291667;39;8.7;.541667;
2018-09-18;.2;35.8;27.054167;21.8;73.375;38;9.5;.75;
2018-09-19;0;35.8;27.575;21.9;70.166667;41;6.4;.820833;
2018-09-20;0;35.7;28.479167;22.8;67.166667;40;6;1.1375;
2018-09-21;0;37.3;28.608333;24.1;67.833333;31;6.7;.691667;
2018-09-22;0;37.3;28.495833;22;66.375;30;6.1;.833333;
2018-09-23;1;36.1;27.629167;22.4;70.333333;40;14;.845833;
2018-09-24;0;31.6;25.995833;22.6;72.541667;51;7.4;.875;
2018-09-25;.6;36.1;26.266667;22.1;74;37;6;.745833;
2018-09-26;44.6;34.5;25.254167;21.6;85.583333;47;9.6;.941667;
2018-09-27;1.2;33.3;26.070833;22.3;81.875;51;11.4;.633333;
2018-09-28;3.4;32.6;25.225;21.9;81.583333;56;7.1;.904167;
2018-09-29;0;34.8;25.225;21.9;82.791667;44;18.7;.645833;
2018-09-30;32.4;34.7;25.7875;20.1;81.333333;49;9.8;.795833;
2018-10-01;1.6;28.8;24.1375;21.9;87.333333;67;7.2;.8;
2018-10-02;.4;31.6;25.6125;22.5;80.916667;48;6.1;.55;
2018-10-03;0;33.9;25.725;22.1;78.666667;45;8.7;1.083333;
2018-10-04;1.2;33.8;25.320833;22;82.75;47;15.4;.6125;
2018-10-05;26.2;35.2;25.7875;20.3;80.5;39;8.5;.520833;
2018-10-06;.4;33.6;25.620833;22.5;84.208333;52;20.1;.583333;
2018-10-07;32.2;33.7;25.095833;20.9;82.625;49;10;.625;
2018-10-08;1.2;33.5;25.479167;22.7;82.791667;52;10;.720833;
2018-10-09;1.6;34.7;25.495833;22.4;85.958333;48;9.9;.683333;
2018-10-10;23.4;34.3;26.0875;22;82.208333;45;5;.7125;
2018-10-11;4.2;34.2;26.595833;22.6;79.541667;50;7.5;.85;
2018-10-12;.2;32.6;26.741667;23.2;80.791667;58;5.6;.858333;
2018-10-13;1;33.7;25.4625;22.5;85.791667;51;14.9;1.008333;
2018-10-14;24.8;34.8;26.670833;20.1;78.75;44;7.7;.616667;
2018-10-15;0;35.2;26.675;22.4;77.333333;45;11.2;.891667;
2018-10-16;11.8;34;26.145833;22.1;81.416667;47;7.9;1.241667;
2018-10-17;1.4;33;26.591667;22.5;78.666667;52;6.1;1.333333;
2018-10-18;0;35;27.629167;24;78;43;5.8;.675;
2018-10-19;1.2;34.8;26.75;23;79.958333;46;10.8;.641667;
2018-10-20;5.2;31.2;25.5875;22.9;84.5;65;7.1;.520833;
2018-10-21;0;33.4;26.425;22.6;80.25;52;10.6;.616667;
2018-10-22;2.2;31.5;24.358333;22.3;90.291667;63;8;.595833;
2018-10-23;25.8;33.9;26.670833;21.4;79.166667;47;6.7;.895833;
2018-10-24;0;35.6;27.7375;22.4;76.333333;40;7.5;.5875;
2018-10-25;0;33.9;27.033333;23.1;79.583333;49;6.9;.629167;
2018-10-26;0;36.1;28.141667;22;73.541667;39;13.4;.470833;
2018-10-27;0;30.2;25.354167;23.8;85.666667;66;7.6;.9875;
2018-10-28;3.2;34.8;26.966667;21.4;76.666667;41;4.4;.704167;
2018-10-29;0;34.7;27.983333;23.7;71.708333;47;6.2;1.375;
2018-10-30;2.4;33.3;25.666667;23.2;87.916667;55;8.8;.783333;
2018-10-31;20.2;33.4;25.975;22.7;87.125;51;5.4;.7;
2018-11-01;15.6;34.6;26.975;23.1;81.958333;46;10.7;.795833;
2018-11-02;1;32.4;26.133333;23.5;84.041667;57;6.3;.695833;
2018-11-03;0;33.9;25.591667;22.4;84;51;11.5;.454167;
2018-11-04;20.8;31.4;24.7125;21.5;87.375;64;8.9;.479167;
2018-11-05;0;32.6;26.1875;22.7;80.666667;53;7;.725;
2018-11-06;0;31.9;26.233333;23.3;83.791667;62;4.8;.408333;
2018-11-07;0;33.4;26.2875;23.4;82.916667;55;11.4;.975;
2018-11-08;5.4;29.8;23.933333;22.2;92.5;70;6.4;.579167;
2018-11-09;20.4;32.6;25.0125;22.1;89.541667;60;7.5;.404167;
2018-11-10;1.6;25.4;23.3625;23.7;95.666667;87;6.3;.366667;
2018-11-11;58.2;33.7;25.4875;20.8;83.25;56;5.6;.754167;
2018-11-12;0;33.7;26.65;22.5;81.875;52;6.3;.479167;
2018-11-13;1.6;34.1;26.458333;23.2;84.583333;48;10.6;.75;
2018-11-14;7.2;32.1;25.870833;22.9;82.833333;62;9.1;.9375;
2018-11-15;10;30.8;25.654167;22.7;86.166667;62;6.3;.991667;
2018-11-16;.4;33.5;26.716667;22.3;81.708333;52;4.7;.620833;
2018-11-17;.2;32.3;25.754167;23.4;84.25;57;7.8;.691667;
2018-11-18;.4;34.1;27.375;23.3;79.375;47;6.4;.508333;
2018-11-19;10.6;30.2;25.370833;22.3;88.25;67;7.3;.895833;
2018-11-20;1.2;33.2;26.245833;23.6;85.208333;58;11.3;.5375;
2018-11-21;0;34;26.679167;22.7;82.083333;54;9.7;.579167;
2018-11-22;18.2;33;25.441667;22.2;85.333333;58;8.5;.658333;
2018-11-23;13.2;32;24.895833;21.5;87.375;59;7;.658333;
2018-11-24;22;32.3;24.379167;22.3;90.291667;61;8.5;.920833;
2018-11-25;11.4;29.7;24.341667;22.7;91.041667;68;7.5;.391667;
2018-11-26;2.8;31.8;24.695833;22.3;90.583333;58;8.4;.458333;
2018-11-27;32.2;31.5;25.366667;21.7;88.041667;59;6.9;.8125;
2018-11-28;.4;31.1;24.5375;22.6;89.333333;62;9.2;.9875;
2018-11-29;4;31.3;25.220833;22.2;85.708333;59;6.8;1.141667;
2018-11-30;1.6;29.1;24.683333;23.3;91.291667;71;8;.895833;
2018-12-01;12.2;26.9;23.7125;22.8;89.791667;75;5;1.175;
2018-12-02;4.8;28.7;23.854167;22.2;91.833333;73;7.4;.616667;
2018-12-03;16.8;29.4;24.791667;22.4;84.291667;67;6.1;.883333;
2018-12-04;1.4;25.6;23.654167;22.1;93.458333;86;6.2;.525;
2018-12-05;22.2;24.5;23.0875;22;95.541667;93;5.6;.3625;
2018-12-06;18.2;25.3;22.725;21.2;95.083333;85;4.9;.520833;
2018-12-07;18.6;28;23.725;22;92.333333;73;5.9;.575;
2018-12-08;2.4;30.4;25.083333;22.4;85.375;63;8.4;.683333;
2018-12-09;1.6;31.2;25.45;22.5;83.791667;61;7.6;1.0375;
2018-12-10;1.6;30.9;25.35;22.4;82.625;60;6.5;1.083333;
2018-12-11;0;33.1;26.545833;21.8;78.416667;50;6.6;.870833;
2018-12-12;.2;33.9;26.295833;23.2;80.958333;50;11;1;
2018-12-13;8.6;33.1;26.195833;22.1;80.5;51;7.1;.933333;
2018-12-14;0;35;26.108333;21.8;77.875;42;8.1;.666667;
2018-12-15;1.4;34.5;26.741667;22.5;77.916667;47;9.9;.458333;
2018-12-16;4.2;33.7;24.775;21.6;84.291667;45;16;.6875;
2018-12-17;8;31.2;23.9125;19.6;89.458333;63;6.6;.425;
2018-12-18;13.4;31.8;25.379167;21.8;83.416667;61;5;.5625;
2018-12-19;.2;33.3;25.204167;22.3;84.375;51;10.3;.575;
2018-12-20;.2;33.6;24.720833;22.1;86.875;55;13.9;.85;
2018-12-21;7.6;31.2;24.391667;21.6;87;62;10.9;.725;
2018-12-22;17.4;34.2;26.354167;21.7;80.625;49;6.1;.85;
2018-12-23;0;32;25.129167;22.2;83.75;55;9.7;.683333;
2018-12-24;23.6;31.1;24.795833;21;84.041667;53;9.5;.65;
2018-12-25;2.2;32.8;26.104167;22.4;81.041667;52;6.3;.6875;
2018-12-26;0;32.4;26.466667;23.1;81.958333;55;6.7;.5875;
2018-12-27;2;31.7;24.608333;22.6;88.541667;59;12.7;.716667;
2018-12-28;25.4;30.9;24.183333;21.3;91.166667;66;10.4;.7625;
2018-12-29;23.8;31.1;24.579167;22.1;86.625;56;9.6;1.029167;
2018-12-30;6.8;30.5;24.4625;21.6;87.958333;60;7.8;.8625;
2018-12-31;22.4;30.2;24.891667;21.1;84.583333;61;6;.7875;
2019-01-01;3.6;31.2;25.279167;21.1;79.791667;50;7.9;1.2875;
2019-01-02;0;34.3;26.854167;22.8;79.375;45;6.4;.670833;
2019-01-03;0;33.6;27.279167;22.8;77.875;52;6.8;.729167;
2019-01-04;12.6;31.6;25.558333;23;87.416667;65;8.9;.5125;
2019-01-05;11.2;31.1;25.175;22.3;86.458333;62;8.2;.5625;
2019-01-06;2.6;31.2;25.8875;22.4;83;60;5.4;.775;
2019-01-07;0;28.4;25.158333;23.3;81.416667;60;7.1;1.395833;
2019-01-08;0;33.3;25.6875;22.4;80.833333;47;10.8;.683333;
2019-01-09;.8;33.7;25.425;20.5;80.291667;44;6.5;.675;
2019-01-10;0;31.7;24.458333;21.3;86.208333;58;9.3;.816667;
2019-01-11;30.6;29.8;23.329167;21;88.291667;62;8.3;.9125;
2019-01-12;44.2;29.6;24.7625;20.5;87.583333;67;3.2;.316667;
2019-01-13;0;31.7;24.679167;21.4;81.5;54;9.6;.854167;
2019-01-14;10.6;31.5;24.083333;21.5;87.75;58;8.9;.870833;
2019-01-15;4.2;32;25.595833;21.3;78.166667;50;7.1;1.379167;
2019-01-16;1;33.8;26.033333;20.6;77.625;47;13.4;.795833;
2019-01-17;0;35.2;27.020833;21.6;75.75;44;5.9;.5;
2019-01-18;29.6;30.2;24.816667;21.6;87.5;62;7.4;.691667;
2019-01-19;13.2;34.2;27.0875;22;77.75;47;5;.745833;
2019-01-20;36.6;32.2;24.779167;21.4;86.291667;59;8.8;.920833;
2019-01-21;.6;31.8;26.033333;21.9;81.583333;59;10.2;.820833;
2019-01-22;1.2;32.7;25.658333;22.9;85.583333;58;7.1;.558333;
2019-01-23;1.8;33.4;26.675;23;83.541667;58;5.7;1.191667;
2019-01-24;3.4;33.3;26.3125;21.7;77.375;42;12;.891667;
2019-01-25;0;32.1;26.283333;22.3;80.958333;54;10;.745833;
2019-01-26;2.2;31.3;25.504167;22.8;85.666667;60;8.7;.783333;
2019-01-27;18.8;30.6;24.758333;22.6;89.083333;63;7;.758333;
2019-01-28;2.4;27.6;23.604167;22.5;91.875;75;8.2;.604167;
2019-01-29;24.8;28.9;24.35;21.7;87.625;68;5.7;1.0125;
2019-01-30;5.2;33.4;24.933333;21.3;84.625;49;8.8;.654167;
2019-01-31;0;33.8;26.383333;22.4;83.041667;55;4.9;.5375;
2019-02-01;0;33.3;26.229167;23.3;84.708333;53;4.7;.720833;
2019-02-02;7.4;33.8;25.683333;21;79.25;46;15.9;1.154167;
2019-02-03;0;33.4;25.216667;19.8;77.5;46;8.7;.679167;
2019-02-04;0;34.3;27.029167;21.8;76.666667;45;5.6;.6125;
2019-02-05;0;35.4;26.079167;22.4;81.458333;46;13.7;.925;
2019-02-06;5.6;33.8;25.508333;22.2;85.458333;51;10.1;.7625;
2019-02-07;11.2;34.1;26.879167;23;80.916667;49;6.9;.6625;
2019-02-08;1.4;32.6;25.7875;22.7;86.5;54;5.5;.854167;
2019-02-09;16.4;29.4;24.633333;21.3;88.875;66;8;.554167;
2019-02-10;6.4;33.1;25.954167;21.4;86.5;54;6.5;.6875;
2019-02-11;.8;34.5;27.295833;22.6;79.541667;47;5.3;.7125;
2019-02-12;0;33;27.004167;23.7;82.291667;57;9.2;.670833;
2019-02-13;34.8;31.6;25.508333;22.3;88.666667;63;8.9;.7375;
2019-02-14;3.8;30.6;24.408333;23.3;90.875;66;11.5;.508333;
2019-02-15;45.4;31.7;24.683333;20.8;89.166667;60;8.3;.658333;
2019-02-16;3;31.4;25.504167;23.2;88.208333;60;7.9;.7375;
2019-02-17;7;28.7;24.575;22.2;88.416667;71;7.4;1.295833;
2019-02-18;6;31.1;25.154167;22.6;86.291667;58;7.8;.666667;
2019-02-19;0;33.6;25.945833;23;83;55;7.3;.941667;
2019-02-20;17.6;31.9;25.420833;22.6;86.375;51;7.9;.8;
2019-02-21;1.4;28.9;24.920833;22.9;91.291667;70;5.5;.4375;
2019-02-22;11.8;32.8;24.825;22.4;90.125;58;12.8;.608333;
2019-02-23;18.8;32.5;24.95;21.4;86.666667;57;5.5;.495833;
2019-02-24;8.6;32.8;25.154167;21.8;86.5;55;5.5;.770833;
2019-02-25;.2;31;25.35;23.2;86.833333;59;9.7;.779167;
2019-02-26;34.4;31.7;25.183333;21.7;84.25;56;8;.579167;
2019-02-27;4.6;29.8;24.170833;23;90.25;66;9.1;.758333;
2019-02-28;25.2;31;24.525;22.2;89;59;8.4;.679167;
2019-03-01;6;31.3;24.8875;22.1;86;57;6.7;.629167;
2019-03-02;1.2;31.3;25.533333;23.1;84.708333;60;6;.741667;
2019-03-03;1;30.6;24.595833;22.6;91.125;65;6.6;.604167;
2019-03-04;14.4;32;25.8;22.3;83.208333;56;7;1.05;
2019-03-05;2;30;24.616667;23.3;90.833333;63;5.6;.641667;
2019-03-06;22.8;32.6;24.825;21.1;85.5;54;6.1;.983333;
2019-03-07;1.8;30.1;25.008333;21.8;86.75;64;5.9;.504167;
2019-03-08;.2;32;25.845833;22.6;86.625;58;8.1;.616667;
2019-03-09;19;31.8;24.091667;21;91;62;15;.7125;
2019-03-10;24;33;25.583333;21.3;83.333333;54;8.9;.5875;
2019-03-11;.2;32.2;24.825;21.9;87;57;8.8;.55;
2019-03-12;13.4;30.9;24.595833;22.3;87.208333;61;10.3;.741667;
2019-03-13;.4;32.9;24.183333;21.9;90.458333;54;10.6;.425;
2019-03-14;31;33.1;26.033333;22.4;84.416667;55;3.6;.441667;
2019-03-15;0;34.9;27.616667;22.1;78.416667;47;6.1;.670833;
2019-03-16;4.2;31.5;25.395833;22.8;87.125;65;8.2;.841667;
2019-03-17;13.8;32;25.329167;22.2;85.958333;59;7.6;.575;
2019-03-18;.2;34.7;27.370833;22.6;80.541667;46;5.2;.566667;
2019-03-19;0;34.1;27.5125;23.3;80.75;52;6.3;.504167;
2019-03-20;0;31.1;26.175;23.3;86.041667;62;5.3;.75;
2019-03-21;.4;33.1;26.170833;22.3;83.666667;52;8.7;1.075;
2019-03-22;23.4;31.5;25.975;22.6;85.708333;60;5.2;.791667;
2019-03-23;0;28.1;24.129167;22.6;93.458333;73;6.8;.4875;
