Nome: AGUA BOA
Codigo Estacao: A908
Latitude: -14.01638888
Longitude: -52.21166666
Altitude: 440
Situacao: Operante
Data Inicial: 2018-09-01
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-09-01;null;36.1;null;20.7;31.941176;19;8.7;null;
2018-09-02;null;36.4;null;23.2;29.588235;17;10.1;null;
2018-09-03;null;31.7;null;16;47.388889;30;13.6;4.733333;
2018-09-04;null;32.2;null;14.8;34.4;19;10.1;4.41;
2018-09-05;0;33.7;24.477273;16.7;34.727273;14;11.6;3.313636;
2018-09-06;0;36;25.652174;15;32.086957;15;8.8;2.426087;
2018-09-07;null;37.1;null;19.1;34.3;15;9.1;2.855;
2018-09-08;null;35.1;null;19.8;48;29;9.3;1.795238;
2018-09-09;null;36.9;null;19.7;34.473684;13;11.8;3.131579;
2018-09-10;null;36.4;null;16;36.190476;15;11.1;2.6;
2018-09-11;null;37.5;null;22.2;26.684211;14;6.7;2.478947;
2018-09-12;null;38.7;null;22.6;21.882353;11;8.1;null;
2018-09-13;null;36.1;null;22.8;41.4375;27;10.9;null;
2018-09-14;null;35.5;null;21.5;41.833333;25;12.2;3.522222;
2018-09-15;0;34.2;27.9;22.7;53.818182;33;7.3;2.627273;
2018-09-16;null;35.8;null;20.4;48.052632;29;9.1;2.110526;
2018-09-17;null;33.9;null;21.5;69.111111;38;17.8;2.805556;
2018-09-18;null;35.6;null;19.1;57.6875;31;16.4;null;
2018-09-19;.6;34.4;26.782609;21.2;62.956522;36;13.4;3.673913;
2018-09-20;null;31.6;null;20.4;70.789474;50;9.5;2.642105;
2018-09-21;.2;34.9;27.679167;22.4;59.875;33;7.4;2.8375;
2018-09-22;0;36.5;27.9125;21.6;57.708333;28;6.4;1.845833;
2018-09-23;0;38.2;29.0125;22;53.625;24;8.3;1.9875;
2018-09-24;0;37.7;27.666667;20.2;58.75;25;12.4;2.708333;
2018-09-25;null;29.7;null;20.3;75.631579;55;14.5;2.552632;
2018-09-26;null;35.8;null;22.7;52.733333;33;7.5;null;
2018-09-27;0;36.4;27.475;21.9;64;32;19.2;2.8625;
2018-09-28;28.2;35.6;27.473913;21;62.173913;32;8.6;2.352174;
2018-09-29;0;36;27.822727;21.3;61.681818;33;7.8;2.145455;
2018-09-30;null;34.1;null;21.8;64.666667;39;12.6;2.527778;
2018-10-01;null;32.1;null;21.2;65.785714;42;6;null;
2018-10-02;null;31.4;null;22.5;70.5;41;4.3;1.19;
2018-10-03;null;34.4;null;22.8;62.777778;37;12.6;2.216667;
2018-10-04;0;34.4;26.956522;21.5;66.043478;37;10.5;2.491304;
2018-10-05;0;33.6;27.008333;22.1;65.666667;37;9.2;2.820833;
2018-10-06;0;33.3;27.03913;22.1;65.434783;37;8.2;2.443478;
2018-10-07;0;32.2;23.952174;21.2;79.478261;49;12.4;2.426087;
2018-10-08;null;34.9;null;21.2;70.6;37;11.9;null;
2018-10-09;6.8;33.8;26.704167;22;72.083333;40;10.8;2.333333;
2018-10-10;32.8;32;25.5625;21.6;77.125;53;9.8;2.4;
2018-10-11;.2;35.3;27.783333;23;69.166667;34;7.8;1.491667;
2018-10-12;0;35.6;28.525;22.8;63.625;34;6;2.1625;
2018-10-13;.4;34.5;26.445833;22.9;73.416667;43;19.3;2.445833;
2018-10-14;.2;34.1;26.658333;21.7;70.208333;37;5.5;1.479167;
2018-10-15;0;36.2;26.9875;22.3;70.625;37;13.7;2.179167;
2018-10-16;null;33.1;null;20.7;76.428571;48;13.6;2.185714;
2018-10-17;null;30.3;null;20.9;76.117647;56;10.2;null;
2018-10-18;null;33.7;null;22.2;67.315789;45;7.5;1.657895;
2018-10-19;null;27;null;22;86;70;16.6;null;
2018-10-20;null;32.5;null;21.3;66.357143;44;5.6;null;
2018-10-21;.2;31.8;26.404167;22;72.583333;49;9.6;2.316667;
2018-10-22;.6;30.9;24.716667;21.8;81;53;10.8;3.3875;
2018-10-23;0;31.9;24.391667;21.6;83.791667;55;10.9;1.925;
2018-10-24;3.4;33.4;25.825;21.9;78.625;44;14.1;1.708333;
2018-10-25;7.2;34;26.066667;21.3;74.833333;43;7.5;1.975;
2018-10-26;0;34.4;27.383333;22.2;69.958333;41;7.2;2.091667;
2018-10-27;0;34.9;26.879167;23.1;72.208333;40;15.6;2.470833;
2018-10-28;4.2;31.7;25.1625;21.4;77.041667;46;9.8;2.341667;
2018-10-29;1.4;33.4;25.995833;21.4;75.75;46;5.7;1.383333;
2018-10-30;0;33.6;26.245833;23;77.708333;49;10.8;1.75;
2018-10-31;6;31.1;24.925;21.1;79.291667;53;17.3;2.5375;
2018-11-01;20.4;32.5;25.333333;20.5;79.125;52;12.4;2.141667;
2018-11-02;8.6;31.6;25.054167;21.3;77.458333;47;8.7;2.633333;
2018-11-03;0;30.3;25.083333;21.6;76.25;51;11.1;3.4375;
2018-11-04;35.8;28.2;23.233333;20;87.083333;73;7.6;3.033333;
2018-11-05;3.2;30.3;24.8;21.2;82.083333;58;9.8;1.608333;
2018-11-06;5.4;29.5;24.225;21.6;84.916667;59;6.8;1.45;
2018-11-07;25.8;29.6;24.675;21.3;83.375;61;8.9;2.4125;
2018-11-08;85.8;26.8;23;20.7;89;77;10;2.8;
2018-11-09;2.4;30.2;24.395833;21.7;82.208333;58;7.7;2.641667;
2018-11-10;43.2;29.5;24.091667;20.7;82.541667;54;11.5;2.65;
2018-11-11;.2;33.1;25.979167;20.7;74.666667;45;10.5;2.1625;
2018-11-12;3.6;34.1;27.554167;23.3;70.583333;44;12;2.004167;
2018-11-13;0;32.3;25.975;22.8;76.708333;53;11.4;2.975;
2018-11-14;.8;29.8;25.320833;22;81.708333;65;11.9;2.05;
2018-11-15;49.6;30.7;25.266667;21.3;81.666667;57;7.9;2.045833;
2018-11-16;0;32.3;25.8;22.9;80.041667;52;9.3;2.383333;
2018-11-17;9.8;29.4;24.575;21.8;85.375;67;9.6;2.0125;
2018-11-18;.2;32;25.029167;22.2;84.75;52;14.1;1.666667;
2018-11-19;8.4;30.7;24.395833;22.3;87.833333;63;15.4;2.454167;
2018-11-20;26.2;30.6;24.3;21.4;86;62;13.8;2.133333;
2018-11-21;30.2;30.6;25.179167;21.6;81.625;58;10.2;2.825;
2018-11-22;0;30.7;25.129167;22.6;82.208333;57;7.1;2.1875;
2018-11-23;.2;30.8;24.716667;21.7;80.291667;54;11.5;2.925;
2018-11-24;79.8;25.8;22.625;21.4;91.041667;84;11.5;3.545833;
2018-11-25;15.6;25.9;22.883333;21.2;91.083333;84;9.2;2.25;
2018-11-26;17.6;28;23.716667;22.2;89.958333;77;10.3;1.25;
2018-11-27;12.2;29.6;24.4125;21.1;83.583333;62;12.2;3.375;
2018-11-28;2.6;30.8;25.108333;22.4;80.583333;58;15.2;2.8875;
2018-11-29;1.2;30;24.579167;22.9;83.375;63;14.1;3.045833;
2018-11-30;19.4;29.6;23.625;20.6;85.666667;65;13.8;1.625;
2018-12-01;8.6;26.4;22.904167;22;92;84;10.1;2.954167;
2018-12-02;48.8;27.1;23.3875;21.5;90.666667;84;12.9;3.695833;
2018-12-03;4.2;26.3;23.679167;22.3;88.416667;80;12.5;4.229167;
2018-12-04;15.8;27.6;23.466667;20.5;87.416667;70;8.6;3.541667;
2018-12-05;20.2;28.2;24.004167;21.1;87.416667;71;7.3;2.8875;
2018-12-06;1.2;30.4;24.9125;22;86.541667;71;6.2;1.941667;
2018-12-07;.2;31.2;25.120833;22.1;83.708333;62;7;1.795833;
2018-12-08;1;28.6;23.933333;21.9;89.125;76;9.8;1.2875;
2018-12-09;25;29.9;24.6;22;85.5;67;12.2;2.445833;
2018-12-10;.2;29.1;23.675;20.4;80.875;59;8.8;3.429167;
2018-12-11;0;31.5;25.858333;21.2;73.5;51;7.4;2.354167;
2018-12-12;.2;32.6;26.079167;21.6;71.833333;43;10.3;2.795833;
2018-12-13;16.2;30.7;23.5125;19.1;79.416667;51;13.9;2.470833;
2018-12-14;1.2;31.7;25.383333;21.1;77.208333;52;9.3;1.45;
2018-12-15;.8;32.3;25.083333;21.3;75.375;51;8.6;2.004167;
2018-12-16;.6;33;26.495833;21.3;71.541667;47;9.5;2.216667;
2018-12-17;.6;33.2;26.825;19.7;67.875;37;7.4;1.6625;
2018-12-18;0;33.4;27.1375;20.3;66.166667;40;9.2;1.741667;
2018-12-19;0;34.9;27.595833;21.5;65.208333;35;7.9;1.75;
2018-12-20;0;32.5;26.0125;22.3;70.833333;50;13;1.945833;
2018-12-21;2.2;34.2;26.4;21.2;70.916667;42;8.6;2.041667;
2018-12-22;0;34.2;27.258333;21.4;65.916667;40;7.2;2.0625;
2018-12-23;7.6;32.1;25.85;21.5;71.166667;47;12.3;2.629167;
2018-12-24;0;32.8;24.9875;20.4;73.708333;44;11.5;2.55;
2018-12-25;0;31.7;24.716667;20.3;75.833333;54;9.4;1.729167;
2018-12-26;0;32.3;25.654167;21.5;78.625;50;15;1.858333;
2018-12-27;20.6;31.5;24.875;19.5;79.833333;52;12.3;2.85;
2018-12-28;2.6;26.4;23.125;21.9;89.541667;80;10.3;1.8125;
2018-12-29;3.4;30.1;24.358333;21.2;82.125;59;10.6;3.691667;
