Nome: APIACAS
Codigo Estacao: A910
Latitude: -9.56333333
Longitude: -57.3936111
Altitude: 217.75
Situacao: Operante
Data Inicial: 2018-09-01
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-09-01;null;36.9;null;22.7;49.4;24;6.3;null;
2018-09-02;null;37.7;null;20.2;47.071429;19;6.5;null;
2018-09-03;null;33.4;null;19.8;50.153846;36;7;null;
2018-09-04;null;33;null;20;35.769231;25;8.3;null;
2018-09-05;null;34.9;null;16.3;39.384615;23;6.2;null;
2018-09-06;null;36.3;null;18.1;41.153846;22;4;null;
2018-09-07;null;37.4;null;19.6;42.230769;24;5.3;null;
2018-09-08;null;36.6;null;21.4;50.384615;30;4.6;null;
2018-09-09;null;34.4;null;23;62.230769;47;7.3;null;
2018-09-10;null;35.5;null;21.8;52.714286;34;4.1;null;
2018-09-11;null;35.3;null;24.6;60.6875;40;6.4;null;
2018-09-12;null;34.9;null;23.5;59.153846;36;6.2;null;
2018-09-13;null;35.6;null;22.7;53.928571;38;4.9;null;
2018-09-14;null;35.8;null;22.7;57.5;37;7.8;null;
2018-09-15;null;32.1;null;24.5;78.785714;55;12;null;
2018-09-16;null;34.7;null;21.9;65;42;10.8;null;
2018-09-17;null;35.2;null;21.8;61.333333;41;3.1;null;
2018-09-18;null;36.1;null;22.9;57;34;6.4;null;
2018-09-19;null;35.8;null;22.6;63.733333;45;7.8;null;
2018-09-20;null;35.6;null;22;56.285714;38;4.7;null;
2018-09-21;null;34.2;null;22.4;69.857143;48;3.8;null;
2018-09-22;null;35.5;null;22.2;62;41;4.1;null;
2018-09-23;null;35.7;null;23;60.933333;43;10;null;
2018-09-24;null;35.9;null;22.2;59.769231;39;11.3;null;
2018-09-25;null;34.9;null;22.3;59.923077;45;4.9;null;
2018-09-26;null;35.1;null;23.3;null;45;6;null;
2018-09-27;null;35.8;null;23.7;56.357143;34;0;null;
2018-09-28;null;30.4;null;23.5;77.166667;60;4.3;null;
2018-09-29;null;34.2;null;22;68.466667;47;7;null;
2018-09-30;null;34.6;null;22.8;64.733333;46;11.6;null;
2018-10-01;null;30.1;null;23.1;78.733333;65;7.1;null;
2018-10-02;null;30.8;null;23.1;81.647059;64;5.8;null;
2018-10-03;null;33.8;null;23;75.055556;47;7.3;.188889;
2018-10-04;null;35.5;null;23.2;65.4;38;4.2;.49;
2018-10-05;null;35.8;null;22.9;66.1;40;6.1;.99;
