Nome: SAPEZAL
Codigo Estacao: A911
Latitude: -13.30388888
Longitude: -58.76333333
Altitude: 105
Situacao: Operante
Data Inicial: 2018-09-01
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-09-01;0;34.8;27.116667;20.2;null;null;13.1;2.920833;
2018-09-02;0;26.4;22.366667;20.2;null;null;12.9;4.658333;
2018-09-03;0;29;18.554167;11.9;null;null;13.7;5.466667;
2018-09-04;0;29.6;18.8;10.5;null;null;14.6;4.408333;
2018-09-05;0;32.3;21.145833;11.7;null;null;9.5;2.991667;
2018-09-06;0;34.3;24.1125;15;null;null;10.8;3;
2018-09-07;0;35.8;26.645833;17.4;null;null;13.2;2.608333;
2018-09-08;0;35.9;27.6625;17.5;null;null;10;3.395833;
2018-09-09;0;35.5;26.508333;16.7;null;null;12.8;3.929167;
2018-09-10;0;36.3;27.186364;20.3;null;null;10.6;3.213636;
2018-09-11;0;35.8;27.0875;18.4;null;null;7.5;2.2125;
2018-09-12;0;36.4;28.2;20.2;null;null;10.4;2.983333;
2018-09-13;0;35;26.854167;20.9;null;null;9.5;3.220833;
2018-09-14;0;27.6;24.05;22;null;null;16.6;3.608333;
2018-09-15;0;32.3;23.366667;17.7;null;null;15.5;2.95;
2018-09-16;.2;31.2;24.008333;19.2;null;null;13.3;3.870833;
2018-09-17;.8;32.3;23.133333;17.6;null;null;18.4;2.8375;
2018-09-18;10;33.4;25.466667;19.5;null;null;11;3.420833;
2018-09-19;0;34.7;26.079167;19.9;null;null;12.8;2.916667;
2018-09-20;0;33.7;24.416667;19.9;null;null;10.2;2.595833;
2018-09-21;9;33.2;24.791667;20.5;null;null;12.3;2.754167;
2018-09-22;.2;34.2;25.954167;19.9;null;null;11.6;2.491667;
2018-09-23;5.8;34.5;25.283333;19.8;null;null;17.8;3.116667;
2018-09-24;2.4;35.6;26.4875;20.4;null;null;13.6;2.895833;
2018-09-25;4.2;33.8;24.7125;21.3;null;null;23.9;2.2625;
2018-09-26;16;32.3;24.5875;21.3;null;null;13.5;2.375;
2018-09-27;.2;32.8;24.608333;20.6;null;null;12.9;2.466667;
2018-09-28;2.8;28.6;23.704167;21;null;null;10.6;3.1375;
2018-09-29;.2;30.1;24.258333;20.6;null;null;9.8;2.216667;
2018-09-30;0;33.2;25.420833;21.5;null;null;12.6;2.954167;
2018-10-01;.6;32.9;24.4375;21.3;null;null;11.6;2.9125;
2018-10-02;5;31.9;24.266667;21.1;null;null;14.7;2.391667;
2018-10-03;3;32.7;25.354167;20.3;null;null;9.4;2.470833;
2018-10-04;0;31.4;24.570833;21;null;null;16;2.020833;
2018-10-05;3.8;32;24.583333;20.8;null;null;9.9;3.658333;
2018-10-06;0;32.2;24.204167;21;null;null;14.5;2.504167;
2018-10-07;11.8;32.4;24.233333;21.1;null;null;14.8;2.416667;
2018-10-08;6;33.2;24.883333;21.6;null;null;14.2;3.175;
2018-10-09;.6;32.3;24.55;21.1;null;null;10.8;2.8625;
2018-10-10;.2;31.7;24.108333;20.2;null;null;11.1;2.3125;
2018-10-11;2.6;30.7;24.183333;20.9;null;null;15.5;2.541667;
2018-10-12;.2;33.6;25.175;19;null;null;11;2.929167;
2018-10-13;0;33.7;26.583333;21.8;null;null;13.6;2.7;
2018-10-14;0;35.3;26.354167;20.7;null;null;10.8;2.079167;
2018-10-15;0;34.6;26.695652;21.8;null;null;16.2;3.96087;
2018-10-16;0;34.6;26.695833;21;null;null;11.8;3.304167;
2018-10-17;0;34.9;26.743478;22.1;null;null;12.4;3.543478;
2018-10-18;3;29.6;24.6125;21.7;null;null;7.9;2.183333;
2018-10-19;.2;31.6;25.2375;22.1;null;null;9.4;1.55;
2018-10-20;2.2;30.8;24.666667;21.3;null;null;9.5;1.829167;
2018-10-21;32.4;29.7;24.029167;20.2;null;null;10.2;2.608333;
2018-10-22;6.4;29.7;24.083333;21.2;null;null;9.8;3.008333;
2018-10-23;13.2;31.9;25.808333;22.1;null;null;12;3.766667;
2018-10-24;31.6;28.3;23.495833;20.3;null;null;12.8;2.2;
2018-10-25;5.2;32.2;24.329167;20.7;null;null;15.8;2.266667;
2018-10-26;4.8;32.7;25.858333;20.4;null;null;8.8;2.329167;
2018-10-27;0;34.5;26.779167;21.8;null;null;9.9;3.004167;
2018-10-28;0;33.4;24.675;20.7;null;null;13.6;2.666667;
2018-10-29;1.2;30.8;24.183333;21.1;null;null;12.9;2.370833;
2018-10-30;6.6;32.6;25.686957;21.1;null;null;11.4;2.152174;
