Nome: SINOP
Codigo Estacao: A917
Latitude: -11.98222221
Longitude: -55.56611111
Altitude: 366.57
Situacao: Pane
Data Inicial: 2018-09-01
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-09-01;null;null;null;33.2;null;null;null;null;
2018-09-02;null;null;null;null;null;null;null;null;
2018-09-03;null;null;null;null;null;null;null;null;
2018-09-04;null;30.5;null;null;null;22;8;null;
2018-09-05;null;null;null;27.4;null;null;null;null;
2018-09-06;null;null;null;null;null;null;null;null;
2018-09-07;null;null;null;null;null;null;null;null;
2018-09-08;null;null;null;null;null;null;null;null;
2018-09-09;null;null;null;null;null;null;null;null;
2018-09-10;null;null;null;null;null;null;null;null;
2018-09-11;null;null;null;null;null;null;null;null;
2018-09-12;null;null;null;null;null;null;null;null;
2018-09-13;null;null;null;null;null;null;null;null;
2018-09-14;null;31.3;null;null;null;54;8.6;null;
2018-09-15;null;34.9;null;24.6;null;31;9;null;
2018-09-16;null;27.6;null;27.6;null;55;10.1;null;
2018-09-17;null;35.2;null;19.9;47.083333;30;10.3;null;
2018-09-18;null;36.7;null;20.9;null;29;9.9;null;
2018-09-19;null;35.9;null;21.4;null;32;7.9;null;
2018-09-20;null;34.9;null;22.8;null;33;8;null;
2018-09-21;null;36;null;21.5;null;30;6.1;null;
2018-09-22;null;36.6;null;21.1;null;30;9.9;null;
2018-09-23;null;35.8;null;22.8;null;35;9;null;
2018-09-24;null;23.4;null;25;null;83;5.6;null;
2018-09-25;null;34.8;null;20.6;53.428571;32;9.7;null;
2018-09-26;null;35.6;null;22.5;59.733333;35;13.3;null;
2018-09-27;null;32.8;null;21.8;69.083333;39;10.3;null;
2018-09-28;null;32.6;null;23;70.230769;45;12.9;null;
2018-09-29;null;33.6;null;21.6;64.5625;39;11;null;
2018-09-30;null;34.8;null;21.5;62;38;10.5;null;
2018-10-01;null;30.1;null;22.2;73.266667;57;9.2;null;
2018-10-02;null;33.5;null;22.7;65.133333;38;6;null;
2018-10-03;null;35.1;null;21.6;54.9375;33;7.4;null;
2018-10-04;null;35.7;null;22.5;60.538462;32;10.5;null;
2018-10-05;null;33;null;21.9;70.25;46;11.5;null;
2018-10-06;null;34.6;null;21;null;36;14.7;null;
2018-10-07;null;34.3;null;22.7;59.75;32;11.7;null;
