Nome: COTRIGUACU
Codigo Estacao: A919
Latitude: -9.90638888
Longitude: -58.57222221
Altitude: 265
Situacao: Pane
Data Inicial: 2018-09-01
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-09-01;0;36.4;27.633333;21.8;71.25;28;6.9;.95;
2018-09-02;0;36.4;27.320833;20.4;69.583333;32;6.2;.966667;
2018-09-03;0;31.8;24.35;17.7;63.583333;42;8.9;3.045833;
2018-09-04;0;31.2;22.904167;16.8;55.416667;27;11.3;2.433333;
2018-09-05;0;33.8;23.216667;15.5;61.333333;27;9.9;1.595833;
2018-09-06;0;35.3;24.654167;16.7;63.041667;25;8;1.258333;
2018-09-07;0;36.7;26.495833;18;60.75;24;7;.975;
2018-09-08;0;36.7;26.783333;19.7;64.125;27;5.4;.920833;
2018-09-09;0;35.9;25.620833;20.4;75.166667;37;11.8;1.1125;
2018-09-10;0;35;26.379167;20.5;73.791667;38;6.8;1.279167;
2018-09-11;0;35.4;27.241667;22.4;72.125;42;6.6;1.15;
2018-09-12;0;35.4;27.570833;20.9;71.125;44;6.5;1.495833;
2018-09-13;0;34.7;27.520833;21.6;71.958333;43;6.9;1.329167;
2018-09-14;0;36.2;28.454167;23.1;65.791667;34;7.7;1.583333;
2018-09-15;0;27.3;23.716667;23.2;90.041667;77;5.7;1.154167;
2018-09-16;31.2;32.5;23.95;21.4;88.25;57;11.3;1.141667;
2018-09-17;42.2;34.1;25.8625;20.8;80.333333;47;5.9;1.0375;
2018-09-18;0;35.4;27.525;21.8;74.833333;41;5.4;1.025;
2018-09-19;0;34.9;27.425;22.7;73.791667;42;6.8;1.3;
2018-09-20;0;34.8;26.358333;21;74.708333;44;6.6;.941667;
2018-09-21;1;35;26.670833;21.5;73.333333;44;8.3;1.541667;
2018-09-22;0;35.1;27.008333;21.3;72.25;43;11;1.195833;
2018-09-23;0;34;27.316667;20.9;72.5;46;6.6;1.454167;
2018-09-24;0;35.5;27.2875;21.5;71.25;39;8.5;1.3;
2018-09-25;.2;34.7;26.745833;21.6;74.625;37;8.5;.95;
2018-09-26;0;34.7;25.908333;22.6;81.166667;45;9.6;1.216667;
2018-09-27;2.8;34.1;26.266667;22.2;79.416667;43;6.9;1.166667;
2018-09-28;53.8;32.7;25.3;21.7;86.041667;54;9;.966667;
2018-09-29;0;33.7;25.333333;22.1;86.875;52;7.4;.941667;
2018-09-30;0;34.5;26.2875;22;79.541667;51;5.4;1.016667;
2018-10-01;0;32.2;25.7125;22.3;82.166667;60;7;1.183333;
2018-10-02;0;33.7;25.204167;21.5;83.583333;51;8.8;1.4125;
2018-10-03;0;33.1;26.745833;22.8;78.666667;50;5.6;1.1;
2018-10-04;0;34.9;27.670833;22.8;74.041667;39;6;.9875;
2018-10-05;0;35.2;26.658333;22.2;74.416667;44;7;2.004167;
2018-10-06;8.4;33.6;25.925;22;81.125;53;8.1;1.133333;
2018-10-07;0;34.7;27.045833;21.7;76.375;44;7.1;1.079167;
2018-10-08;26;33.3;25.725;22.5;85.166667;54;11.4;1.329167;
2018-10-09;5.2;34;26.075;21.5;81.291667;51;9.5;1.2;
2018-10-10;0;34.2;26.4875;22.1;78.833333;46;5.8;1.220833;
2018-10-11;21.4;30.7;24.9;22.1;88.333333;62;8.9;1.170833;
2018-10-12;14;32.1;25.570833;21.9;85.25;57;7.2;1.075;
2018-10-13;0;31.3;24.445833;22.1;89.708333;64;7.2;.8125;
