Nome: VILA BELA DA SANTISSIMA TRINDADE
Codigo Estacao: A922
Latitude: -15.06277777
Longitude: -59.87305554
Altitude: 213
Situacao: Pane
Data Inicial: 2018-09-01
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-09-01;0;37.8;27.375;20.1;62.25;26;8;1.595833;
2018-09-02;10;23.6;14.8625;11.8;84.833333;65;10.7;2.504167;
2018-09-03;5.6;27.2;17.7;10.2;64.958333;25;8.7;1.795833;
2018-09-04;0;29.6;20.870833;13.9;54.666667;26;10.4;2.1875;
2018-09-05;0;30.7;20.833333;10.7;56.333333;20;7.2;1.275;
2018-09-06;0;35.7;23.95;12.9;51.291667;17;8.1;1.6;
2018-09-07;0;36.1;25.670833;16.5;53.166667;21;4.3;1.0375;
2018-09-08;0;37.8;27.05;17.9;54.166667;18;5.6;1.1125;
2018-09-09;0;38.3;27.520833;18.2;47;14;7.5;1.604167;
2018-09-10;0;38.3;27.795833;18.1;45.458333;18;5.3;1.1125;
2018-09-11;0;39.2;28.366667;18.6;49.916667;17;5.6;.979167;
2018-09-12;0;39;29.045833;19.6;50.833333;22;6.9;1.5875;
2018-09-13;0;38.4;29.825;23.5;51.125;29;8.5;2.35;
2018-09-14;.8;35.6;27.570833;23.9;62.083333;32;13.2;2.558333;
2018-09-15;.2;36.6;27.554167;21.9;63.958333;32;12.4;2.104167;
2018-09-16;0;32.4;26.045833;22.5;71.291667;48;8.7;2.291667;
2018-09-17;0;36;27.325;20.1;62.208333;30;9.6;1.7375;
2018-09-18;0;36.8;27.354167;21.8;64.125;33;13.3;2.354167;
