Nome: GAUCHA DO NORTE
Codigo Estacao: A930
Latitude: -13.18472221
Longitude: -53.2575
Altitude: 375.87
Situacao: Pane
Data Inicial: 2018-09-01
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-09-01;0;37;28.408333;19.9;37.625;18;7.1;.958333;
2018-09-02;0;36.8;28.291667;20;38.875;15;8.1;1.175;
2018-09-03;0;34;24.3;16.9;48.708333;25;12;3.2375;
2018-09-04;0;34.6;24.416667;15.8;34.875;16;11.8;3.291667;
2018-09-05;0;36;25.633333;17.8;33.208333;14;10;1.85;
2018-09-06;0;38.2;26.683333;16.6;31.291667;12;7.9;.870833;
2018-09-07;0;38.6;29.404167;21.3;28.5;13;9.3;1.333333;
2018-09-08;0;35.3;28.441667;21.5;40.75;24;5.2;.633333;
2018-09-09;0;38.5;29.120833;19.3;41.291667;12;8.4;1.1375;
2018-09-10;0;37;28.1;19.5;34.041667;18;7.6;.854167;
2018-09-11;0;38.5;29.016667;20.1;42.166667;13;9.8;.679167;
2018-09-12;0;39.1;29.1;19.8;33.916667;14;8.7;.7625;
2018-09-13;0;35.8;28.2875;23;51.041667;30;10.9;1.570833;
2018-09-14;0;35.6;28.4;22.7;52.375;25;8.7;1.708333;
2018-09-15;0;35.9;29.075;22.3;49.708333;26;8.3;.625;
2018-09-16;0;35.3;28.7125;22.6;53.166667;33;9.6;1.116667;
2018-09-17;0;37.4;28.0125;23;58.583333;28;9.2;1.895833;
2018-09-18;5.8;36.7;27.4375;21.4;63.583333;29;8.5;1.266667;
2018-09-19;0;35.8;28.375;22.1;57.291667;26;9.4;1.4875;
2018-09-20;0;35.3;26.541667;22;63.5;32;9.4;1.075;
2018-09-21;0;37.5;29.669565;23.5;52.173913;23;6.4;.647826;
2018-09-22;0;36.8;28.743478;23.3;53.434783;28;16.2;.969565;
2018-09-23;null;39.5;null;23.8;38;22;16.2;null;
2018-09-24;null;34.7;null;23.1;47.176471;34;11.1;null;
2018-09-25;null;34.8;null;22.4;51.166667;30;13.5;1.411111;
2018-09-26;null;36.7;null;22.2;49.285714;28;12.3;null;
2018-09-27;null;37.4;null;25.5;null;26;9.2;null;
2018-09-28;null;37;null;28.9;null;31;7.8;null;
2018-09-29;null;36;null;23.9;null;32;6.3;null;
2018-09-30;null;34.4;null;26.5;null;37;11.4;null;
2018-10-01;null;30.4;null;26.7;null;50;3.8;null;
2018-10-02;null;33.7;null;23.9;null;35;4.3;null;
2018-10-03;null;35.9;null;24.9;null;32;8.1;null;
2018-10-04;null;35.7;null;25.9;null;37;7.5;null;
2018-10-05;null;33.9;null;25.7;null;39;10;null;
2018-10-06;null;34.2;null;28.6;null;37;6;null;
2018-10-07;null;32.5;null;27.1;null;42;5.5;null;
2018-10-08;null;33.9;null;25.7;null;36;6.9;null;
2018-10-09;null;34.6;null;26.5;null;36;4.9;null;
2018-10-10;null;31.4;null;24.5;null;51;3.8;null;
2018-10-11;null;33.6;null;27.3;null;45;0;null;
2018-10-12;null;35.8;null;24.4;null;33;7.6;null;
2018-10-13;null;36.1;null;26.7;null;33;7;null;
2018-10-14;null;37.2;null;26.6;null;34;6.2;null;
2018-10-15;null;35.4;null;29.8;null;39;7.9;null;
2018-10-16;null;34.6;null;31.7;null;40;3.8;null;
2018-10-17;null;33;null;23.5;null;42;6.6;null;
2018-10-18;null;34.9;null;26.5;null;37;5.7;null;
2018-10-19;null;33.4;null;29.2;null;48;2;null;
2018-10-20;null;33.3;null;24.5;null;40;6.5;null;
2018-10-21;null;29.6;null;26.4;null;53;4.2;null;
2018-10-22;null;null;null;24.1;null;null;null;null;
2018-10-23;null;null;null;null;null;null;null;null;
2018-10-24;null;null;null;null;null;null;null;null;
2018-10-25;null;32.9;null;null;null;42;16.1;null;
2018-10-26;null;null;null;25.5;null;null;null;null;
2018-10-27;null;null;null;null;null;null;null;null;
2018-10-28;null;null;null;null;null;null;null;null;
2018-10-29;null;null;null;null;null;null;null;null;
2018-10-30;null;34.4;null;null;null;39;9.5;null;
2018-10-31;null;33.1;null;23.4;null;44;4.9;null;
2018-11-01;null;32.2;null;25.3;null;53;4.8;null;
2018-11-02;null;32.9;null;29.5;null;44;5.9;null;
2018-11-03;null;31.1;null;24.4;null;56;3;null;
2018-11-04;null;29.4;null;25.7;null;63;0;null;
2018-11-05;null;33.1;null;24.5;null;45;8.7;null;
2018-11-06;null;31.9;null;28;null;47;5.3;null;
2018-11-07;null;31;null;27;null;50;5.2;null;
2018-11-08;null;25.2;null;26.4;null;80;4.6;null;
2018-11-09;null;30.4;null;24;null;56;4.7;null;
2018-11-10;null;28.1;null;28.5;null;69;6.7;null;
2018-11-11;null;32;null;26.8;null;44;5.5;null;
2018-11-12;null;null;null;26.6;null;null;null;null;
2018-11-13;null;28.3;null;null;null;73;4.7;null;
2018-11-14;null;32.9;null;26;null;46;7.2;null;
2018-11-15;null;null;null;27.9;null;null;null;null;
2018-11-16;null;null;null;null;null;null;null;null;
2018-11-17;null;null;null;null;null;null;null;null;
2018-11-18;null;null;null;null;null;null;null;null;
2018-11-19;null;null;null;null;null;null;null;null;
2018-11-20;null;null;null;null;null;null;null;null;
2018-11-21;null;33.1;null;null;null;46;0;null;
2018-11-22;null;30.4;null;31.6;null;60;1.8;null;
