Nome: ALTO TAQUARI
Codigo Estacao: A934
Latitude: -17.8411111
Longitude: -53.28944444
Altitude: 862.42
Situacao: Operante
Data Inicial: 2018-09-01
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-09-01;0;35.2;25.3375;15.4;41.833333;20;10.4;2.170833;
2018-09-02;0;25.5;17.654167;16.3;77.791667;37;13.8;3.804167;
2018-09-03;.2;20.7;12.920833;9.7;79.458333;34;9.7;3.754167;
2018-09-04;.2;26.1;15.916667;8;62.625;27;11.1;3.5125;
2018-09-05;0;29;18.829167;11.3;47.125;17;9.9;3.441667;
2018-09-06;0;31.2;20.854167;13.8;36.541667;13;8.6;3.345833;
2018-09-07;0;33.2;23.141667;14.3;31.666667;14;9.1;2.425;
2018-09-08;0;34.9;24.5375;15.8;30.125;12;10.7;2.729167;
2018-09-09;0;34.9;25.404167;16.7;27.875;12;9.8;2.241667;
2018-09-10;0;34.7;26.4875;19.6;21.833333;12;10.1;2.904167;
2018-09-11;0;35.2;25.070833;14.3;26.458333;12;9.9;1.920833;
2018-09-12;0;36.2;25.0875;14.3;29.458333;12;11.4;1.6375;
2018-09-13;0;36.2;26.620833;18.7;29.166667;13;11.8;2.291667;
2018-09-14;.6;27.6;21.575;19.9;74.541667;32;12.4;3.195833;
2018-09-15;5.6;31.2;22.3625;16.7;80.125;39;9.5;1.375;
2018-09-16;0;31.4;21.5875;18.7;82.125;40;10.4;2.1;
2018-09-17;13.2;25.5;20.604167;18.1;86.791667;59;11.5;2.1;
2018-09-18;2.6;27.4;21.425;18.2;82.75;55;8.1;2.395833;
2018-09-19;1.4;34.1;22.429167;18.5;77.875;31;13.2;2.358333;
2018-09-20;20.8;32.1;21.6625;18.1;80.208333;38;18.3;4.045833;
2018-09-21;17.6;33.2;22.2125;16.7;74.125;36;14.1;2.158333;
2018-09-22;9;33.3;24.833333;18.8;62.625;30;8.8;1.825;
2018-09-23;0;36.2;26.5875;18.1;52.875;22;7.5;1.620833;
2018-09-24;0;36.1;26.875;19.7;45.75;20;15;2.329167;
2018-09-25;0;27;23.166667;20.4;70.291667;47;12.3;3.858333;
2018-09-26;0;34.9;25.825;20.3;60.208333;28;9.6;2.025;
2018-09-27;0;34.3;24.866667;20.5;66.208333;32;17.6;2.8625;
2018-09-28;0;33.3;23.866667;19.1;72.5;32;12.7;3.9875;
2018-09-29;12.2;32.6;23.608333;18.5;71.666667;30;9.9;2.708333;
2018-09-30;8.8;27.1;20.758333;19;88.541667;58;21.8;3.6125;
2018-10-01;21.8;31.5;23.120833;18.3;77.541667;38;9.6;2.933333;
2018-10-02;22.6;31.1;23.879167;19;72.291667;35;8.4;1.745833;
2018-10-03;.2;32.6;24.858333;19.3;71.458333;40;9.9;2.516667;
2018-10-04;8.4;30.6;22.354167;19.7;83.958333;48;18.3;1.9125;
2018-10-05;30;31.5;21.895833;18.7;86.791667;50;13.9;3.3125;
2018-10-06;1.6;29.8;23.033333;18.7;78.625;51;12.4;1.770833;
2018-10-07;0;32.6;24.183333;19.4;73.083333;31;13.2;2.925;
2018-10-08;.2;31.5;24.304167;19.6;73.666667;43;12;3.925;
2018-10-09;0;32.9;24.516667;19.7;74.625;40;12.7;3.141667;
2018-10-10;4.8;32.2;23.075;18.8;81.333333;41;18.2;2.095833;
2018-10-11;32;32.1;22.733333;18.3;83.791667;44;10.7;2.245833;
2018-10-12;3.8;32.9;24.05;19.3;78.458333;44;10.2;2.05;
2018-10-13;.8;32.2;24.229167;19.4;74.333333;45;10.7;3.104167;
2018-10-14;.6;32.6;23.533333;20;82.041667;44;9.9;1.895833;
