Nome: BAURU
Codigo Estacao: A705
Latitude: -22.358052
Longitude: -49.028877
Altitude: 636.17
Situacao: Operante
Data Inicial: 2018-09-01
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-09-01;0;33.4;25.320833;19.2;40.125;22;7.9;1.604167;
2018-09-02;0;33.6;24.054167;17.8;57.041667;24;11.7;2.204167;
2018-09-03;1.4;22.8;15.795833;14.6;90;65;12.3;1.579167;
2018-09-04;1.2;23;15.2;10.6;74.291667;37;8.2;2.379167;
2018-09-05;0;21.7;15.1875;10.5;70.166667;40;10;2.104167;
2018-09-06;0;26.7;17.3875;10.7;60;26;8.9;2.145833;
2018-09-07;0;31.4;20.270833;12.3;56.208333;16;8;1.875;
2018-09-08;0;32.2;22.229167;14.3;48;16;7.7;1.645833;
2018-09-09;null;32;null;13.9;46.941176;18;8;null;
2018-09-10;null;28.8;null;16.4;null;30;9.3;null;
2018-09-11;null;29.5;null;18.9;null;30;7.3;null;
2018-09-12;null;29.2;null;18.7;null;35;10.7;null;
2018-09-13;null;31;null;19.2;null;31;8;null;
2018-09-14;null;20.3;null;19.4;null;83;4.5;null;
2018-09-15;null;24.8;19.0375;15.9;86.125;57;5.4;.8;
2018-09-16;0;26.5;19.608333;14.8;76.25;46;7.2;1.658333;
2018-09-17;15;20.9;17.195833;13.8;89.708333;69;8.5;1.929167;
2018-09-18;.2;25.2;20.708333;14;87.083333;69;7.4;1.404167;
2018-09-19;0;30.9;23.208333;18.3;75.541667;45;5.3;1.004167;
2018-09-20;17.8;23.2;18.633333;16.1;87.291667;68;12.2;2.275;
2018-09-21;10.2;29.4;21.104167;14.9;78.583333;44;6;1.079167;
2018-09-22;0;32;23.341667;17.2;63.541667;26;5.7;1.258333;
2018-09-23;0;33.8;24.779167;17.6;52.541667;20;6.4;1.183333;
2018-09-24;0;35.7;26.175;18.1;46.041667;20;6.2;1.4875;
2018-09-25;0;33.6;24.4625;16;58.666667;33;8.5;1.916667;
2018-09-26;7;32.3;23.720833;18.3;76.541667;41;11.7;1.941667;
2018-09-27;1.8;25;21.758333;19.3;87.291667;74;10.3;1.1;
2018-09-28;.2;28.9;22.470833;18.6;79.583333;50;6.9;1.420833;
2018-09-29;0;30.8;23.720833;19.5;68.833333;44;8.4;1.654167;
2018-09-30;0;24.5;21.195833;20.3;87.541667;62;6.3;.991667;
2018-10-01;17.6;29.7;22.8375;18.6;81.125;49;6.8;1.0625;
2018-10-02;0;32.4;25.2875;18.8;68.5;40;7.8;1.045833;
2018-10-03;0;34;25.9875;21.5;66.916667;37;12.7;1.2375;
2018-10-04;0;31.8;24.316667;19.2;74.083333;43;7.5;1.258333;
2018-10-05;0;29.7;22.383333;17.2;67.958333;45;9.7;2.283333;
2018-10-06;0;27;19.9375;15.2;69.791667;52;12;2.316667;
2018-10-07;0;24.5;20.1875;17;81.25;71;12;1.766667;
2018-10-08;26.2;22.7;20.7625;19.6;94.916667;83;8.8;1.304167;
2018-10-09;42.8;28.8;21.891667;17.7;88.166667;62;14.5;1.275;
2018-10-10;4.2;30.3;23.7125;19.4;81.791667;51;8.1;1.416667;
2018-10-11;0;26.2;22.475;20.3;76.875;60;12.9;2.816667;
2018-10-12;0;32.1;23.804167;18.5;69.333333;43;10.7;1.945833;
2018-10-13;0;29.3;24.779167;21.3;76.916667;55;6.6;.841667;
2018-10-14;13.6;30.5;23.341667;19.7;83.208333;55;12.6;.966667;
2018-10-15;25;29.9;22.058333;18.2;86.666667;54;15.8;.916667;
2018-10-16;.2;30;23.016667;17.9;81.041667;54;6;1.141667;
2018-10-17;1.4;30.6;24.85;20.1;80.5;58;7.4;1.345833;
2018-10-18;17.6;32;23.983333;18.5;79.166667;50;15.3;1.883333;
2018-10-19;0;29.2;22.316667;18.3;76.083333;46;13.3;1.425;
2018-10-20;0;26.2;20.145833;15.2;62.833333;37;12.7;2.470833;
2018-10-21;0;28.1;19.9625;14;61.5;41;10.9;2.270833;
2018-10-22;0;31.1;21.829167;14.6;66.25;43;9.3;1.65;
2018-10-23;0;32;24.504167;17.3;66.375;39;6.3;1.104167;
2018-10-24;1.2;25.8;20.608333;18.1;85.75;63;9.8;2.191667;
2018-10-25;1;21.8;19.758333;18.3;95.333333;92;6.8;.729167;
