Nome: PRESIDENTE PRUDENTE
Codigo Estacao: A707
Latitude: -22.119867
Longitude: -51.408637
Altitude: 431.92
Situacao: Operante
Data Inicial: 2018-09-01
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-09-01;0;35.9;27.733333;22.5;36.041667;18;10.1;1.958333;
2018-09-02;0;25.3;20.7125;20.6;74.958333;57;10.9;2.4375;
2018-09-03;0;17.3;14.1125;11.7;78.958333;60;9.2;3.233333;
2018-09-04;0;24.3;17.2;12.7;63.55;29;8.9;2.3;
2018-09-05;0;25.2;18.083333;12.1;49.041667;23;7.9;1.658333;
2018-09-06;0;28;19.5;11.9;48.083333;20;9;2.275;
2018-09-07;0;31.1;22.3375;14.2;43.625;17;8;1.5375;
2018-09-08;0;34.9;25.0625;16.6;35.708333;12;6.1;1.220833;
2018-09-09;0;35.5;26.1125;17.9;32.083333;12;7.3;1.429167;
2018-09-10;0;32.1;23.820833;15.9;48.5;24;9.1;2.0125;
2018-09-11;0;33.2;24.254167;16.5;48.416667;21;9.5;2.195833;
2018-09-12;0;31.9;22.975;16.1;50.208333;24;14.2;3.079167;
2018-09-13;0;33;23.55;16.5;53.875;23;11.7;2.729167;
2018-09-14;6;26;20.1375;17.5;82.173913;48;12.8;2.120833;
2018-09-15;1.8;24.6;19.716667;15.6;71.076923;56;4.8;.620833;
2018-09-16;0;26.7;21.275;17.1;73;49;14;1.454167;
2018-09-17;44.8;22.7;19.408696;16.6;98.333333;89;8.8;2.047826;
2018-09-18;0;28.3;22.554167;17.9;80.470588;54;6.4;1.3625;
2018-09-19;.2;32.7;25.4;19.4;71.958333;38;8.8;.854167;
2018-09-20;17.2;28.6;18.770833;17.7;88.277778;51;15.3;2.6;
2018-09-21;31.6;30.2;21.445833;15.3;66.375;37;4.1;1.0375;
2018-09-22;0;33.3;26.595833;18;52.708333;31;5.7;1.041667;
2018-09-23;0;35;28.141667;22;41.375;23;6.3;1.225;
2018-09-24;0;36.2;29.095833;22.8;32.291667;15;5.7;.9875;
2018-09-25;0;32.2;26.529167;20.9;43.25;26;12.4;2.120833;
2018-09-26;0;32.5;26.441667;21.2;58.791667;35;6.3;1.195833;
2018-09-27;5.4;27.6;23.908333;18.7;68.416667;44;13.6;1.6125;
2018-09-28;0;30.6;24.895833;19.6;67.208333;42;6.3;1.3;
2018-09-29;0;31.5;26.15;20.6;59.708333;39;10.9;2.1375;
2018-09-30;3;28.7;23.095833;21.8;76.066667;48;8.2;.745833;
2018-10-01;18;31.6;24.925;19.8;58.071429;42;6.2;1.6625;
2018-10-02;0;31.6;27.183333;23.5;62.333333;47;6.9;1.5875;
2018-10-03;0;34.4;27.304167;23.4;64.833333;37;16.3;1.329167;
2018-10-04;17.8;33.2;26.458333;20.7;66.833333;35;7;1.291667;
2018-10-05;0;28.8;24.029167;19;66.708333;50;9.2;2.329167;
2018-10-06;0;28.1;22.191667;16.5;62.125;47;12;2.658333;
2018-10-07;0;30.2;23.220833;17.7;67.375;49;11.1;2.3125;
2018-10-08;28;25.5;22.4875;20.8;null;76;9.5;1.704167;
2018-10-09;32.2;30.9;23.625;19.7;77.615385;56;10.3;1.704167;
2018-10-10;4.2;24.2;22.275;20.5;97.166667;89;6.1;1.454167;
2018-10-11;5.8;27.6;23.679167;21.4;76.736842;59;10.7;2.25;
2018-10-12;0;32.2;24.179167;18;66.375;44;11;2.120833;
2018-10-13;0;32.7;27.345833;20.6;67.304348;41;14.4;1.1375;
2018-10-14;5.4;32.1;25.404167;21.7;80.285714;47;13;.5125;
