Nome: JOSE BONIFACIO
Codigo Estacao: A735
Latitude: -21.08555555
Longitude: -49.92027777
Altitude: 408.35
Situacao: Pane
Data Inicial: 2018-09-01
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-09-01;0;36.2;26.808333;19.1;39.75;17;11.4;2.479167;
2018-09-02;0;36.4;25.8625;21.4;56.166667;18;13.2;3.683333;
2018-09-03;0;22;17.120833;14.4;74.541667;40;9;3.308333;
2018-09-04;0;24.7;17.304167;11.9;65.875;35;9.7;2.783333;
2018-09-05;0;26.2;18.008333;10.8;57.708333;24;11.1;3.625;
2018-09-06;0;30.9;19.95;12.2;53.916667;15;9.2;3.383333;
2018-09-07;0;34.7;22.8125;13.7;48;12;7.2;2.254167;
2018-09-08;0;36.4;23.35;11.6;50.473684;11;7.5;2.15;
2018-09-09;0;35;24.304167;15.4;45.952381;13;7.8;2.391667;
2018-09-10;0;36;24.575;15.2;47.428571;12;8.4;2.4875;
2018-09-11;0;35;24.104167;15.2;50.541667;16;7.6;2.954167;
2018-09-12;0;33.6;24.141667;15.9;51.958333;25;12.8;4.266667;
2018-09-13;0;37.1;25.508333;16.1;51.25;14;12;3.595833;
2018-09-14;0;27.5;21.154167;18.7;73.958333;34;11.9;2.895833;
2018-09-15;8.8;26.8;21.108333;18;81;52;5.6;1.379167;
2018-09-16;0;28.9;21.975;16.6;76.75;48;7.8;2.325;
2018-09-17;23.4;24.9;20.104167;17.6;88.708333;65;12.9;2.845833;
2018-09-18;2.2;27.2;22.1375;17.7;83.041667;63;8.6;2.279167;
2018-09-19;.6;33.2;24.995833;18;71.666667;37;7.1;1.5375;
