Nome: CACHOEIRA PAULISTA
Codigo Estacao: A769
Latitude: -22.68888888
Longitude: -45.00555555
Altitude: 586
Situacao: Pane
Data Inicial: 2018-09-01
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-09-01;0;32.2;23.1;15.1;55.416667;20;6.2;1.4125;
2018-09-02;0;32.6;23.529167;14.3;59.541667;29;7.5;1.358333;
2018-09-03;0;33.8;23.0375;16;66.5;29;13.6;1.9375;
2018-09-04;5.2;21.7;16.633333;10.8;73.416667;45;11.8;1.8625;
2018-09-05;.8;23.3;16.0875;11.6;72;39;11.8;1.520833;
2018-09-06;0;24.8;17.629167;12.1;66.208333;34;9.6;1.591667;
2018-09-07;0;28.3;18.770833;9.4;64.625;30;7.3;1.675;
2018-09-08;0;27.5;18.341667;10.3;70.083333;34;6.9;1.5125;
2018-09-09;0;29;19.2;10.5;66.916667;33;7.9;1.416667;
2018-09-10;0;26.5;19.377273;14.5;69.454545;44;7.1;1.45;
2018-09-11;0;25.2;19.5125;15.8;66.5;48;9.6;2.1375;
2018-09-12;0;24.1;18.8875;14.7;70.583333;48;11.6;3.204167;
2018-09-13;0;25.6;19.8;15.9;70.458333;51;12.1;4.020833;
2018-09-14;0;25.1;19.233333;17.1;77.916667;52;11.4;2.483333;
2018-09-15;10.2;27.5;20.325;17;82.083333;49;7.5;.891667;
2018-09-16;11.6;25.3;18.966667;14.6;78.958333;50;13.7;1.1875;
2018-09-17;.2;20;16.666667;13.8;86.083333;69;4.9;.704167;
2018-09-18;0;28.9;20.4125;15.6;82.333333;45;16.3;1.3625;
2018-09-19;11;32.2;23.541667;15.9;69.791667;37;6.8;1.141667;
2018-09-20;0;24.9;20.470833;17.4;82.041667;60;12.5;.879167;
2018-09-21;7.4;30.3;22.520833;17.2;75.208333;44;6.9;1.0125;
2018-09-22;0;30.5;23.345833;18.4;69.333333;40;6.4;1.333333;
2018-09-23;0;33.3;24.025;16;65.041667;30;8.6;1.491667;
2018-09-24;0;34.2;24.554167;15.1;62.958333;28;6.2;1.166667;
2018-09-25;0;31.7;24;18.2;69.166667;38;7.9;1.758333;
2018-09-26;0;33.8;25.1;19.8;65.75;34;11.6;1.720833;
2018-09-27;0;34;24.466667;17.9;66.958333;34;10.3;1.920833;
