Nome: SOROCABA
Codigo Estacao: A713
Latitude: -23.4261111
Longitude: -47.58555555
Altitude: 609.33
Situacao: Operante
Data Inicial: 2018-09-01
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-09-01;0;32.4;22.420833;13.6;55.791667;21;9.1;2.3625;
2018-09-02;0;31.4;22.975;16.5;58;27;9;1.766667;
2018-09-03;.6;24.2;17.654167;16.8;84.333333;61;11.9;2.066667;
2018-09-04;.4;16.8;12.975;10.1;85.958333;66;9.9;1.683333;
2018-09-05;5.2;19.2;13.758333;9.6;76.708333;52;9.5;3.2875;
2018-09-06;0;25.1;15.6125;8.5;67.291667;26;9.6;3.108333;
2018-09-07;0;28.9;17.908333;8.8;66.791667;28;6.1;2.191667;
2018-09-08;0;29.2;19.8125;11.7;57.5;19;8.8;2.804167;
2018-09-09;0;28.5;18.2375;12.2;68.958333;28;10.3;3.316667;
2018-09-10;0;26.9;18.320833;12.6;67.583333;33;9.6;3.4125;
2018-09-11;0;25.2;17.945833;13;70.125;40;11.2;3.779167;
2018-09-12;0;26.2;18.425;13.4;69.333333;38;10.9;4.316667;
2018-09-13;0;28.8;19.508333;14.1;71;35;12.5;3.333333;
2018-09-14;7.2;18.4;16.933333;15.8;91.208333;82;15.3;2.033333;
2018-09-15;18.6;23.5;18.345833;16.4;87.083333;54;20;1.066667;
2018-09-16;19.8;24;17.770833;13.4;78.583333;52;8.6;3.208333;
2018-09-17;11.8;19;16.4125;14.4;88.5;77;17.4;2.183333;
2018-09-18;7;25.3;20.416667;14.9;84.125;66;9.7;1.770833;
2018-09-19;.6;30.1;22.3625;17.5;76.625;43;10.8;1.220833;
2018-09-20;25.8;25.1;19.266667;15.8;80.083333;55;20.5;2.845833;
2018-09-21;7.8;27;20.454167;15.7;78.291667;47;10.5;1.095833;
2018-09-22;0;30.8;22.104167;13.6;66.5;26;10.5;1.566667;
2018-09-23;0;31.7;22.583333;12.5;57.791667;25;7.3;1.516667;
2018-09-24;0;33.3;23.154167;13.2;54.666667;19;7.9;1.829167;
2018-09-25;0;30.8;21.95;14.7;68.875;39;10.9;3.1625;
2018-09-26;0;30.7;22.891667;17.1;70.208333;41;7.6;1.795833;
2018-09-27;.2;27.6;21.404167;18.1;83.541667;58;13.2;1.729167;
2018-09-28;9.8;26.3;21.254167;18.5;78.875;59;8.4;3.191667;
2018-09-29;0;29.7;22.9375;18.5;71.833333;41;9.1;2.7;
2018-09-30;0;28.7;22.375;19;79.166667;54;12.2;1.7125;
2018-10-01;.2;29.7;23.216667;19.2;74.916667;39;9.1;1.383333;
2018-10-02;0;31.8;24.633333;18.6;68.583333;35;7;1.0625;
2018-10-03;0;32.6;23.975;18.6;72.791667;35;11.9;1.583333;
2018-10-04;.6;27.2;21.929167;19;75.708333;53;9.6;3.766667;
2018-10-05;0;23.5;18.929167;16.4;74.375;58;10.2;4.35;
2018-10-06;0;20.6;17.395833;14.5;74.875;64;11.5;3.916667;
2018-10-07;0;23.8;19.433333;16.1;78.375;64;5.8;2.05;
2018-10-08;2.4;22;19.916667;18.3;89.625;78;8.5;1.354167;
2018-10-09;32.8;28.1;21.804167;17.5;84.208333;60;8.3;1.35;
2018-10-10;58.4;29.3;22.541667;19.5;83.125;53;11.5;2.425;
2018-10-11;.2;21.2;19.825;19.4;84.125;75;11.4;3.7625;
2018-10-12;2.6;28.9;22.354167;17.6;74.416667;51;10.1;2.866667;
2018-10-13;0;31;23.733333;17.8;77.208333;50;16.2;1.883333;
2018-10-14;2.6;25.3;20.925;18;81.25;61;8;2.783333;
2018-10-15;9;26.1;19.8875;16.8;84.458333;65;7.9;1.808333;
2018-10-16;0;30.2;22.033333;17.3;77.375;47;7.5;1.875;
2018-10-17;0;29.9;23.766667;19.7;78.416667;56;7.3;1.9375;
2018-10-18;6.2;29.1;23.458333;19.8;80.5;54;19.8;1.4875;
2018-10-19;1.4;24.1;20.433333;18.8;82.125;67;12;3.329167;
2018-10-20;0;23.9;18.329167;14.8;64.791667;39;13.8;5.754167;
2018-10-21;0;25.3;17.666667;12.6;69;41;10;3.791667;
2018-10-22;0;29.2;19.8125;13;71.333333;39;7.8;2.329167;
2018-10-23;0;30.6;21.725;14.4;72.375;39;8.8;1.8375;
2018-10-24;3.4;21.8;18.929167;17.5;85.333333;76;10.2;3.541667;
2018-10-25;15.6;21.4;19.541667;17.8;89.708333;82;5.1;1.245833;
2018-10-26;6;25.7;21.629167;18.8;83.041667;64;4.4;.9625;
2018-10-27;2.4;27.4;22.866667;20.6;82;56;10.8;2.6375;
2018-10-28;6;24;19.158333;15;69.833333;51;9.4;4.058333;
2018-10-29;0;25.5;17.854167;11.9;70.791667;40;8.2;2.866667;
2018-10-30;0;30;20.375;11.9;69.041667;30;6.7;1.666667;
2018-10-31;0;32;21.8875;15.7;70.875;45;23.4;2.341667;
2018-11-01;15.2;27.2;21.3625;16.1;78.833333;55;7;1.445833;
2018-11-02;0;29.8;22.179167;17.1;74.458333;43;9.1;2.641667;
2018-11-03;0;31.4;23.154167;17.6;74.375;47;21.2;2.4875;
2018-11-04;1.8;26.9;20.520833;16.4;73.916667;51;11.7;3.791667;
2018-11-05;0;24.3;18.8625;14.6;72.916667;56;11.1;4.479167;
2018-11-06;0;24.8;20.4625;17;73.75;58;8.7;3.683333;
2018-11-07;0;28.1;20.920833;16.6;75.208333;50;14;4.458333;
2018-11-08;0;23.8;19.716667;17.1;72.5;59;13.5;5.5875;
2018-11-09;0;24.9;20.220833;16.5;75.041667;54;8.5;2.045833;
2018-11-10;1;25.8;21.254167;18.1;78.125;59;8.2;1.566667;
2018-11-11;2.4;30.7;22.841667;17.6;76.041667;42;8.1;1.875;
2018-11-12;0;32.2;23.8875;18.4;71.291667;35;8.4;2.170833;
2018-11-13;0;33;25.070833;18.2;66.291667;34;7.7;1.704167;
2018-11-14;0;32.6;26.3875;21.1;65.208333;43;11.5;1.9625;
2018-11-15;0;31.4;24.225;20.2;74.125;43;10.1;2.058333;
2018-11-16;0;29.5;22.658333;18.7;71.041667;50;13.4;3.866667;
2018-11-17;0;31;22.358333;15.7;67.75;42;9.1;2.716667;
2018-11-18;2.6;28.6;21.983333;18.5;82.541667;58;12.6;2.120833;
2018-11-19;41.2;20.6;18.079167;17.3;87.375;70;12.1;4.195833;
2018-11-20;1.4;22.5;17.958333;14;75.166667;62;10.2;4.058333;
2018-11-21;0;24.6;19.7;15.9;74.916667;59;8.8;3.533333;
2018-11-22;0;29;22.583333;17.6;72.666667;49;8.9;1.783333;
2018-11-23;0;29.4;22.758333;19;77.125;50;10.7;1.945833;
2018-11-24;32.8;25.3;20.816667;18.4;88.708333;71;11.7;3.958333;
2018-11-25;35;25.7;21.1375;18.9;86.625;67;10.1;2.233333;
2018-11-26;5;27;21.154167;16.8;61.875;36;10.1;4.120833;
2018-11-27;0;28.6;20.691667;15;66.166667;42;8.8;2.908333;
2018-11-28;0;30;21.766667;16.5;73.916667;41;9.6;2.754167;
2018-11-29;0;31.6;23.183333;17.4;71.75;35;6.7;1.816667;
2018-11-30;0;31.9;24.720833;19.9;68.291667;40;10.5;1.554167;
