Nome: CASA BRANCA
Codigo Estacao: A738
Latitude: -21.78055554
Longitude: -47.07527777
Altitude: 734.15
Situacao: Pane
Data Inicial: 2018-09-01
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-09-01;0;32;25.35;19;34.25;17;10;2.404167;
2018-09-02;0;33.1;26.1375;18.9;32.666667;19;11;2.908333;
2018-09-03;0;27.4;21.045833;18.6;66.458333;31;10.7;1.966667;
2018-09-04;.2;17.9;13.7375;10.6;73.416667;55;6.7;1.170833;
2018-09-05;1;23;15.658333;9.6;62.5;29;10.1;1.816667;
2018-09-06;0;27.8;17.758333;8.7;54.25;16;8.8;1.475;
2018-09-07;0;31.1;21.475;12.7;45.666667;16;6.9;1.216667;
2018-09-08;0;31.5;22.916667;14.2;38.25;16;6.3;1.15;
2018-09-09;0;30.8;22.3625;13.8;43.166667;16;7.8;1.325;
2018-09-10;0;31.1;21.641667;12.8;47.708333;15;6.8;1.391667;
2018-09-11;0;30.3;21.366667;13.2;51.75;22;7;1.6;
2018-09-12;0;30.6;21.641667;13.1;54.666667;25;6.9;1.354167;
2018-09-13;0;30.2;22.920833;16.6;53.25;33;11.1;2.841667;
2018-09-14;4;24.9;18.141667;16.8;83.708333;46;16.2;2.495833;
2018-09-15;2.4;24;19.416667;17.1;81.375;60;6.4;.904167;
2018-09-16;1;26.8;20.170833;14.9;72.333333;42;6.5;1.195833;
2018-09-17;.8;21.6;17.066667;14.8;86.833333;58;6.3;1.641667;
2018-09-18;.8;22.1;19.466667;14.8;84.916667;69;7;1.695833;
2018-09-19;.8;30.3;23.170833;17.3;68.583333;39;6.3;1.404167;
2018-09-20;1.8;24.9;20.195833;16.9;78.875;59;9.4;1.675;
2018-09-21;.6;29;21.7125;16.4;73.75;37;9.1;1.254167;
2018-09-22;.8;31.2;23.679167;16.7;53.708333;18;5.1;1.008333;
2018-09-23;.6;33.3;25.229167;17.8;46.458333;25;7.8;1.383333;
2018-09-24;.2;35;26.4;17.7;43.5;15;6.9;1.704167;
2018-09-25;.2;34.1;25.041667;16.6;48.416667;23;12;2.216667;
2018-09-26;.2;32;24.854167;19.5;57.208333;32;13.6;2.195833;
2018-09-27;.4;30.6;23.808333;19.8;64.416667;37;7.9;1.420833;
2018-09-28;3.4;27.3;21.841667;18.7;76.833333;48;5.3;1.179167;
2018-09-29;.6;32;22.845833;17.5;71.916667;32;10.5;1.695833;
2018-09-30;2.2;25.5;22.020833;20.1;77.166667;63;8.2;1.291667;
2018-10-01;3.4;27.2;22.591667;19.6;75.083333;54;7.3;2.279167;
2018-10-02;.6;33.4;25.458333;19.3;58.958333;26;7.5;1.675;
2018-10-03;.6;34.4;25.579167;20;55.541667;27;9.6;1.629167;
2018-10-04;1.2;31.1;24.691667;20.7;65.708333;40;7.5;1.466667;
2018-10-05;.4;31.8;22.5125;16.7;68.333333;38;8.8;1.7125;
2018-10-06;.2;28.9;20.195833;14.9;73.041667;46;9.9;1.741667;
2018-10-07;.4;24.7;20.545833;18;77.958333;63;11.2;1.958333;
2018-10-08;8.2;25;21.691667;19.4;81.75;65;6;1.345833;
2018-10-09;4.6;30.8;23.9125;19;74.75;41;7.9;1.766667;
2018-10-10;5.8;28.9;23.204167;18.8;73.791667;45;8.8;1.8;
2018-10-11;3;28;22.591667;20;80.208333;54;6.6;1.270833;
2018-10-12;1;31.6;23.795833;17.8;70.625;42;15.5;1.683333;
2018-10-13;2.8;32.8;26.7875;23.2;58.375;36;8.4;2.429167;
2018-10-14;2.6;29.9;25.195833;21.9;67.833333;49;7.3;.8875;
2018-10-15;.8;27.7;22.3875;18.7;79.666667;59;8.1;1.329167;
2018-10-16;.8;31.5;24.966667;19.6;70;37;6.3;1.15;
2018-10-17;1;25.9;22.475;19.1;77.625;62;10.7;1.725;
2018-10-18;.8;30.7;23.366667;18;72.75;47;14.5;1.829167;
2018-10-19;1;28.1;22.3375;19.4;76.583333;51;9.8;1.841667;
2018-10-20;.8;27.4;20.995833;15.6;64.125;40;8.4;2.133333;
