Nome: CUIABA
Codigo Estacao: A901
Latitude: -15.559295
Longitude: -56.062951
Altitude: 241.56
Situacao: Operante
Data Inicial: 2018-09-01
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-09-01;0;37.9;31.054167;24.4;33.666667;20;8.3;1.5875;
2018-09-02;0;32.2;20.741667;18.9;65;28;10;2.85;
2018-09-03;0;25;17.082609;11.4;60.869565;30;8.9;2.908696;
2018-09-04;0;28.8;20.273913;13.2;52.565217;27;8.7;2.526087;
2018-09-05;0;33.5;23.530435;14.6;46.043478;15;5.6;1.469565;
2018-09-06;0;35.2;null;16.3;38.35;14;5.2;1.165;
2018-09-07;null;38;null;18.9;29.142857;12;6.7;1.528571;
2018-09-08;0;38.7;29.858333;20.1;29.083333;12;7.8;1.7625;
2018-09-09;null;39.9;null;20.7;25.25;11;7.8;1.69;
2018-09-10;0;36.8;null;21.4;34.4;15;4.7;null;
2018-09-11;null;40.5;null;22.9;23.333333;10;7.1;1.2;
2018-09-12;0;39.7;31.15;21.5;25.333333;14;8.2;1.5375;
2018-09-13;0;38.9;31.6625;23.7;32.166667;19;9.4;1.533333;
2018-09-14;0;37.4;30.754167;27.1;45.125;27;9.1;2.379167;
2018-09-15;0;37.6;29.090909;23.3;56.454545;24;6.4;1.109091;
2018-09-16;0;36.8;29.445833;25.4;53.583333;29;11.1;2.225;
2018-09-17;1.8;29.2;null;23;77.375;58;8;null;
2018-09-18;null;34;27.6625;23.4;62.541667;34;5.6;1.166667;
2018-09-19;0;37.3;29.2625;25;53.041667;30;11.3;1.654167;
2018-09-20;2.6;37.5;29.154167;23.4;56.625;28;7.3;1.491667;
2018-09-21;.2;37.7;31.143478;25.2;44.26087;27;8.1;1.573913;
2018-09-22;0;38.3;30.691304;25.5;46.478261;24;9.5;1.182609;
2018-09-23;0;39.8;30.583333;24.2;46.125;21;10.5;1.679167;
2018-09-24;1.6;39.5;28.358333;23.6;57;23;13.9;2.108333;
2018-09-25;.6;35.3;28.308333;23.5;57.208333;31;6.9;1.6375;
2018-09-26;0;39.2;29.295833;24.8;55.875;27;9.6;1.495833;
2018-09-27;3;38.7;30.479167;25.2;52.291667;26;12.5;1.591667;
2018-09-28;59;32.4;25.183333;21.8;77.791667;43;12.8;1.820833;
2018-09-29;1.2;35.5;26.8125;22.3;67.625;37;11.6;1.416667;
2018-09-30;2;32.1;26.0375;22.8;75.375;50;7.1;1.2875;
2018-10-01;0;35.6;28.508333;23.3;62.083333;37;9.5;1.683333;
2018-10-02;0;36.2;28.872727;25.6;60.318182;36;9.7;1.822727;
2018-10-03;.4;36.3;29.629167;24.8;58.708333;32;6.8;1.629167;
2018-10-04;.6;30.5;null;23.3;72.619048;46;9.5;1.985714;
2018-10-05;null;32.5;26.329167;22.9;72.083333;50;6.5;1.683333;
2018-10-06;0;33.4;27.770833;23.9;69.541667;47;6.2;1.204167;
2018-10-07;0;34.8;29.145833;25.1;61.333333;36;9;1.575;
2018-10-08;0;35.6;28.608333;24.7;61;37;11.6;2.291667;
2018-10-09;.8;31.8;27.258333;24.3;68.333333;53;8.9;1.9375;
2018-10-10;0;34.9;28.2375;24.2;64;39;6.5;1.55;
2018-10-11;0;36;28.091667;24.8;68.041667;36;13.9;1.525;
2018-10-12;23.8;36.1;27.320833;22.3;73.291667;38;7.9;1.433333;
2018-10-13;.4;36.2;29.025;24.7;65.916667;35;13.1;1.354167;
2018-10-14;4.4;33.7;27.420833;22.7;72.541667;45;8.4;1.508333;
2018-10-15;0;32.7;26.495833;24.4;79.791667;54;10.9;1.245833;
2018-10-16;4.4;35.4;27.8125;22.5;70.875;36;6.8;1.4375;
2018-10-17;0;33.9;29.033333;24.6;61.5;46;12.4;1.8375;
2018-10-18;.4;36;28.3875;23.6;68.833333;40;12.4;1.429167;
2018-10-19;.2;34.1;27.191667;25.7;72.833333;49;12.8;1.579167;
2018-10-20;5.4;32.2;26.3;23.1;76.086957;50;5.6;1.391304;
2018-10-21;.2;32.6;27.266667;23.8;71.833333;50;8.7;1.35;
2018-10-22;0;27.8;25.508333;24.5;82.25;72;7;1.1375;
2018-10-23;6;33.3;27.0375;22.6;68.25;48;7.5;1.491667;
2018-10-24;0;29.9;26.420833;24.2;78.083333;59;6;1.558333;
2018-10-25;0;33.4;25.704167;23.3;81.125;49;13.5;1.204167;
2018-10-26;19.8;35.7;27.641667;21.4;69;32;5.6;1.129167;
2018-10-27;.2;33.8;27.141667;25.2;72.166667;46;14.3;1.404167;
2018-10-28;1.2;32.5;26.908333;22;73.125;49;5.8;1.345833;
