Nome: TANGARA DA SERRA
Codigo Estacao: A902
Latitude: -14.65
Longitude: -57.43166666
Altitude: 440.01
Situacao: Pane
Data Inicial: 2018-09-01
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-09-01;0;36.7;28.445833;20.6;44.333333;24;10.4;2.3875;
2018-09-02;0;29.1;18.654167;16.2;76.416667;39;15;5.341667;
2018-09-03;0;24.6;15.516667;9.8;68.958333;31;10.5;4.570833;
2018-09-04;0;27.2;19.566667;11.6;53.416667;31;11.1;4.45;
2018-09-05;0;31.7;21.4125;12.1;51.875;21;7.8;2.925;
2018-09-06;0;34.8;24.733333;13.1;37.083333;18;10.3;2.5875;
2018-09-07;0;35.4;26.7375;17.3;35.5;18;8.5;2.525;
2018-09-08;0;37.2;28.758333;18.4;29.75;14;9.7;3.3875;
2018-09-09;0;36.7;29.504167;21.3;27.125;14;9.4;3.279167;
2018-09-10;0;37.7;29.041667;19.4;30.875;14;11;2.25;
2018-09-11;0;37.5;28.491667;18.7;30.541667;12;10;1.879167;
2018-09-12;0;38;29.079167;20.1;33.583333;16;9.1;2.154167;
2018-09-13;0;37;29.925;22.5;40.375;25;14.1;2.1875;
2018-09-14;0;32.5;25.795833;22.8;61.541667;41;13.3;2.520833;
2018-09-15;0;35.8;26.525;19.3;61.75;26;7.2;1.829167;
2018-09-16;0;32.8;25.5625;20.6;67.916667;39;21.6;2.8375;
2018-09-17;8.6;34;24.220833;19.6;75.916667;32;14;2.141667;
2018-09-18;6.6;33.4;25.429167;21;73.333333;40;8.1;2.420833;
2018-09-19;0;35;26.933333;22.2;65.458333;33;9.6;2.525;
2018-09-20;0;34.2;27.045833;21;66.208333;40;9.9;2.375;
2018-09-21;.8;35;27.029167;20.7;61.416667;32;11.1;2.045833;
2018-09-22;.6;36.6;27.008333;21.7;66.875;28;18.3;2.004167;
2018-09-23;14.8;36.4;26.875;20.6;59.166667;30;12.3;2.170833;
2018-09-24;0;36.4;25.966667;21.5;67.791667;30;18.9;2.266667;
2018-09-25;.4;33.6;25.5875;21.4;75.041667;42;7.6;2.179167;
2018-09-26;0;34.7;26.3;22.2;66.5;36;14.8;2.179167;
2018-09-27;0;35.3;26.925;22.2;66.583333;37;8.8;2.220833;
2018-09-28;0;30.5;25.2375;22;73.291667;42;12.2;3.475;
2018-09-29;0;31.2;24.716667;21.9;78.708333;43;9.5;2.116667;
2018-09-30;1;33.1;25.391667;22.1;77.375;41;13.6;2.4125;
2018-10-01;18.4;33.2;25.633333;21.4;77.666667;45;11.1;3.179167;
2018-10-02;2.2;33.8;26.054167;22.3;75.166667;40;10;2.041667;
2018-10-03;5.8;34.9;26.6875;21.7;71.833333;34;11.2;2.3375;
2018-10-04;7.8;26.5;23.191667;20.6;85.208333;68;11.4;3.129167;
2018-10-05;0;29.2;24.045833;20.8;80.125;58;8.2;3.225;
2018-10-06;0;32.6;25.020833;20.9;80.166667;49;7.5;1.8125;
2018-10-07;6.4;33.8;26.295833;22;73.291667;40;11.5;2.654167;
2018-10-08;.6;33.8;25.5;22.5;77.458333;43;15.5;3.479167;
2018-10-09;8.6;30.9;24.375;22.1;81;57;18.3;2.466667;
2018-10-10;23.4;32.9;25.295833;21.8;77.333333;44;9.2;2.383333;
2018-10-11;0;32.3;24.645833;21.6;81.625;52;13.1;1.504167;
2018-10-12;17;33.9;26.6375;21.3;73.083333;40;8.7;2.329167;
2018-10-13;0;34.8;27.570833;22.3;67.375;35;10.1;2.1875;
2018-10-14;0;34.7;26.9125;22.5;72.416667;41;9.4;1.745833;
2018-10-15;2;32.1;25.445833;22.5;80.291667;54;11.9;2.1375;
2018-10-16;4.6;34.2;25.025;20.7;78;43;10.9;2.325;
2018-10-17;0;31.6;26.266667;23.1;76.083333;57;7.5;2.408333;
2018-10-18;0;33.7;25.308333;22.6;80.791667;47;12.1;2.441667;
2018-10-19;.4;33.6;25.516667;22.4;79.458333;42;15.4;1.654167;
2018-10-20;0;29.6;24.145833;22.2;86.125;62;11.7;1.958333;
2018-10-21;19.6;30.8;25.3;21.9;80.375;52;6.1;1.8;
2018-10-22;0;30.4;24.845833;22.5;79.208333;52;10.3;3.008333;
2018-10-23;0;32.5;24.470833;21.6;84.041667;54;9.3;2.6625;
