Nome: CAMPO NOVO DOS PARECIS
Codigo Estacao: A905
Latitude: -13.78583333
Longitude: -57.8386111
Altitude: 525.41
Situacao: Operante
Data Inicial: 2018-09-01
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-09-01;0;35.8;27.1375;19.2;55.458333;29;8.4;1.254167;
2018-09-02;0;27.1;20.116667;19;75.666667;50;12.5;3.6375;
2018-09-03;0;25.5;16.575;10.4;66.75;33;12.5;4.75;
2018-09-04;0;27.7;19.166667;13.1;57.875;31;12.9;3.725;
2018-09-05;0;32.6;21.741667;12.4;53.125;20;9.7;2.225;
2018-09-06;0;35.2;24.9625;15.5;42.75;21;7.6;1.404167;
2018-09-07;0;36.4;26.954167;18.7;41.166667;22;9;1.641667;
2018-09-08;0;36.8;27.891667;18.3;36.833333;16;9.7;1.991667;
2018-09-09;0;37.3;28.416667;19.6;35.416667;20;9.1;2.1125;
2018-09-10;0;36.7;28.258333;19.5;37.166667;20;7.8;1.708333;
2018-09-11;0;37.9;27.833333;18.8;46.375;17;8.1;1.175;
2018-09-12;0;37.1;27.683333;18.3;47.25;25;9.6;1.345833;
2018-09-13;0;35.9;28.533333;21.9;52.958333;29;9.3;1.670833;
2018-09-14;0;31.7;25.241667;21.4;69.208333;53;14.2;1.825;
2018-09-15;0;34.8;24.941667;17.5;70.333333;31;13.2;1.55;
2018-09-16;0;33.4;25.445833;20.9;71.416667;43;13;2.9375;
2018-09-17;0;33.8;23.5875;19.1;79.416667;37;10.4;1.791667;
2018-09-18;26;33.3;23.775;20;84.416667;46;12.1;.975;
2018-09-19;2.8;33.9;24.795833;20.4;80.416667;43;12.3;.9375;
2018-09-20;7.4;33;25.508333;20.5;77.125;51;7.6;1.4125;
2018-09-21;15.4;34.3;25.204167;20.4;75.541667;39;9.2;1.783333;
2018-09-22;0;34.5;26.054167;20.5;70.833333;36;12.7;1.466667;
2018-09-23;.4;35.2;26.954167;20;62.958333;34;12.7;2.066667;
2018-09-24;0;35.7;26.0625;20.3;68.458333;33;13.5;1.879167;
2018-09-25;0;33;24.591667;20.9;80.916667;48;12.1;1.329167;
2018-09-26;6.2;34;24.725;20.7;79.833333;43;8.8;1.045833;
2018-09-27;20.6;33.6;25.533333;20.9;78.291667;45;5.8;1.020833;
2018-09-28;.2;26.1;23.65;21.5;84.916667;74;7.8;1.158333;
2018-09-29;.2;30.4;24.5375;20.9;83.125;55;9.4;1.1375;
2018-09-30;0;32.4;25.604167;21.6;78;43;10.7;1.620833;
2018-10-01;2.4;31.8;24.5;21.2;84.666667;57;10.6;1.454167;
2018-10-02;.4;31.5;24.754167;21.5;84.708333;55;10.1;.975;
2018-10-03;11.4;34;26.3625;21.1;75.875;43;7.4;1.379167;
2018-10-04;8.6;32.5;23.766667;20.3;84.125;43;12.4;1.204167;
2018-10-05;40;30.8;24.579167;19;82.25;56;9.8;2.720833;
2018-10-06;0;32.1;24.625;20.7;82.291667;50;11.5;1.208333;
2018-10-07;.4;33.6;25.579167;20.9;78.75;42;9.4;1.279167;
2018-10-08;0;31.7;24.65;21.7;81.375;52;13.1;2.029167;
2018-10-09;.6;31.1;23.8375;21.3;88.708333;63;12.9;1.216667;
2018-10-10;25.6;31;23.925;20.5;87.416667;59;8.6;1.3875;
2018-10-11;8.4;32.2;24.233333;20.6;87.166667;51;12;1.020833;
2018-10-12;4.6;32.5;25.745833;20.9;80.041667;50;8.5;1.220833;
2018-10-13;.2;34.3;26.379167;21.2;74.708333;39;11.8;1.4375;
2018-10-14;0;32.7;26.45;21.4;74.291667;46;8.3;.95;
2018-10-15;0;34.2;25.895833;22.2;75.916667;41;11.8;1.5625;
2018-10-16;0;34.5;25.883333;20.2;77.958333;43;8.1;1.4375;
2018-10-17;1.2;33.2;25.266667;22.8;83.541667;53;10.9;1.745833;
2018-10-18;38.2;31.9;24.5375;21.5;85.916667;57;13.7;1.45;
2018-10-19;0;32.3;24.4125;21.6;87.458333;55;10.7;1.004167;
2018-10-20;38.8;32.2;24.35;21.4;90.041667;54;8;.920833;
2018-10-21;21.2;30.4;24.766667;21;85.541667;55;8;1.558333;
2018-10-22;18.4;28;23.616667;20.7;92.208333;75;6.9;1.279167;
2018-10-23;1.4;31.3;24.170833;21.7;91.333333;61;9.3;1.654167;
2018-10-24;7.8;31;24.304167;20.9;85.541667;60;7;1.341667;
2018-10-25;.2;32.5;24.6;21.3;87.875;56;10;.670833;
2018-10-26;9.8;33.7;26.070833;20.2;78.833333;43;6.9;1.2125;
2018-10-27;0;35.1;26.358333;21.6;76.708333;39;18.4;2.075;
2018-10-28;38.4;32.8;24.108333;20.1;86.625;52;11.6;1.404167;
2018-10-29;9.6;32.6;25.433333;21.5;82.583333;50;10.4;1.825;
2018-10-30;11.4;32.3;25.3;20.5;81.458333;50;8.5;1.504167;
2018-10-31;0;31.4;25.341667;22.4;84.375;63;7.8;1.45;
2018-11-01;0;33.7;25.216667;21.7;84.875;50;18.1;1.3125;
2018-11-02;1;31.7;25.270833;21.1;83.666667;60;7.1;1.175;
2018-11-03;0;30.6;24.45;22.5;87.458333;62;11.1;1.454167;
2018-11-04;0;29.4;24.179167;21.6;86.541667;61;10;1.3625;
2018-11-05;0;30.4;25.158333;22;83.583333;60;10.6;1.516667;
2018-11-06;0;31.9;24.566667;21.5;87;49;6.3;1.229167;
2018-11-07;16.4;29.5;23.554167;20.8;88.791667;57;10.8;1;
2018-11-08;2.8;30.6;23.395833;21.1;91.375;59;15.5;1.666667;
2018-11-09;24;30.3;24.433333;20.2;87.291667;64;8.9;1.654167;
2018-11-10;0;31.3;24.845833;22.2;87.541667;59;14.3;2.05;
2018-11-11;6.6;31;25.066667;21.1;84.583333;58;9.7;2.454167;
2018-11-12;0;33.6;26.975;21.4;76.833333;50;8.8;1.5625;
2018-11-13;0;33.8;27.170833;22.5;77.208333;49;11.8;1.6875;
2018-11-14;0;33.2;25.166667;21.9;84.375;49;9.4;1.5625;
2018-11-15;90.4;32.1;23.970833;21;91.541667;54;10.6;.75;
2018-11-16;8.2;30.6;25.054167;21.8;86.833333;62;6;1.333333;
2018-11-17;6.4;29.3;24.4125;21.9;91.125;72;9;1.416667;
2018-11-18;5.2;31.3;25.591667;22.3;86.041667;61;9.7;1.845833;
2018-11-19;2.8;29;24.004167;21.6;90.791667;72;7.5;1.270833;
2018-11-20;0;31;23.441667;21.5;92.291667;61;11.2;1.4;
2018-11-21;54;32;24.9625;21.6;86.75;56;8;1.170833;
2018-11-22;35.2;28.9;23.716667;20.6;90.791667;70;11.3;1.625;
2018-11-23;3.4;26.4;22.670833;21.8;95.375;86;8.8;1.916667;
2018-11-24;37;29.3;22.991667;21;93.583333;69;7.2;1.558333;
2018-11-25;10.4;29.5;24.3125;21.7;91;69;10.7;1.491667;
2018-11-26;3.8;30.2;24.5875;21.5;89.166667;64;8.6;1.2625;
2018-11-27;2;30.3;24.7875;21.7;89.208333;66;5.9;1.1875;
2018-11-28;0;29.4;24.433333;22.2;88.75;67;7.1;1.866667;
2018-11-29;3.6;30;24.404167;22.3;90.291667;65;7.1;1.070833;
2018-11-30;65;27.4;22.4375;20.9;95.041667;76;14.9;1.945833;
2018-12-01;22.8;24;22.529167;21.3;96.166667;90;9.5;2.4125;
