Nome: RONDONOPOLIS
Codigo Estacao: A907
Latitude: -16.4625
Longitude: -54.58027777
Altitude: 289.88
Situacao: Operante
Data Inicial: 2018-09-01
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-09-01;0;38.7;28.75;19.9;47.708333;18;8.3;1.308333;
2018-09-02;0;31;20.708333;18.6;66.916667;36;10.4;3.045833;
2018-09-03;0;25.3;16.758333;11.2;63.625;31;9.6;2.85;
2018-09-04;0;31.5;19.775;10.4;56.625;22;10.1;1.9375;
2018-09-05;0;32.8;22.545833;12.2;48.25;15;6;1.525;
2018-09-06;0;35;23.745833;12.3;37.416667;11;7.3;1.304167;
2018-09-07;0;38.8;25.595833;13.9;36.875;12;7.5;1.0375;
2018-09-08;0;38.9;27.666667;16.4;33.958333;11;7.8;1.3;
2018-09-09;0;39.5;28.916667;17.4;29;11;7.6;1.7375;
2018-09-10;0;38.8;28.004167;15.9;33.791667;10;7.8;1.35;
2018-09-11;0;39.7;28.004167;18.1;30.5;10;6.3;1.145833;
2018-09-12;0;40.7;29.129167;18.6;30.625;11;7.9;1.433333;
2018-09-13;0;40.3;30.783333;20.9;34.833333;15;9.2;1.85;
2018-09-14;20;31.3;24.595833;19.4;71.166667;28;10;2.504167;
2018-09-15;.6;35;26.3375;20.2;72.916667;37;4.6;.879167;
2018-09-16;0;34.6;26.3875;20.9;66.5;37;10.1;1.941667;
2018-09-17;5.2;31.8;24.529167;21.1;80.958333;53;10.3;1.079167;
2018-09-18;.4;32.4;26.220833;21.4;71.25;43;5.4;1.05;
