Nome: ALTO ARAGUAIA
Codigo Estacao: A909
Latitude: -17.33944444
Longitude: -53.22444443
Altitude: 753.28
Situacao: Operante
Data Inicial: 2018-09-01
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-09-01;null;34.4;26.475;18.2;36.666667;null;null;null;
2018-09-02;null;28.4;20.670833;16.2;59.125;null;null;null;
2018-09-03;null;23;15.304167;10.7;66.791667;null;null;null;
2018-09-04;null;28.5;18.045833;9.4;51.291667;null;null;null;
2018-09-05;null;29.6;19.55;9.8;43.083333;null;null;null;
2018-09-06;null;32.6;21.633333;12.3;32.041667;null;null;null;
2018-09-07;null;35.3;24.333333;13.8;27.208333;null;null;null;
2018-09-08;null;35.4;25.9;13.3;25.791667;null;null;null;
2018-09-09;null;36.3;26.408333;16;23.958333;null;null;null;
2018-09-10;null;35.5;25.733333;15.9;23.375;null;null;null;
2018-09-11;null;35.6;26.329167;13.8;26.166667;null;null;null;
2018-09-12;null;35.9;27.7;16.9;23.25;null;null;null;
2018-09-13;null;36.3;27.733333;18.7;26.208333;null;null;null;
2018-09-14;null;29.6;22.425;20;68.791667;null;null;null;
2018-09-15;null;31.8;23.4125;18.9;74.041667;null;null;null;
2018-09-16;null;32.5;22.704167;18.6;76.166667;null;null;null;
2018-09-17;null;27.6;21.308333;17.3;83.916667;null;null;null;
2018-09-18;null;25.5;21.658333;18.6;82.541667;null;null;null;
2018-09-19;null;32.2;22.533333;20;74.791667;null;null;null;
2018-09-20;null;31.2;21.9875;19.2;77.291667;null;null;null;
2018-09-21;null;32.7;23.275;16.9;69.041667;null;null;null;
2018-09-22;null;33.6;25.266667;19.2;57.916667;null;null;null;
2018-09-23;null;36;27.125;19.3;49.791667;null;null;null;
2018-09-24;null;36.9;27.925;19.6;42.666667;null;null;null;
2018-09-25;null;30.7;24.525;21;65.458333;null;null;null;
2018-09-26;null;35.2;25.704167;19.2;61.291667;null;null;null;
2018-09-27;null;33.4;25.466667;21.1;62.041667;null;null;null;
2018-09-28;null;32.4;24.8875;19.9;66.625;null;null;null;
2018-09-29;null;31.9;24.633333;18.9;67.208333;null;null;null;
2018-09-30;null;27.6;21.754167;19.7;83.083333;null;null;null;
2018-10-01;null;31.1;23.516667;19.3;74.833333;null;null;null;
2018-10-02;null;31;24.85;19.8;68.125;null;null;null;
2018-10-03;null;33.1;26.05;21;65.625;null;null;null;
2018-10-04;null;29.9;23.720833;20.2;74.416667;null;null;null;
2018-10-05;null;32.3;22.979167;19.9;81.041667;null;null;null;
2018-10-06;null;30.9;24.104167;20;73.166667;null;null;null;
2018-10-07;null;29.3;22.941667;19.7;80.25;null;null;null;
2018-10-08;null;31.7;23.991667;20.2;77.416667;null;null;null;
2018-10-09;null;30.8;24.4375;20.9;74.125;null;null;null;
2018-10-10;null;31.4;24.266667;19;74.708333;null;null;null;
2018-10-11;null;31.3;24.304167;21.1;77.458333;null;null;null;
2018-10-12;null;32.9;25.375;20.4;71.375;null;null;null;
2018-10-13;null;32.2;24.3875;20.2;76.666667;null;null;null;
2018-10-14;null;32.1;24.258333;19.7;76;null;null;null;
2018-10-15;null;33.1;25.066667;20.9;75.041667;null;null;null;
2018-10-16;null;33.3;24.904167;19.8;71.125;null;null;null;
2018-10-17;null;31;24.716667;20.9;73.291667;null;null;null;
2018-10-18;null;33.1;26.3875;21;66.166667;null;null;null;
