Nome: COMODORO
Codigo Estacao: A913
Latitude: -13.70805555
Longitude: -59.7625
Altitude: 576.87
Situacao: Pane
Data Inicial: 2018-09-01
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-09-01;0;33.1;23.279167;16.5;77.708333;37;8.4;.825;
2018-09-02;0;25;18.195833;17.9;84.375;60;10.3;2.345833;
2018-09-03;0;26.7;16.5;9.5;63.416667;20;10.2;2.520833;
2018-09-04;0;27.6;17.625;8;61.625;32;12.4;2.6;
2018-09-05;0;31.4;18.020833;6.9;61;16;8.4;1.208333;
2018-09-06;0;33.7;19.804167;8.2;63.708333;20;10.3;1.1625;
2018-09-07;0;34.2;22.108333;12.3;64.291667;25;9.3;1.183333;
2018-09-08;0;35.7;23.6375;13.4;61.791667;19;7.9;.854167;
2018-09-09;0;36.3;24.45;14.5;58.25;16;8.9;1.075;
2018-09-10;0;36.5;23.566667;13.2;60.708333;17;7.5;.845833;
2018-09-11;3.8;34.6;24.4375;16.4;70.708333;29;7.3;.970833;
2018-09-12;0;35;23.8125;18.3;73.083333;32;12.8;1.85;
2018-09-13;2.2;33.3;25.291667;18.6;67.041667;38;9;1.958333;
2018-09-14;0;32.1;22.5;17.2;78.208333;45;13.8;1.55;
2018-09-15;0;32.3;23.2875;17.7;75.625;45;14.5;1.975;
2018-09-16;4;28.9;22.220833;16.7;82.041667;56;9.8;1.654167;
2018-09-17;0;33.6;24.466667;19;71.375;31;9.6;1.6875;
2018-09-18;0;32.4;23.283333;18.6;77.875;42;10;1.220833;
2018-09-19;2.4;33.5;23.65;17.8;77;41;13;1.5375;
2018-09-20;0;33.1;25.333333;17.9;68.416667;38;8.9;1.816667;
2018-09-21;0;33.3;24.8375;20.6;72.416667;37;7.5;1.495833;
2018-09-22;6.8;33.8;24.320833;19.8;74.541667;31;10.4;1.270833;
2018-09-23;.8;34.2;24;19.1;73.541667;33;11.3;1.641667;
2018-09-24;.4;34;24.804167;20.9;74.708333;38;11;1.55;
2018-09-25;1;33.8;24.616667;19.6;72.75;39;8.8;1.5625;
2018-09-26;0;34;24.045833;19;74.25;37;14.6;1.708333;
2018-09-27;.6;31.9;22.579167;18.5;84.416667;42;14.9;.616667;
2018-09-28;2.6;32.3;22.541667;20.3;86.333333;40;9.5;.754167;
2018-09-29;95.8;30.1;23.079167;19.2;82.583333;54;12.9;1.608333;
2018-09-30;.2;32.5;23.454167;18.6;80.958333;45;14.8;1.5125;
2018-10-01;4;33;25.133333;18.6;73.541667;44;10.4;1.4;
2018-10-02;0;31.6;24.0125;20.8;79.75;49;11.5;1.441667;
2018-10-03;3;31.4;24.0375;19.5;79.333333;48;7.6;1.179167;
2018-10-04;1.8;28.6;22.4375;18.9;87.541667;63;16.8;1.0125;
2018-10-05;59.8;30.2;23.6625;18.6;79.458333;52;7.1;1.741667;
2018-10-06;0;32.1;24.425;20.6;78.458333;46;7.7;.8625;
2018-10-07;0;31.8;23.458333;19.3;83.125;49;8.9;.875;
