Nome: SAO FELIX DO ARAGUAIA
Codigo Estacao: A921
Latitude: -11.61888888
Longitude: -50.72777777
Altitude: 201.37
Situacao: Operante
Data Inicial: 2018-09-01
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-09-01;null;36.8;null;32.3;null;19;8.9;null;
2018-09-02;null;37;null;31.7;null;18;8.2;null;
2018-09-03;null;37.7;null;30.3;null;16;5.6;null;
2018-09-04;null;34.8;null;34.1;null;22;7.4;null;
2018-09-05;null;36.7;null;32.2;null;17;10.5;null;
2018-09-06;null;38.5;null;31.3;null;15;9.6;null;
2018-09-07;null;36.5;null;30.8;null;30;8.1;null;
2018-09-08;null;37.9;null;30.6;null;21;10.6;null;
2018-09-09;null;37.9;null;29.1;null;14;10.7;null;
2018-09-10;null;37.5;null;25.8;null;16;9.6;null;
2018-09-11;null;38.6;null;27.1;null;14;21.8;null;
2018-09-12;null;38.7;null;26.8;null;22;7.9;null;
2018-09-13;null;35.9;null;33.4;null;31;9.2;null;
2018-09-14;null;36.7;null;27.7;null;25;8.5;null;
2018-09-15;null;33.3;null;28.7;null;37;12.4;null;
2018-09-16;null;38.3;null;31.4;null;26;7.3;null;
2018-09-17;null;37.4;null;35.6;null;30;16.8;null;
2018-09-18;null;37.8;null;28.7;null;29;7.5;null;
2018-09-19;null;37.8;null;30.4;null;27;7.4;null;
2018-09-20;null;35.5;null;26;null;33;13.4;null;
2018-09-21;null;37.9;null;27.8;null;24;7.5;null;
2018-09-22;null;38.9;null;28.7;null;22;5.3;null;
2018-09-23;null;null;null;32.5;null;null;null;null;
2018-09-24;null;null;null;null;null;null;null;null;
2018-09-25;null;36.5;null;null;null;31;7;null;
2018-09-26;null;36.8;null;32.1;null;33;6.9;null;
2018-09-27;null;37.5;null;27.1;null;32;6.8;null;
2018-09-28;null;37.9;null;27.5;null;29;7.3;null;
2018-09-29;null;30.1;null;26.4;null;57;4.5;null;
2018-09-30;null;37.6;null;null;null;33;10.4;null;
2018-10-01;null;null;null;33.3;null;null;null;null;
2018-10-02;null;null;null;null;null;null;null;null;
2018-10-03;null;36.8;null;null;null;32;10.9;null;
2018-10-04;null;31.6;null;33.6;null;49;10.4;null;
2018-10-05;null;35.5;null;28;null;34;6.6;null;
2018-10-06;null;36;null;30;null;36;5.5;null;
2018-10-07;null;31.5;null;25.3;null;53;6.7;null;
