Nome: PRIMAVERA DO LESTE
Codigo Estacao: A923
Latitude: -15.57999999
Longitude: -54.3811111
Altitude: 680
Situacao: Pane
Data Inicial: 2018-09-01
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-09-01;0;36.2;28.170833;21.2;null;null;10.2;3.120833;
2018-09-02;0;28.6;20.875;17.8;null;null;15.6;6.329167;
2018-09-03;0;22.7;14.379167;9.8;null;null;12.2;6.375;
2018-09-04;0;26.8;17.266667;8.3;null;null;10.7;4.5375;
2018-09-05;0;31;21.3125;12;null;null;6.9;2.925;
2018-09-06;0;33.6;24.679167;12.7;null;null;8.1;2.2625;
2018-09-07;0;35.5;27.645833;21.6;null;null;8;2.195833;
2018-09-08;0;36.1;28.758333;20.8;null;null;9.9;2.4375;
2018-09-09;0;36.5;28.9875;20.4;null;null;13.7;3.491667;
2018-09-10;0;36.5;28.191667;18.8;null;null;9.2;2.1125;
2018-09-11;0;36.7;29.320833;20.1;null;null;8;1.883333;
2018-09-12;0;37.6;29.929167;23.4;null;null;11.6;2.504167;
2018-09-13;0;36.7;29.916667;21.4;null;null;12.9;3.779167;
2018-09-14;0;34.3;24.5375;19.3;null;null;13;4.529167;
2018-09-15;11.4;33.7;24.5625;19.9;null;null;12;2.404167;
2018-09-16;9.4;32.1;23.3875;20.7;null;null;13.6;2.945833;
2018-09-17;16.6;28.9;22.095833;19.4;null;null;13;2.279167;
2018-09-18;2.2;32.6;23.183333;19.4;null;null;49.4;3.045833;
2018-09-19;1;31.4;22.958333;19.9;null;null;16.4;4.245833;
2018-09-20;25.6;32.9;24.483333;19.4;null;null;10.9;3.354167;
2018-09-21;.2;35.2;26.075;19.7;null;null;8.4;2.575;
2018-09-22;0;34.5;27.370833;21.8;null;null;9.5;1.820833;
2018-09-23;0;35.4;25.554167;20.9;null;null;14.9;2.870833;
2018-09-24;1.2;35.5;26.825;21.1;null;null;12.7;3.045833;
2018-09-25;.4;29.8;24.666667;20.3;null;null;13.2;3.308333;
2018-09-26;0;35.6;26.841667;20.3;null;null;12.8;1.6875;
2018-09-27;0;35.9;27.216667;21.1;null;null;14.1;1.829167;
2018-09-28;0;30.2;24.9375;20.8;null;null;8.4;3.033333;
2018-09-29;5.6;33.9;25.141667;18.7;null;null;13.9;3.254167;
2018-09-30;5.6;30;24.029167;20;null;null;8.3;2.291667;
2018-10-01;0;32.7;24.991667;19.6;null;null;14.1;5.345833;
2018-10-02;0;34.4;25.85;20.3;null;null;13.2;3.4;
2018-10-03;31;32.6;24.845833;20.8;null;null;16.1;3.304167;
2018-10-04;36.8;29;23.4375;20.1;null;null;9.8;3.0625;
2018-10-05;0;31.7;22.845833;19.9;null;null;16.9;3.425;
2018-10-06;4.6;31.9;24.633333;20.7;null;null;9;1.975;
2018-10-07;2.6;32.5;24.041667;21;null;null;12.9;2.6;
2018-10-08;.2;30.8;24.441667;21.1;null;null;13.9;4.958333;
2018-10-09;0;32.2;25.329167;21.1;null;null;12.4;4.0625;
2018-10-10;0;33.8;25.195833;20.9;null;null;12.9;2.675;
2018-10-11;0;35.1;26.170833;21.1;null;null;9;2.65;
2018-10-12;5.6;32.9;24.65;20.5;null;null;15.8;2.741667;
2018-10-13;0;30.7;25.325;21.1;null;null;15.7;2.154167;
2018-10-14;0;33;25.966667;20.8;null;null;16.1;1.858333;
2018-10-15;0;32.5;24.620833;20.9;null;null;13.9;2.020833;
2018-10-16;0;33.4;24.829167;20.9;null;null;15.5;1.9;
2018-10-17;61.6;32.6;24.316667;20.6;null;null;11.2;3.975;
2018-10-18;21.6;33.1;25.654167;21.1;null;null;12;2.3;
2018-10-19;.8;31.1;24.75;22.1;null;null;10.5;2.470833;
2018-10-20;7.6;31.3;22.8625;19.9;null;null;18.4;2.429167;
2018-10-21;18.8;28.1;22.645833;20.3;null;null;15.8;1.775;
2018-10-22;27;30.8;22.966667;21.2;null;null;11.9;3.558333;
2018-10-23;28.6;32.1;24.508333;20.7;null;null;11.1;3.429167;
2018-10-24;3;32.9;24.041667;21.6;null;null;13.1;3.420833;
2018-10-25;43.6;29;22.183333;19.9;null;null;15.8;1.458333;
2018-10-26;4.2;32.7;25.6875;20;null;null;6.1;1.5125;
2018-10-27;0;31.1;25.641667;21.7;null;null;9.7;2.770833;
2018-10-28;0;30.8;24.1875;20.3;null;null;8.8;2.795833;
2018-10-29;0;32.2;25.283333;21.5;null;null;10;2.570833;
2018-10-30;0;34.5;25.570833;21.9;null;null;11;1.916667;
