Nome: ALTA FLORESTA
Codigo Estacao: A924
Latitude: -10.07722221
Longitude: -56.17916666
Altitude: 291.85
Situacao: Pane
Data Inicial: 2018-09-01
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-09-01;0;36.7;25.579167;17;66.125;18;8.3;1.1375;
2018-09-02;0;37.3;24.716667;15.1;63.041667;19;7.6;1.2625;
2018-09-03;0;32.3;24.295833;16.8;60.958333;34;9;2.745833;
2018-09-04;0;32.3;23.354167;16.2;51.083333;24;9.4;1.970833;
2018-09-05;0;35.1;23.595833;14.3;57.375;21;9;1.970833;
2018-09-06;0;35.6;23.891667;15;65.875;23;9.6;1.104167;
2018-09-07;0;37.3;25.495833;16.4;64.875;22;7.5;1.1625;
2018-09-08;0;36.1;25.479167;17.1;69.625;31;8.4;1.316667;
2018-09-09;0;37;27.591667;19;63.583333;21;8.4;1.191667;
2018-09-10;0;34.9;26.704167;18.8;69;26;6.5;1.254167;
2018-09-11;0;35.7;26.395833;19.2;71.166667;31;5.5;.833333;
2018-09-12;0;36.2;26.7;20.8;71.666667;31;7.3;1.258333;
2018-09-13;0;36;27.204167;20.4;68.916667;35;6.9;1.1125;
2018-09-14;0;34.3;25.891667;19.9;74.625;42;5.9;1.079167;
2018-09-15;0;33.1;24.945833;20.5;79.75;47;11.5;1.354167;
2018-09-16;3;32.9;25.008333;20.5;78.666667;50;7.4;1.2;
2018-09-17;0;32.8;24.845833;20;78.458333;46;10;1.179167;
2018-09-18;4.4;35.4;26.729167;20.9;72.208333;39;6.2;1.225;
2018-09-19;0;36.4;26.025;19.4;72.75;30;10.9;1.070833;
2018-09-20;.6;36.2;26.858333;21.5;72.291667;35;8.5;1.820833;
2018-09-21;20.6;34.7;25.420833;21.1;80.041667;38;13.4;1.458333;
2018-09-22;.2;35.3;26.070833;21.3;77.333333;39;8.4;1.166667;
2018-09-23;.4;35.1;25.654167;20.7;77.583333;42;17.8;1.583333;
2018-09-24;8.2;32.6;25.004167;20.9;79.75;47;9.3;1.554167;
2018-09-25;.2;34;25.891667;20.4;76;45;7.4;1.3125;
2018-09-26;0;35;27.066667;22.2;67.041667;30;7.8;1.404167;
2018-09-27;0;32.1;25.958333;22.2;79.208333;49;6.1;1.316667;
2018-09-28;3.4;29.8;24.545833;21.4;84.958333;63;8.8;1.3875;
2018-09-29;.8;34.9;27.145833;21.8;74.166667;39;6.8;1.1875;
2018-09-30;0;35;27.033333;21.2;75.25;39;7.9;1.2625;
2018-10-01;24.8;29.5;24.583333;22.2;85.333333;60;9.1;2.104167;
2018-10-02;.6;32.7;25.533333;22.3;81.041667;46;5.6;1.183333;
2018-10-03;1.6;32.6;25.816667;21;78.958333;46;6.1;1.4875;
2018-10-04;1.8;34.1;25.7;19.9;76.958333;39;8.4;1.0625;
2018-10-05;0;34.7;26.5125;21.8;74.916667;38;8.2;1.883333;
2018-10-06;9.2;32.2;25.4375;22.3;84;56;10.1;1.325;
2018-10-07;.6;31.6;25.175;22;82.375;50;5.4;1.166667;
2018-10-08;0;33.5;26.308333;20.7;76.541667;43;8;1.483333;
2018-10-09;.2;32.3;25.5875;22.7;84;54;11.6;1.05;
2018-10-10;.2;34.1;26.95;21.9;77.958333;47;6.8;1.154167;
2018-10-11;7;31.5;25.508333;21.4;84.666667;56;8.6;1.091667;
2018-10-12;1.2;31.4;26;21.2;85.875;58;4.9;1.0625;
2018-10-13;.2;31.3;24.8125;21.5;83.958333;48;7.8;1.216667;
2018-10-14;0;34.2;25.333333;20.6;82.666667;42;15.9;1.104167;
2018-10-15;5;34.7;26.179167;21.5;80.083333;41;9.3;1.283333;
2018-10-16;0;33.4;26.820833;22;76.166667;48;7.2;1.504167;
2018-10-17;0;34.6;27.316667;22.2;73.166667;40;7;1.695833;
2018-10-18;0;34.1;26.566667;22.7;78;45;7;1.1875;
2018-10-19;10.2;32.8;26.095833;21;79.375;52;10.5;1.35;
2018-10-20;25.4;30;24.779167;21.5;85.208333;63;6.9;1.191667;
2018-10-21;.2;32.9;26.55;22.2;79.166667;53;5.1;.945833;
2018-10-22;0;33.2;25.483333;23.1;83.458333;48;12.3;1.208333;
2018-10-23;13.8;34.2;25.6375;21.9;81.625;47;9.8;1.129167;
2018-10-24;0;34.4;26.508333;21.7;78.75;46;7.4;1.025;
2018-10-25;.8;33.7;26.391667;22.4;79.916667;50;11.3;1.091667;
2018-10-26;0;35;26.9;20.8;77.208333;42;7.5;1.2625;
2018-10-27;21.2;32.4;24.004167;20.8;88.833333;58;12.4;1.6;
2018-10-28;6.6;32.7;25.0375;20.3;82.666667;45;6;1.404167;
2018-10-29;0;34.5;26.441667;21.8;79.833333;46;5.6;.983333;
2018-10-30;0;33.9;26.741667;22.6;80.458333;51;8.1;1.066667;
2018-10-31;.2;32;25.5625;21.8;81.25;51;7.5;1.725;
