Nome: NOVA MARINGA
Codigo Estacao: A928
Latitude: -13.0386111
Longitude: -57.09222221
Altitude: 334.36
Situacao: Pane
Data Inicial: 2018-09-01
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-09-01;0;35.9;26.15;17.5;55.333333;24;5.8;.029167;
2018-09-02;0;30.3;22.608333;16.9;68.083333;48;12.4;1.325;
2018-09-03;0;27.5;18.9125;13.4;60.25;28;10;1.0125;
2018-09-04;0;30;20.520833;11.1;51.333333;25;10.6;.5125;
2018-09-05;0;33.7;21.333333;10;51.75;18;7.5;.054167;
2018-09-06;0;35.4;23.254167;12.5;50.666667;16;7.5;.033333;
2018-09-07;0;36.9;26.070833;16.3;44.5;17;7.5;.170833;
2018-09-08;0;37;27.516667;18.1;39.75;16;10.4;.8125;
2018-09-09;0;37.4;26.779167;16.3;47.875;22;8.9;.0875;
2018-09-10;0;36.2;26.833333;18.7;51.208333;16;6.6;.091667;
2018-09-11;0;36.8;26.5125;17.9;54.5;19;5.9;.008333;
2018-09-12;0;37.8;27.004167;17.9;52.125;16;8.2;.145833;
2018-09-13;0;34.6;26.933333;19.9;58.875;37;7.7;.25;
2018-09-14;0;31.5;26.55;22.4;62.916667;43;9.8;.725;
2018-09-15;0;33.1;25.591667;19.3;67.833333;41;5.7;.05;
2018-09-16;0;33.5;24.170833;20.9;78.458333;39;13.2;.6875;
2018-09-17;5.4;33.1;24.795833;19.9;74.666667;35;10.3;.004167;
2018-09-18;0;35.2;26.941667;20.1;66.75;33;12.2;.1625;
2018-09-19;0;35.9;27.070833;21.5;66.541667;28;10.1;.5;
2018-09-20;.2;34.7;26.770833;21.9;67.125;41;9.8;.225;
2018-09-21;5.8;34.7;26.758333;21.6;71.541667;42;4.7;.0125;
2018-09-22;2;35.3;25.625;21.4;75.041667;36;17.3;.1625;
2018-09-23;48.2;35;26.4375;20.6;69.083333;33;8.1;.016667;
2018-09-24;0;30.1;25.5375;20.1;65.25;47;16.1;1.6875;
2018-09-25;0;35.2;26.675;20.1;66.625;35;5.1;.033333;
2018-09-26;0;35.8;26.766667;21.2;70.833333;35;8.7;.108333;
2018-09-27;.4;35.6;27.5;21.8;65.791667;34;8.1;.05;
2018-09-28;14.8;28.3;25.033333;19.6;79.875;61;16.9;.191667;
2018-09-29;1;31.9;26.216667;22.3;77.541667;51;7.5;.104167;
2018-09-30;0;33;26.158333;21.9;77.416667;45;7.1;.016667;
2018-10-01;2.2;31.9;27.0625;23.2;72.833333;50;9.4;.691667;
2018-10-02;1.2;32.8;25.970833;22.6;79.083333;49;10.2;0;
2018-10-03;.2;34.3;27.041667;21.9;71.708333;39;6.6;.016667;
2018-10-04;.4;33;24.55;21.8;81.458333;48;16.9;.2375;
2018-10-05;46.4;32.5;25.983333;21.1;76.875;48;7;.033333;
2018-10-06;0;33.5;26.116667;22;75.5;47;7.7;.020833;
2018-10-07;.2;32.1;26.420833;22.7;75.541667;46;7.6;.004167;
2018-10-08;35.2;33;26.254167;22;75.583333;43;12.6;.166667;
2018-10-09;0;33;26.3;22.8;75.875;40;6.3;.008333;
2018-10-10;0;34.1;26.191667;22.5;75.583333;38;6.8;.0125;
2018-10-11;0;31.8;25.154167;22;82.208333;52;8;.1375;
2018-10-12;31.8;32.2;26.370833;22;75.916667;48;5.4;.004167;
2018-10-13;0;34.9;26.825;20.9;73.791667;38;10.5;.025;
2018-10-14;0;34.3;27.970833;22.5;69.708333;40;9.4;0;
2018-10-15;.6;35.3;27.229167;23;71.166667;34;9.8;.245833;
2018-10-16;0;34.3;26.408333;21.6;73.666667;39;3.6;0;
2018-10-17;0;34.5;26.3875;23.5;75.75;42;14.2;.133333;
2018-10-18;3.2;32;26.0875;21.8;79.833333;52;9.4;.070833;
2018-10-19;.6;33.5;26.366667;23.4;80.875;45;9.3;.141667;
2018-10-20;7;32.3;25.245833;22.4;84.125;51;7.5;.041667;
2018-10-21;44.8;31.9;24.470833;21.8;87.125;59;7.5;0;
2018-10-22;68.8;27.8;23.458333;21.6;89.958333;73;9;.029167;
2018-10-23;1.4;33.4;26.583333;21.8;77.25;41;7.9;.125;
2018-10-24;5.2;29.6;25.1875;22.1;82.083333;63;8.7;.004167;
2018-10-25;.2;32.6;24.5375;22.4;86.333333;51;14;.229167;
2018-10-26;32.4;34.6;26.4;20.3;74;35;3.8;0;
2018-10-27;0;34.8;27.558333;22.3;71.666667;39;8.9;.079167;
2018-10-28;1.6;34.6;26.454167;21.9;75.375;45;13.5;.108333;
2018-10-29;0;35.2;26.925;22.7;72.083333;36;17.1;.304167;
2018-10-30;55.6;33.6;25.008333;20.8;82.833333;45;9.1;.020833;
2018-10-31;0;32.6;26.183333;23;76.708333;44;8.6;.054167;
2018-11-01;0;34.8;27.75;22.4;69.583333;35;9.4;.008333;
2018-11-02;5.2;33.3;26.254167;21.9;77.583333;48;9.1;.070833;
2018-11-03;4;32.6;26.616667;23.4;76.916667;48;7.9;.029167;
2018-11-04;1;31.2;25.404167;23.2;82.958333;55;6.6;0;
2018-11-05;0;30.7;25.745833;22.6;79.125;56;9;.054167;
2018-11-06;.2;31.5;25.65;22.8;81.708333;51;4.2;.004167;
2018-11-07;28.6;30.2;24.941667;22.5;84.416667;62;9.9;.004167;
2018-11-08;0;29.5;24.254167;22.5;87;63;13.9;.183333;
2018-11-09;2.2;31.6;25.070833;21.8;83.333333;51;8.4;.279167;
2018-11-10;6.4;32.4;25.191667;23;83.416667;48;11.2;.325;
2018-11-11;23.6;33.3;25.591667;20.7;78.666667;44;6.1;0;
2018-11-12;.2;34.9;27.525;21.8;73.75;42;7.9;.108333;
2018-11-13;0;32.7;27.079167;22.6;77.541667;53;9.3;.266667;
2018-11-14;0;29.9;24.954167;23.2;84.125;67;11.2;.204167;
2018-11-15;5.6;33.5;25.6375;21.3;80.708333;45;11.2;.3625;
2018-11-16;39.6;31.9;25.875;22;81.083333;53;9.1;0;
2018-11-17;.4;28.7;25.325;23.5;85.333333;66;7.6;.183333;
2018-11-18;.2;33.1;26.870833;21.8;75.708333;47;8.8;.491667;
2018-11-19;1.2;29.1;25.079167;23.3;83.958333;66;9.6;.395833;
2018-11-20;0;33.2;26.995833;22.9;74.583333;47;6.6;0;
2018-11-21;1.2;31.4;25.708333;23.4;81.583333;59;12.4;.095833;
2018-11-22;5.2;30.7;24.716667;22.2;85.75;58;6.9;.133333;
2018-11-23;37;28.9;23.908333;22.4;87.833333;68;14.3;.366667;
2018-11-24;2;31.7;24.779167;21.8;83.458333;55;7.6;.016667;
2018-11-25;45;29.8;24.516667;21.7;86.625;64;7.7;.254167;
2018-11-26;22.4;30.7;24.965217;22.5;86.521739;61;6.8;.052174;
2018-11-27;7.6;25.9;24.058333;22.5;90.833333;80;5.9;0;
2018-11-28;null;30.5;null;22.2;86.714286;61;5.4;.014286;
2018-11-29;7.4;29.7;24.783333;22.5;88.041667;64;8.1;.008333;
2018-11-30;22;30.2;24.1625;22;87.25;60;13.8;.029167;
2018-12-01;39.6;25.8;23.175;21.7;92.125;81;9.3;.108333;
2018-12-02;24;28.8;24.026087;22.2;88.043478;68;9;.030435;
2018-12-03;38.8;27.8;24.045833;21.5;84.5;63;2;0;
2018-12-04;.2;29.3;24.1125;22.3;85.958333;63;4.4;0;
2018-12-05;12.8;30.8;25.120833;22.4;82.958333;56;5.5;.054167;
2018-12-06;0;32.4;25.883333;22.4;82.041667;54;9.9;.079167;
2018-12-07;10.8;32.9;25.720833;21.9;82.916667;53;7.1;.004167;
2018-12-08;6;30.1;24.945833;21.2;83.916667;65;11.5;.304167;
2018-12-09;5.4;31.9;26.541667;23.5;81.625;54;3.9;0;
2018-12-10;2.2;31.6;25.75;22.4;82.791667;56;8.3;.1875;
2018-12-11;3.4;32.2;26.495833;22.5;77.291667;49;7.9;.283333;
2018-12-12;0;32.1;26.066667;21.4;79.416667;52;5.6;.008333;
2018-12-13;15.2;31.9;24.958333;20.6;79.166667;50;11.4;.154167;
2018-12-14;1.6;31.2;25.125;21.4;80.291667;51;9.7;.008333;
2018-12-15;0;30.5;24.625;22.1;83.5;59;14.8;.345833;
2018-12-16;17.4;33.2;26.179167;20.3;75.791667;43;13.1;.179167;
2018-12-17;.2;33;25.991667;21.2;72.666667;41;16.8;.316667;
2018-12-18;1.6;30.9;24.379167;19.9;78.583333;47;12.9;0;
2018-12-19;0;31.3;26.2;21.8;75.333333;48;3.1;0;
2018-12-20;0;33;25.995833;21.9;78.125;46;3.9;.004167;
2018-12-21;0;33.4;26.425;21.6;74.375;46;4.8;.0125;
2018-12-22;0;34.3;27.266667;21.8;70.791667;39;5.1;0;
2018-12-23;0;33.1;26.4625;22.3;72.291667;39;8.3;.020833;
2018-12-24;0;31.9;25.8;21.6;71.708333;37;5.7;0;
2018-12-25;0;33.2;26.170833;21.8;73.5;44;7.7;.020833;
2018-12-26;6.8;31.7;25.6125;22.6;81.916667;53;8.2;.004167;
2018-12-27;1;32.3;25.825;22.8;81.458333;49;9.6;.104167;
2018-12-28;3.2;28.5;23.8125;23.2;90.333333;69;7.4;.058333;
2018-12-29;10.8;28.5;23.708333;21.8;87.291667;64;8.9;.029167;
2018-12-30;12.2;27.1;23.2125;21.4;90.958333;73;5.4;0;
2018-12-31;5.6;27.3;23.1375;22.1;92.125;74;7.2;.008333;
2019-01-01;22.6;27.1;23.690909;21.8;87.772727;69;6.8;.004545;
2019-01-02;2.2;31.4;24.9375;21.4;83.625;53;6.1;.016667;
2019-01-03;0;32.9;25.841667;20.6;78.333333;48;5.5;.025;
2019-01-04;9.8;30.9;24.708333;21.2;84.5;57;11.1;.008333;
2019-01-05;6.2;31;25.5875;21;83.583333;58;5.8;.008333;
2019-01-06;.8;31.9;25.316667;22.7;83.708333;56;8.8;.104167;
2019-01-07;30.6;26.8;23.8875;22.4;90.333333;78;6.7;.041667;
2019-01-08;5.2;30.7;25.533333;22.4;80.833333;55;8.1;.045833;
2019-01-09;.4;32.2;24.5875;21.3;83.708333;49;15.2;.233333;
2019-01-10;.6;29.5;24.641667;21.1;81.958333;58;9.9;.129167;
2019-01-11;4.2;30;25.1;21.6;77.875;57;5.4;.079167;
