Nome: GUIRATINGA
Codigo Estacao: A932
Latitude: -16.34166666
Longitude: -53.76611111
Altitude: 525.43
Situacao: Operante
Data Inicial: 2018-09-01
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-09-01;0;38.4;28.983333;20.2;36.625;16;8.4;.0125;
2018-09-02;0;31.1;22.895833;20.3;56.416667;27;12.6;.65;
2018-09-03;0;26.3;17.820833;12.4;63.166667;29;7.6;.0125;
2018-09-04;0;30.5;20.916667;12.7;47.166667;19;8.4;.025;
2018-09-05;0;32.6;23.604167;14.5;37.666667;11;8.4;.079167;
2018-09-06;0;35.4;25.458333;17.2;25.791667;10;5.3;0;
2018-09-07;0;38.9;27.695833;17.8;23.708333;11;4.2;0;
2018-09-08;0;37.7;28.9375;18.5;25.875;12;9.2;.041667;
2018-09-09;0;38.3;29.491667;21.1;24.208333;11;10.8;.316667;
2018-09-10;0;38.1;28.875;17.8;22.708333;10;6.9;.025;
2018-09-11;0;38.6;29.1125;19;25.208333;12;5;.075;
2018-09-12;0;38.8;29.908333;19.7;27.416667;12;7.8;.0125;
2018-09-13;0;39.7;30.883333;23.8;28;15;9.4;.154167;
2018-09-14;23.2;30.4;23.579167;19.6;75.875;32;9.9;.220833;
2018-09-15;6.4;34.1;26.504167;21.4;71.375;37;3.8;0;
2018-09-16;.4;34.8;26.304167;22.6;70.333333;37;17.8;0;
2018-09-17;16.6;30.2;24.254167;19.9;81.5;53;3.7;0;
2018-09-18;.4;32;26.3;22.3;67.041667;39;5.3;.004167;
2018-09-19;0;32;25.8625;22.2;68.416667;43;6.7;.008333;
2018-09-20;.2;35.6;26.729167;21.2;63.375;30;7.3;.129167;
2018-09-21;0;36.3;27.154167;20.8;58.166667;26;12;.045833;
2018-09-22;0;37.9;29.008333;23.3;49.708333;24;11.9;.058333;
2018-09-23;0;39;29.679167;21.9;47.875;20;4.9;0;
2018-09-24;0;38.8;29.716667;23.7;47.666667;22;9.8;.041667;
2018-09-25;1.2;33.5;27.875;24;58.291667;37;8.6;.066667;
2018-09-26;.4;37.2;28.583333;21.9;54.875;28;13.8;.154167;
2018-09-27;0;37.1;29.05;23.7;53.541667;30;10.4;.004167;
2018-09-28;0;35.5;28.845833;24.2;57.458333;35;8.2;0;
2018-09-29;0;35.5;28.5375;23.1;56.375;28;8.9;0;
2018-09-30;0;34.1;27.041667;23.2;66.375;39;8.2;.041667;
2018-10-01;.6;34;26.9;22;64.833333;40;10.3;.104167;
2018-10-02;0;35.8;28.3;23.2;57.958333;29;8.5;.008333;
2018-10-03;0;37.2;28.6125;22.7;58.75;29;11.3;.016667;
2018-10-04;14;29.4;25.320833;22.4;78.333333;56;6.1;.016667;
2018-10-05;0;34.1;25.258333;21.8;77.833333;46;14.2;.1375;
2018-10-06;0;35.1;27.545833;22.3;66.291667;36;9.4;.1;
2018-10-07;0;36.2;26.879167;24.1;70.458333;34;11.7;.008333;
2018-10-08;1.8;33.6;26.154167;22.5;74.041667;36;9.6;.008333;
2018-10-09;0;32;26.933333;23.6;69.875;47;6.4;.004167;
2018-10-10;0;37.2;28.141667;22.3;65.416667;30;12;.0625;
2018-10-11;1.8;36.5;27.604167;23.6;69.958333;35;11.6;.158333;
2018-10-12;3.2;36.7;27.4375;23.1;71.041667;34;8.7;.004167;
2018-10-13;0;35.4;27.995833;22.2;63.583333;36;8;.091667;
2018-10-14;.2;36.5;28.733333;22.8;63.625;32;5.7;.004167;
2018-10-15;0;36.7;28.075;24.3;66.125;31;13.4;.025;
2018-10-16;1.2;37.1;27.95;22.6;68.125;25;8;.016667;
2018-10-17;0;36;27.804167;23.1;66.166667;29;8.2;.004167;
2018-10-18;10.2;35.9;28.4125;23.5;68.375;35;11.4;.020833;
2018-10-19;1.6;33.4;27.3;23.2;69.166667;45;9.5;.0875;
2018-10-20;.2;32.7;25.1125;22.5;80.833333;47;11.3;.029167;
2018-10-21;5.4;31.7;24.754167;22.5;83.916667;52;10.6;0;
2018-10-22;8;32.1;25.1375;22.1;82.708333;54;9.1;.0125;
2018-10-23;.4;31.5;25.0125;22.7;82.416667;53;12.3;.15;
2018-10-24;17.6;29.2;23.941667;22.5;90.291667;64;12.3;0;
2018-10-25;25;32.9;25.208333;21.7;80.583333;46;13.4;.033333;
2018-10-26;3.2;35.1;28.125;22.7;67.416667;37;3.4;0;
2018-10-27;.2;32;27.7;23;67.958333;47;9.6;.241667;
2018-10-28;0;30.8;26.4625;23.5;74.75;58;5.2;.004167;
2018-10-29;0;35.1;28.75;23.9;66.25;33;4.4;.008333;
2018-10-30;0;36.6;27.3375;23.8;68.541667;34;13.5;.095833;
2018-10-31;.2;32.4;26.920833;22.8;72.416667;50;3.8;0;
2018-11-01;0;35;27.020833;23;70.916667;39;5.5;0;
2018-11-02;2.4;32.3;26.35;23.3;76.75;46;6.9;.0125;
2018-11-03;13.2;30.6;24.725;22.7;85.458333;61;12.2;.066667;
2018-11-04;2.8;27.5;23.1125;21.4;91.5;71;6.2;.004167;
2018-11-05;2;32.6;26.075;21.8;76.25;47;4;0;
2018-11-06;1.4;32.3;25.754167;21.4;81.708333;54;6.9;.020833;
2018-11-07;1.6;32.3;25;23.4;85.208333;53;8.3;.029167;
2018-11-08;.8;30.8;24.395833;22.9;88.375;60;8.9;.033333;
2018-11-09;104.2;30.3;24.408333;21.9;89.458333;62;7;.0125;
2018-11-10;14.4;31.9;25.7;22.4;83.875;57;7.2;0;
2018-11-11;2;34.2;26.6375;22.4;77.375;43;8.3;.004167;
2018-11-12;0;35.3;28.370833;23.8;70.083333;38;6;.004167;
2018-11-13;.2;29.9;26.129167;24.2;82.125;65;9;.05;
2018-11-14;45.2;35;26.979167;22.1;76;48;8.8;.233333;
2018-11-15;12.6;35.1;null;22;82.736842;45;11.6;.078947;
2018-11-16;null;null;null;24.8;null;null;null;null;
2018-11-17;null;null;null;null;null;null;null;null;
2018-11-18;null;null;null;null;null;null;null;null;
2018-11-19;null;null;null;null;null;null;null;null;
2018-11-20;null;null;null;null;null;null;null;null;
2018-11-21;null;null;null;null;null;null;null;null;
2018-11-22;null;null;null;null;null;null;null;null;
2018-11-23;null;30.6;null;null;null;60;11;null;
2018-11-24;null;30.6;25.229167;22.3;82.291667;57;7.6;.970833;
2018-11-25;10.2;30.4;25.195833;22.2;83.208333;60;9.1;1.508333;
2018-11-26;0;33.9;26.9625;23.5;74.5;46;4.9;1.35;
2018-11-27;11.8;31.7;25.933333;21.1;76.416667;52;9.6;2.083333;
2018-11-28;0;32.4;26.208333;22.8;77.25;52;14.6;1.670833;
2018-11-29;4.2;31.4;25.5625;22.8;82;55;7.4;1.270833;
2018-11-30;8.4;29.1;24.4;22.4;87.875;67;9.4;1.245833;
2018-12-01;20.2;27.3;23.583333;22.6;92.916667;75;6.8;1.408333;
2018-12-02;21.4;32;25.854167;22.9;82.708333;59;7.8;1.658333;
2018-12-03;.2;31.7;26.695833;23.2;69.5;44;7.9;1.829167;
2018-12-04;0;30.9;26.054167;22.7;70.291667;50;6.9;1.191667;
2018-12-05;0;33.2;27.095833;22.1;64.833333;39;7.6;1.166667;
2018-12-06;0;35.2;26.841667;22.7;70.083333;41;14.9;1.308333;
2018-12-07;1;34.5;26.716667;22.5;75.708333;43;15.5;1.4375;
2018-12-08;30;34;27.329167;21;70.708333;35;7;1.208333;
2018-12-09;0;34.1;28.141667;23.7;67.083333;40;7.3;1.875;
2018-12-10;1.4;32;26.245833;21.9;72.666667;48;10.3;2.5375;
2018-12-11;0;34.1;27.45;21.8;67.333333;41;10.5;1.575;
2018-12-12;0;34.3;25.9875;23.5;71.666667;42;12.1;1.670833;
2018-12-13;8.2;33.7;26.1875;20.6;66.708333;34;6.7;1.695833;
2018-12-14;0;35.2;27.508333;22.1;63.541667;30;10.4;1.708333;
2018-12-15;10.6;32.6;25.566667;22.2;73.25;40;11.1;1.345833;
2018-12-16;0;35.1;27.716667;22;65.541667;34;8.3;1.358333;
2018-12-17;0;36.1;28.695833;21.9;57.708333;27;11.8;1.2375;
2018-12-18;0;36;29.145833;22.8;52.166667;22;7;1.1625;
2018-12-19;0;36.2;28.420833;22;58.25;31;8.4;1.054167;
2018-12-20;0;36.6;28.575;22.7;62.041667;31;9.1;.9125;
2018-12-21;0;35.7;28.2625;23.4;63.791667;35;11.6;1.045833;
2018-12-22;.2;36.1;28.1375;22.7;63.708333;36;15.7;1.166667;
2018-12-23;0;33.8;27.716667;22.9;62.083333;40;6.7;1.895833;
2018-12-24;36.6;32.6;26.145833;20.5;75.125;48;6;1.2125;
2018-12-25;0;32.1;25.958333;22.2;74.958333;48;12.4;1.170833;
2018-12-26;21.6;32.8;25.425;21.7;81.333333;50;12.2;1.133333;
2018-12-27;2.8;32.3;25.5875;23.2;82.916667;53;11.1;1.458333;
2018-12-28;2.8;27.6;24.683333;23.1;87.541667;69;7.4;1.091667;
2018-12-29;11.6;30.2;24.525;22.7;87.583333;59;11.9;1.5875;
2018-12-30;5.4;30.7;24.866667;22.4;85.916667;62;8.3;1.3875;
2018-12-31;1.6;26;23.445833;23.4;91.541667;83;8.2;.875;
2019-01-01;20;31.2;24.4625;21.1;85.333333;57;7.1;1.183333;
2019-01-02;31.4;34;26.145833;22.1;77.75;46;11.2;1.233333;
2019-01-03;.2;35;28.141667;22.4;69.333333;38;9;.904167;
2019-01-04;0;32.3;26.345833;24.1;77.041667;58;11.1;1.479167;
2019-01-05;2.2;31.3;24.804167;22.7;80.833333;52;8.1;1.2375;
2019-01-06;.2;32.2;25.916667;22;76.75;51;7.6;1.908333;
2019-01-07;0;32.4;26.416667;22.6;73.541667;44;9.3;1.8625;
2019-01-08;.2;34.8;26.545833;21.7;73.291667;37;16.2;1.258333;
2019-01-09;3;32.9;27.254167;23.8;71;38;11;1.3375;
2019-01-10;.2;34.7;27.329167;22.4;68.541667;34;10.3;1.716667;
2019-01-11;0;31.8;25.7375;21.6;72.875;46;9.7;1.5875;
2019-01-12;0;34.2;26.9;22.1;67.291667;31;6.9;1.095833;
2019-01-13;0;35;27.333333;21.4;64.375;31;11.6;1.795833;
2019-01-14;0;34.6;27.008333;22.9;68.75;38;10.2;1.2625;
