Nome: ITIQUIRA
Codigo Estacao: A933
Latitude: -17.17499999
Longitude: -54.50166666
Altitude: 593.12
Situacao: Pane
Data Inicial: 2018-09-01
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-09-01;0;36.4;28.391667;22.5;39.208333;20;8.1;.970833;
2018-09-02;0;27.2;17.475;15.2;78.708333;42;9.1;1.6;
2018-09-03;0;23.8;14.320833;8.5;73.458333;32;8.2;.9375;
2018-09-04;0;27.9;17.4;10.1;63.333333;27;10.4;1.441667;
2018-09-05;0;30.9;20.520833;12.5;50.083333;18;9.8;1.283333;
2018-09-06;0;33.9;24.479167;17;27.208333;12;8.4;1.75;
2018-09-07;0;36.3;26.4;18.6;25.083333;13;8.1;1.325;
2018-09-08;0;36.5;27.895833;20.3;24.125;13;8.8;1.2625;
2018-09-09;0;37.6;28.454167;21.4;23.208333;12;7.3;1.3625;
2018-09-10;0;37.7;28.908333;20.2;20.666667;10;6.9;.716667;
2018-09-11;0;38.6;29.204167;21.6;20.833333;10;6.8;.625;
2018-09-12;0;37.8;29.25;20.9;24.5;13;7;.966667;
2018-09-13;0;37.7;30.008333;20.6;27.333333;14;8.7;.991667;
2018-09-14;7.2;29.4;23.083333;19;74.541667;31;10.6;1.266667;
2018-09-15;18.2;31.9;25.008333;19.2;74.666667;44;7.8;.1875;
2018-09-16;0;32.8;25.633333;21.6;68.333333;42;15.2;1.4375;
2018-09-17;null;31.5;null;20;75.619048;42;8.6;1.252381;
2018-09-18;null;29.5;null;22;71.210526;47;4.4;.294737;
2018-09-19;null;34.1;null;21.9;62.285714;37;12.4;null;
2018-09-20;null;32.3;null;19.5;65.153846;43;15;null;
