Nome: PORTO ESTRELA
Codigo Estacao: A935
Latitude: -15.32472221
Longitude: -57.22583332
Altitude: 147.75
Situacao: Operante
Data Inicial: 2018-09-01
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-09-01;null;38.2;28.479167;20.2;59.833333;6.5;.745833;null;
2018-09-02;null;29.5;20.091667;17.6;74.375;10.3;2.9875;null;
2018-09-03;null;27.1;17.7125;11.6;65.5;7.9;2.258333;null;
2018-09-04;null;29.3;20.104167;11.9;58.541667;8.5;1.608333;null;
2018-09-05;null;34;22.575;12.8;52.958333;7;1.195833;null;
2018-09-06;null;36.2;23.854167;12.9;52.416667;5.5;.775;null;
2018-09-07;null;38.7;26.479167;15.8;50.25;4.8;.7875;null;
2018-09-08;null;39.3;27.520833;16.3;47.208333;7.7;1.2875;null;
2018-09-09;null;39.8;28.295833;18.8;46.083333;8.4;.995833;null;
2018-09-10;null;39.5;27.6125;17.4;49.791667;7.2;.675;null;
2018-09-11;null;40.2;27.891667;17.5;51.208333;4.5;.5875;null;
2018-09-12;null;39.7;27.533333;17.6;52.666667;4.7;.579167;null;
2018-09-13;null;39.1;29.854167;21.6;50.291667;6.6;.795833;null;
2018-09-14;null;34.7;27.1125;22;66.541667;8.5;1.125;null;
2018-09-15;null;36.6;28.120833;21.3;65.791667;5.7;.4625;null;
2018-09-16;null;36;28.083333;22.8;63.625;8.5;1.333333;null;
2018-09-17;null;33.4;26.2875;21.9;75.625;7.9;1.283333;null;
2018-09-18;null;35.5;null;23.3;56.928571;7;null;null;
2018-09-19;null;37.3;null;24.9;null;7.3;null;null;
2018-09-20;null;36.1;null;23.6;null;9.1;null;null;
2018-09-21;null;37.7;null;25.2;42.833333;5.6;null;null;
2018-09-22;null;39.1;null;24.6;44.5;5.6;null;null;
2018-09-23;null;39.3;null;25.4;35.916667;7.5;null;null;
2018-09-24;null;38.6;null;26.9;null;19.6;null;null;
2018-09-25;null;35.9;null;23.9;null;6;null;null;
2018-09-26;null;37.6;null;29.1;null;12.4;null;null;
2018-09-27;null;37.4;null;26.5;null;6.4;null;null;
2018-09-28;null;32.1;null;27.4;null;10.1;null;null;
2018-09-29;null;33.5;null;24.7;null;9.5;null;null;
2018-09-30;null;34.2;null;24.2;null;11.4;null;null;
2018-10-01;null;35.1;null;23.2;60;9.8;null;null;
2018-10-02;null;36.6;null;24.1;68.809524;11.4;1.519048;null;
2018-10-03;0;35.7;28.195833;23.4;76.625;11.6;.6375;null;
2018-10-04;11.2;30;25.625;22.5;81.625;9.5;1.35;null;
2018-10-05;null;32.4;null;22.6;72.785714;6.4;null;null;
2018-10-06;null;34.6;null;23.7;null;5.5;null;null;
2018-10-07;null;35.5;null;24.9;null;6.3;null;null;
2018-10-08;null;34.5;null;25.7;70.666667;13.6;null;null;
2018-10-09;null;33.2;null;25;null;14.2;null;null;
2018-10-10;null;35;null;23;66.5;8.3;null;null;
2018-10-11;null;34.3;null;24.5;73.705882;7.6;null;null;
2018-10-12;null;35.8;null;24.2;69.611111;6.3;1.633333;null;
2018-10-13;null;35.2;null;25.5;null;6.9;null;null;
2018-10-14;null;35.2;null;28.5;null;4.4;null;null;
2018-10-15;null;32.5;null;25.3;null;7.1;null;null;
2018-10-16;null;35.9;null;23.3;null;7.1;null;null;
2018-10-17;null;32.1;null;26.6;null;5.3;null;null;
2018-10-18;null;null;null;30.3;null;null;null;null;
2018-10-19;null;null;null;null;null;null;null;null;
2018-10-20;null;32.6;null;null;null;6.3;null;null;
2018-10-21;null;34.4;null;29.2;null;6.7;null;null;
2018-10-22;null;32.7;null;24.4;67.571429;8.9;null;null;
2018-10-23;null;33.3;null;23.2;80.789474;10.7;1.273684;null;
2018-10-24;null;28.5;null;24.1;null;3;null;null;
2018-10-25;null;33.8;null;24.1;null;15;null;null;
2018-10-26;null;35.5;null;23.4;59.833333;5.2;null;null;
2018-10-27;null;34.6;null;26.8;69.5;12.2;null;null;
2018-10-28;null;33.1;null;24.7;null;3.7;null;null;
2018-10-29;null;34.5;null;25.2;null;6.8;null;null;
2018-10-30;null;36.1;null;27.8;null;6.1;null;null;
2018-10-31;null;34.3;null;30.6;null;11.5;null;null;
2018-11-01;null;33.7;null;27.5;null;7.5;null;null;
2018-11-02;null;31.6;null;29.2;null;7.3;null;null;
2018-11-03;null;32.1;null;27.6;null;8.1;null;null;
2018-11-04;null;29.9;null;28.2;null;5.7;null;null;
2018-11-05;null;32.7;null;28.6;null;6.4;null;null;
2018-11-06;null;32.1;null;24.4;null;5.7;null;null;
2018-11-07;null;null;null;27.9;null;null;null;null;
2018-11-08;null;31.1;null;null;null;4;null;null;
2018-11-09;null;28.4;null;28.4;null;3.9;null;null;
2018-11-10;null;33.1;null;26.7;null;8;null;null;
2018-11-11;null;32.5;null;30.8;null;18.5;null;null;
