Nome: SALTO DO CEU
Codigo Estacao: A936
Latitude: -15.12472221
Longitude: -58.12722221
Altitude: 300.83
Situacao: Pane
Data Inicial: 2018-09-01
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-09-01;0;37.8;27.654167;20.1;53.416667;25;12.9;1.454167;
2018-09-02;0;28.6;18.570833;16;76.083333;54;10.6;2.65;
2018-09-03;0;25;16.575;10.8;65.833333;32;10.8;2.2125;
2018-09-04;0;28.4;17.1625;8.1;61.041667;25;10.3;2.045833;
2018-09-05;0;32.1;18.391667;7.8;58.125;20;8.3;1.433333;
2018-09-06;0;35.2;21.408333;10.3;52.708333;18;6;1.479167;
2018-09-07;0;37.3;24.5;13.8;48.375;17;6.3;1.4625;
2018-09-08;0;37.8;25.504167;15.6;48.083333;14;8.3;1.475;
2018-09-09;0;37.6;25.704167;15.9;47;14;7.1;1.758333;
2018-09-10;0;39;26.020833;15.8;46.041667;13;9.2;1.666667;
2018-09-11;0;38.5;26.720833;16.4;44.25;13;6.8;1.754167;
2018-09-12;0;38.9;28.154167;18.5;42.375;19;7.9;1.745833;
2018-09-13;0;39.1;29.320833;23;49.583333;22;7;1.804167;
2018-09-14;0;32.6;24.395833;22.1;69.958333;43;14.9;1.929167;
2018-09-15;8.4;36.1;26.154167;19.5;70.708333;31;6.4;1.079167;
2018-09-16;1;33.3;27.116667;22.6;62.916667;40;12.3;1.925;
2018-09-17;.2;33;26.795833;21.7;65.666667;43;7.4;1.229167;
2018-09-18;.2;35.6;26.754167;21.6;68;34;14.6;1.845833;
2018-09-19;0;36;25.729167;21.2;73.541667;35;8.2;1.208333;
2018-09-20;2.2;34.8;25.358333;21.2;76.541667;43;17;1.566667;
2018-09-21;1.8;35.4;27.341667;22.2;67.833333;37;6.4;1.583333;
2018-09-22;1.2;37;27.558333;22.5;64.125;32;8.6;2.016667;
2018-09-23;.2;37.2;28.154167;20.7;55.625;27;9.9;2.054167;
2018-09-24;.4;36.8;26.4375;23;67.416667;33;11.3;1.908333;
2018-09-25;0;33.1;25.329167;22;79.541667;56;6.6;1.4125;
2018-09-26;.2;37;28.270833;22.8;62.916667;31;8.8;1.875;
2018-09-27;.2;35.6;26.783333;23.1;69.708333;39;10.1;1.779167;
2018-09-28;0;33.6;26.133333;22.6;73.333333;43;10;1.354167;
2018-09-29;.2;32.8;26.133333;22;71.25;49;10.7;1.191667;
2018-09-30;0;35.6;26.658333;22.1;70.041667;35;11.9;1.845833;
2018-10-01;null;35.7;26.120833;20.8;75;38;12.6;1.733333;
2018-10-02;null;35;26.295833;23.3;77.333333;48;7.7;2.195833;
