Nome: PONTES E LACERDA
Codigo Estacao: A937
Latitude: -15.23444444
Longitude: -59.3461111
Altitude: 272.53
Situacao: Pane
Data Inicial: 2018-09-01
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-09-01;0;36.1;28.125;20.8;54;29;8.7;.991667;
2018-09-02;.6;29.1;null;13.5;78.238095;51;7.5;1.395238;
2018-09-03;null;26;null;12.7;43.461538;28;8.8;null;
2018-09-04;0;28.3;20.9375;13.1;48.291667;22;12.1;2.908333;
2018-09-05;0;31.1;21.55;10.9;46.958333;19;8.6;1.5375;
2018-09-06;0;35;23.720833;13.2;44.916667;17;9.8;1.254167;
2018-09-07;0;36.2;26.245833;16.4;42.416667;19;6.5;.954167;
2018-09-08;0;37.8;27.908333;16.8;42.291667;17;6.5;1.1125;
2018-09-09;0;38.2;28.858333;19;36;13;7.8;1.525;
2018-09-10;0;38.9;29.2;18.6;34.166667;14;8;1.429167;
2018-09-11;0;38.8;29.4875;20.5;33.666667;14;7.2;.983333;
2018-09-12;0;37.4;28.570833;19.3;43.333333;24;7.9;.729167;
2018-09-13;0;37;28.708333;24;48.75;30;10.9;1.3875;
2018-09-14;0;35.1;27.341667;22.2;58.541667;34;9.4;1.229167;
2018-09-15;0;35.7;27.76087;22.5;58.434783;31;8.3;1.673913;
2018-09-16;0;32.4;26.225;21.7;64.875;41;12.6;1.7125;
2018-09-17;0;33.6;27.018182;22.7;62.5;32;10.4;1.422727;
2018-09-18;0;35.8;28.020833;22.9;57.291667;31;9.8;1.508333;
2018-09-19;0;35.4;27.554167;21.5;58.666667;32;12.2;1.633333;
2018-09-20;0;36.5;28.995833;22.6;51.708333;29;10.2;1.4375;
2018-09-21;0;37.7;28.683333;23.7;54.166667;28;11;1.3125;
2018-09-22;1;38.3;28.35;22.4;56.208333;25;12.8;1.3;
2018-09-23;0;36.8;28.345833;21.8;54.375;29;8.3;1.270833;
2018-09-24;0;37.3;28.9375;24;55.75;25;10.6;1.654167;
2018-09-25;5;35.2;26.516667;22.1;68.666667;31;8;1.041667;
2018-09-26;.2;35.2;26.895833;21.7;64.875;36;8;.866667;
2018-09-27;0;36.9;28.408696;22.9;59;31;11.6;1.009091;
2018-09-28;0;33.7;25.979167;24.6;70.458333;44;10.9;1.429167;
2018-09-29;null;32.8;null;22.1;73.375;44;9.3;null;
2018-09-30;9;34.7;26.468182;21.6;72.090909;41;13.5;1.209091;
2018-10-01;.2;36.8;29.008333;22.4;57.875;27;11.8;1.4375;
2018-10-02;0;36.9;28.4875;24.1;62.75;29;9.1;1.295833;
2018-10-03;0;35.6;27.166667;23.1;69.083333;36;7.6;1.1;
2018-10-04;.4;29.2;24.679167;23.5;78.375;59;7.5;1.75;
2018-10-05;null;31.4;null;21.4;62.666667;47;9;2.372222;
2018-10-06;0;36.1;27.958333;20.6;59.083333;27;7.5;1.283333;
2018-10-07;0;36.1;28.379167;24.2;60.583333;35;10.2;1.433333;
2018-10-08;0;36.1;28.508333;23.3;58.958333;30;12.4;1.958333;
2018-10-09;0;34.7;27.816667;23.8;61.125;41;9.8;1.479167;
2018-10-10;0;35.6;28.695833;23.2;59.916667;33;11;1.5375;
2018-10-11;0;33.3;26.808333;23.8;72.291667;46;9.5;1.104167;
2018-10-12;43.8;32.8;26.236364;21.4;76;48;7.3;1.027273;
2018-10-13;0;35.3;28.483333;22.5;64.5;34;8.8;1.254167;
2018-10-14;0;35.4;29.104167;23.4;60.083333;34;7.6;1.0125;
2018-10-15;0;34.9;28.458333;25.1;63.041667;38;7.8;1.141667;
2018-10-16;0;36;28.4625;22.9;62.041667;30;12.7;1.791667;
2018-10-17;0;35.8;28.6125;25.6;64.541667;39;9.3;1.229167;
2018-10-18;10.2;34.2;26.716667;23.6;71.458333;44;10.2;1.25;
2018-10-19;.2;32.9;26.566667;23.1;71.666667;46;13.6;1.420833;
2018-10-20;null;30.4;null;22.9;75.190476;59;16.8;2.057143;
2018-10-21;.4;33.9;27.508696;23.3;64.782609;36;8.4;1.565217;
2018-10-22;11.2;31.4;25.041667;22.3;82.166667;57;14.2;1.225;
2018-10-23;21.6;32.3;25.541667;21.8;80.375;52;11.3;.854167;
2018-10-24;11.4;27.7;24.631818;22.3;82.772727;66;7.6;.825;
2018-10-25;null;32.9;null;22.4;67.176471;48;8;null;
2018-10-26;0;34.9;27.795833;22.3;66.458333;39;7.1;1.3;
2018-10-27;0;35.3;28.133333;23.1;64.125;35;11.5;1.25;
