Nome: SAO JOSE DO XINGU
Codigo Estacao: A942
Latitude: -10.48416666
Longitude: -52.37249999
Altitude: 300
Situacao: Operante
Data Inicial: 2019-02-18
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2019-02-18;null;null;null;null;null;null;null;null;
2019-02-19;null;32.8;null;null;null;43;5.1;null;
2019-02-20;null;28.1;23.541667;21.1;92.833333;72;11.8;1.7;
2019-02-21;16.6;33.3;26.279167;20.7;79.708333;45;4.1;.929167;
2019-02-22;0;31.8;25.158333;23.4;87.583333;57;10.1;1.533333;
2019-02-23;8.6;32;24.795833;20.5;84.416667;50;4.4;1.020833;
2019-02-24;.4;32.8;26.529167;21.9;78.791667;51;10.7;1.7125;
2019-02-25;0;29;23.6625;22.3;90.833333;66;8.1;1.4875;
2019-02-26;20.2;31.2;25.120833;21.6;81.833333;55;5.3;1.404167;
2019-02-27;2.4;28.3;24.6375;22.1;84.708333;67;10.7;1.6875;
2019-02-28;5.8;25.5;23.6125;20.7;90.291667;77;11.1;1.266667;
2019-03-01;2;30.3;24.354167;20.8;84;57;10.4;1.679167;
2019-03-02;0;32.4;25.904167;22;77.916667;49;6.1;1.633333;
2019-03-03;39.8;26.1;23.816667;22.5;90.625;77;5.6;1.383333;
2019-03-04;12.2;31.1;25.475;21.7;83.875;57;6.5;1.333333;
2019-03-05;.2;30;25.483333;22.3;82.666667;58;6.2;1.670833;
2019-03-06;59.4;30.3;24.504167;21.2;83.666667;56;10.5;1.320833;
2019-03-07;1.8;30.1;25.166667;23;86.125;61;9.6;1.204167;
2019-03-08;1.2;32.7;26;22.5;84.416667;54;6.5;1.079167;
2019-03-09;0;25.8;23.583333;22.4;92.25;78;10.9;1.2125;
2019-03-10;8.8;32;24.733333;21.1;85;51;10.3;1.35;
2019-03-11;4.2;32.5;24.845833;20.7;85.333333;46;9.7;1.075;
2019-03-12;5.2;29.8;23.725;22.4;90.375;64;9.3;1.4875;
2019-03-13;5.2;28.4;23.35;20.9;88.833333;64;5.1;1.291667;
2019-03-14;0;32.1;25.583333;21.9;82.833333;54;4.6;.958333;
2019-03-15;.2;34.2;27.679167;22.3;77.5;47;4.6;1.004167;
2019-03-16;0;31.8;25.658333;22.7;85.041667;54;12.4;1.975;
2019-03-17;3;31.2;24.8125;21.1;85.958333;59;7.1;1.170833;
2019-03-18;.2;33.3;27.025;21.6;79.208333;53;4.4;.958333;
2019-03-19;0;32.4;27.2;23.2;83.625;60;5.7;1.266667;
2019-03-20;0;32.7;26.0625;22.9;83.833333;52;8.3;2.045833;
2019-03-21;9.8;30.7;25.2875;22.7;88.666667;67;9.2;1.3375;
2019-03-22;.2;29.9;25.9875;22.9;86;63;5.3;1.245833;
2019-03-23;27.6;26.6;23.879167;22;94.25;85;7.1;.986957;
2019-03-24;9.6;30.9;25.4125;22.3;89.75;59;6.2;1.629167;
2019-03-25;12.2;30.8;24.933333;22.9;91.125;65;9.1;1.579167;
2019-03-26;15.4;30.7;24.966667;22.9;88.583333;65;6.6;1.991667;
2019-03-27;.2;31.3;25.816667;22.9;85.958333;61;7.3;1.5875;
2019-03-28;0;30.4;25.316667;23.4;89.416667;64;8.6;1.045833;
2019-03-29;21.6;26.6;24.629167;23.2;94;83;4.3;.866667;
2019-03-30;8.4;30.1;25.066667;22.3;90.916667;66;6.2;1.045833;
2019-03-31;1.6;33.2;25.65;21.8;85.958333;53;11.2;1.229167;
2019-04-01;3.8;33;26.566667;21.9;81.416667;52;4.2;1.016667;
2019-04-02;.2;33.6;26.916667;23.9;83.708333;52;8.9;1.1375;
2019-04-03;18.6;31.8;26.679167;23.7;83.958333;56;7.1;1.075;
2019-04-04;10.4;31.3;25.745833;22.8;85.5;59;7.6;1.570833;
2019-04-05;22.2;30.8;25.529167;24.1;88.791667;63;14.9;1.720833;
2019-04-06;2.2;30;24.979167;21.3;86.041667;61;4.5;1;
2019-04-07;0;31.6;25.925;22.9;86.958333;57;12.6;.858333;
2019-04-08;12;30.5;25.2;21.7;86.25;58;3.8;.8875;
2019-04-09;0;30.2;25.491667;24;89.708333;64;6.6;1.029167;
2019-04-10;0;28.4;24.595833;23.3;91.041667;70;12.5;1.8875;
2019-04-11;2.8;29.5;24.720833;22.2;87.041667;62;5.6;1.033333;
2019-04-12;0;32;26.483333;22.1;81.5;53;5.3;1.033333;
2019-04-13;30.2;29.2;25.5;23.3;87.583333;61;6.3;1.595833;
2019-04-14;.2;29.9;25.029167;22.3;88.166667;62;4.5;1.0375;
2019-04-15;2.2;31.2;25.345833;22.7;88.791667;59;11.2;.929167;
2019-04-16;1.6;31.7;26.0125;22.6;84.208333;56;6.7;.825;
2019-04-17;.2;32;26.225;22.4;84;58;4.5;.841667;
2019-04-18;0;32.7;26.591667;22.1;82.958333;51;4.8;.945833;
2019-04-19;0;32.8;26.375;23.1;84.208333;53;8.3;.945833;
2019-04-20;0;32.4;26.55;22.8;82.125;51;6.8;.995833;
2019-04-21;5.2;28.8;24.6125;21.1;88.625;69;11.3;1.170833;
2019-04-22;1.4;32.3;26.116667;21.1;84.333333;51;4.6;.9375;
2019-04-23;0;29.3;25.3625;22.7;88.541667;66;4.6;.820833;
2019-04-24;7.2;32;25.833333;21.1;85.375;57;7.4;.904167;
2019-04-25;0;32.2;26.6875;22.1;83.125;59;5.6;.991667;
2019-04-26;0;32.9;27.425;23.8;80.041667;54;4.5;1;
2019-04-27;0;33.2;27.354167;22.6;77.416667;48;4.6;.833333;
2019-04-28;0;33.7;27.145833;22;77.833333;47;5.6;.829167;
2019-04-29;0;32.5;26.570833;22.4;81.583333;52;6.9;.925;
2019-04-30;0;33;26.358333;22.5;84.666667;53;7.5;1.129167;
