Nome: SERRA NOVA DOURADA
Codigo Estacao: A943
Latitude: -11.98777777
Longitude: -51.4261111
Altitude: 441
Situacao: Operante
Data Inicial: 2019-03-28
Data Final: 2021-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2019-03-28;null;null;null;null;null;null;null;null;
2019-03-29;null;null;null;null;null;null;null;null;
2019-03-30;null;null;null;null;null;null;null;null;
2019-03-31;null;null;null;null;null;null;null;null;
2019-04-01;null;null;null;null;null;null;null;null;
2019-04-02;null;null;null;null;null;null;null;null;
2019-04-03;null;null;null;null;null;null;null;null;
2019-04-04;null;null;null;null;null;null;null;null;
2019-04-05;null;29.6;null;22.7;null;null;8.7;null;
2019-04-06;3.2;28.2;24.245833;21.8;null;null;6.6;1.8;
2019-04-07;0;30.6;25.8;23;null;60;13.9;1.845833;
2019-04-08;.4;31.2;25.175;21.6;86.666667;54;5.3;1.45;
2019-04-09;0;30.9;25.491667;23.4;null;null;5.7;2.070833;
2019-04-10;3.6;27;22.779167;23.4;null;95;12.5;3.458333;
2019-04-11;62.8;29.1;23.391667;20.4;87.666667;65;5.8;1.920833;
2019-04-12;0;31.6;26.570833;22.5;null;64;5.8;1.683333;
2019-04-13;0;29.9;25.454167;23.4;null;null;10.6;2.304167;
2019-04-14;2.4;30.1;25.083333;21.8;null;null;7.9;2.091667;
2019-04-15;0;29.8;24.9875;22.8;null;null;7.2;2.7125;
2019-04-16;3;30.7;25.291667;21.9;null;null;7;2.075;
2019-04-17;1.4;31.3;25.583333;21.7;null;null;9;2.566667;
2019-04-18;0;32.4;27.170833;22.1;null;null;5.5;1.595833;
2019-04-19;0;32.7;26.929167;23.4;null;null;5.8;1.454167;
2019-04-20;.2;32.8;26.875;22.4;null;null;4.8;1.879167;
2019-04-21;28.4;30.1;24.6375;20;null;null;14.2;2.9125;
2019-04-22;.2;31.2;26.845833;22.4;null;null;5.8;1.570833;
2019-04-23;0;28.3;24.3375;22.3;null;null;15.1;2.891667;
2019-04-24;7.4;26.6;23.1375;21.1;null;null;12.1;3.154167;
2019-04-25;2.2;30.8;25.854167;21;null;null;8.5;3.641667;
2019-04-26;0;31.1;26.775;23.1;null;null;8.6;3.254167;
2019-04-27;0;31.6;27.158333;23.5;null;null;7.9;3.133333;
2019-04-28;0;32.2;28.016667;24.9;null;null;6.7;1.7;
2019-04-29;0;33;28.625;24.2;null;null;4.6;1.058333;
2019-04-30;0;32.1;27.366667;25.1;null;null;9.6;1.2125;
2019-05-01;16.4;30.7;25.558333;22.8;null;null;7.9;2.420833;
2019-05-02;.2;31.4;25.520833;21.8;null;null;7.1;2.433333;
2019-05-03;0;29.8;25.370833;24;null;null;12.6;2.345833;
2019-05-04;2.2;31;25.366667;21.8;null;null;8.9;2.7125;
2019-05-05;0;31.9;26.879167;23.1;null;null;7.1;2.708333;
2019-05-06;0;32.2;27.725;24.8;null;null;7.7;2.508333;
2019-05-07;0;32.1;27.470833;23;null;null;5.7;1.975;
2019-05-08;0;33;27.975;24.5;null;null;5.8;1.7125;
2019-05-09;0;32.2;27.525;23;null;null;7.2;2.266667;
2019-05-10;0;32.3;28.008333;24;null;null;9.7;2.329167;
2019-05-11;0;32.8;28.2125;23.9;null;null;6.4;2.3375;
2019-05-12;0;32.6;27.8875;23.3;null;null;8.4;2.641667;
